CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_RATING_MEAN	SPANISH_AOA_RATING_SD	SPANISH_AOA_RATING_MIN	SPANISH_AOA_RATING_MAX	SPANISH_ORAL_FREQUENCY_LOG	SPANISH_WRITTEN_FREQUENCY_LOG
10	FIREWOOD	leña	6.22	2.306070073452554	2	11	1.477121254719662	2.294466226161593
100	FAITHFUL	fiel	8.96	1.9373872580759643	5	11	1.662757831681574	2.7218106152125463
1002	STATUE	estatua	6.2	2.0203050891044216	3	11	1.041392685158225	2.665580991017953
1005	TWINS	gemelos	6.4	1.9483116709979795	2	11	1.397940008672037	2.6646419755561253
1006	BRICK	ladrillo	5.52	1.6811075066692174	2	9	1.146128035678238	2.3560258571931225
1007	COW	vaca	3.08	1.6762445878711576	1	8	1.973127853599699	2.909556029241175
1008	BULL	toro	5.4	2.2857142857142856	1	11	2.05307844348342	2.691081492122968
1011	BRIDGE	puente	4.4	1.8952141659173714	1	9	2.41161970596323	3.2250506961380485
1012	LATCH	cerrojo	7.183673469387755	2.324448585038998	2	11	0.3010299956639812	2.1522883443830563
1014	OR	o	3.08	1.4961174241812625	1	6	4.271539585593803	4.9220815816975545
1019	RIGHT	derecha	4.0	1.6781914463529615	1	7	2.561101383649056	3.533009022495485
102	COMMON COLD (DISEASE)	catarro	4.7	2.032892781536815	1	9	0.9030899869919436	1.5185139398778873
1021	TOWEL	toalla	3.54	1.8206300770752468	1	9	1.477121254719662	2.769377326076138
1029	JEWEL	joya	5.18	1.9133259854323348	1	9	1.342422680822206	2.3074960379132126
1035	GOOD	bueno	2.82	1.8260026599886743	1	10	4.135895575564019	5.009501886286422
1039	SHOW	mostrar	6.18	2.125549148731563	1	10	1.662757831681574	2.9951962915971793
1042	CARPENTER	carpintero	5.66	1.7450805489859145	2	10	1.041392685158225	2.170261715394957
1044	PILLOW	almohada	4.7	2.0627898683133785	2	11	1.230448921378274	2.6928469192772297
1045	POET	poeta	8.14	1.7380495753949632	5	11	1.778151250383644	2.580924975675619
1046	SHUT	cerrar	3.28	1.4574229422693545	1	7	2.004321373782643	3.255513712819533
1047	PURSUE	perseguir	6.14	2.2039852586639874	2	11	1.146128035678238	2.4941545940184424
1048	LINE	línea	4.93	1.4214465181925189	1	11	2.671172842715083	3.7087607236903164
1051	CAN	lata	4.06	1.2682946931101737	2	7	1.7481880270062	2.822168079368017
1061	ARMOUR	armadura	5.98	2.004993765576342	2	11	0.6020599913279624	2.4132997640812515
1062	LAW	ley	8.54	1.8758399479177543	5	11	2.919078092376074	3.5314789170422545
1063	NEPHEW	sobrino	6.1	2.1116779284420693	1	11	1.707570176097936	2.9498777040368744
1064	SHIELD	escudo	6.42	1.9175877703883215	3	11	1.278753600952829	2.633468455579586
1065	SPIDER WEB	telaraña	4.78	1.5686989279433485	2	11		1.7558748556724912
