CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_HAPPINESS_MEAN	GERMAN_ANGER_MEAN	GERMAN_SADNESS_MEAN	GERMAN_FEAR_MEAN	GERMAN_DISGUST_MEAN	GERMAN_EMOTION_DOMINANT	LINE_IN_SOURCE
1008	BULL	bulle	1.4761904761904763	2.380952380952381	1.2857142857142858		2.2857142857142856	ANG	279
1011	BRIDGE	brücke	1.7391304347826086	1.1304347826086956	1.3043478260869565		1.608695652173913	HAP	271
1038	TEACHER	lehrer	1.7272727272727273	2.1818181818181817	1.2272727272727273		1.3181818181818181	ANG	887
1044	PILLOW	kissen	3.4545454545454546	1.1363636363636365	1.0		1.0909090909090908	HAP	776
1045	POET	dichter	2.85	1.15	1.4		1.15	HAP	321
1048	LINE	linie	1.8636363636363635	1.2727272727272727	1.2272727272727273		1.2727272727272727	HAP	937
1075	TRAP (PITFALL)	falle	1.4761904761904763	3.5238095238095237	1.8571428571428572		2.857142857142857	ANG	428
1093	MIDDLE	mitte	1.8095238095238095	1.2380952380952381	1.2380952380952381		1.2857142857142858	HAP	1077
1096	SONG	lied	3.7	1.6	1.8		1.2	HAP	929
1109	WOUND	wunde	1.173913043478261	2.4347826086956523	1.7826086956521738		2.391304347826087	DIS	1902
1115	SPEECH	rede	1.8	1.65	1.3		1.9	FEA	1361
1137	TENDON	sehne	1.1818181818181819	1.2727272727272727	1.1363636363636365		1.1818181818181819	DIS	1517
1139	LEOPARD	leopard	2.619047619047619	1.0476190476190477	1.0		2.142857142857143	HAP	910
1145	SWAMP	sumpf	1.608695652173913	1.3043478260869565	1.3043478260869565		2.4347826086956523	DIS	1629
1150	THUNDER	donner	2.272727272727273	1.4090909090909092	1.1818181818181819		2.3636363636363638	FEA	338
1160	THIEF	dieb	1.2	3.5	2.0		2.95	ANG	322
1161	THREAD	faden	1.3	1.2	1.3		1.2	DIS	421
1171	MIRROR	spiegel	2.4285714285714284	1.4761904761904763	1.1428571428571428		1.2380952380952381	HAP	1575
1185	VULTURE	geier	1.6	1.95	1.5		2.1	DIS	544
1187	GOOSE	gans	2.5238095238095237	1.5238095238095237	1.4761904761904763		1.4285714285714286	HAP	523
1190	HARE	hase	3.238095238095238	1.0952380952380953	1.380952380952381		1.2380952380952381	HAP	630
1194	BEAVER	biber	2.95	1.5	1.3		1.5	HAP	230
12	MIDDAY	mittag	2.5238095238095237	1.0476190476190477	1.0		1.0476190476190477	HAP	1076
1201	FEATHER	feder	2.75	1.35	1.3		1.5	HAP	437
1204	BARK	rinde	1.84	1.04	1.16		1.0	HAP	1397
1205	TONGUE	zunge	2.0	1.1666666666666667	1.0833333333333333		1.0416666666666667	HAP	1948
1208	CAT	katze	3.8260869565217392	1.6521739130434783	1.5217391304347827		1.565217391304348	HAP	756
1216	MOTHER	mutter	3.6666666666666665	1.3333333333333333	1.2380952380952381		1.1428571428571428	HAP	1124
1217	FATHER	vater	3.3636363636363638	1.7727272727272727	1.8636363636363635		1.6818181818181819	HAP	1779
1219	WORM	wurm	1.55	1.85	1.25		1.75	DIS	1906
1221	NOSE	nase	1.9047619047619047	1.5238095238095237	1.2380952380952381		1.1904761904761905	HAP	1142
1223	HEART	herz	3.3333333333333335	1.5714285714285714	1.7619047619047619		1.7619047619047619	HAP	656
1228	EARTH (SOIL)	erde	3.4285714285714284	1.619047619047619	1.4761904761904763		2.0952380952380953	HAP	397
1233	NIGHT	nacht	3.4545454545454546	1.3636363636363635	1.6818181818181819		1.9545454545454546	HAP	1132
1245	BUTTER	butter	1.9047619047619047	1.0476190476190477	1.1428571428571428		1.0952380952380953	HAP	288
1248	EYE	auge	2.2857142857142856	1.0952380952380953	1.1904761904761905		1.3333333333333333	HAP	144
1252	HOUSE	haus	3.2	1.3	1.15		1.6	HAP	632
1259	WEDDING	hochzeit	4.0	1.1	1.15		1.25	HAP	670
