CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CONCRETENESS_MEAN	CONCRETENESS_SD	DUNNO	FREQUENCY_SUBTITLE	POS	LINE_IN_SOURCE
16	SLED	sled	5	0	0	149	Adjective	16
683	PERSON	human	4.93	0.26	0	6363	Adjective	18
2500	GINGER	ginger	4.92	0.27	0	327	Adjective	21
1154	OLIVE	olive	4.9	0.31	0	375	Adjective	24
2027	SOYA	soybean	4.82	0.77	0	25	Adjective	27
2367	MANDARINE	mandarin	3.67	1.41	0	67	Noun	15808
58	LIQUID	liquid	4.72	0.54	0	395	Adjective	34
1125	BALD	bald	4.69	0.47	0	496	Adjective	39
3752	LILAC	lilac	4.69	0.97	0	39	Adjective	40
3328	ORANGE (COLOR)	orange	4.66	0.9	0	1138	Adjective	42
1123	PREGNANT	pregnant	4.59	0.89	0	2653	Adjective	52
1551	FEMALE	female	4.57	0.88	0	1612	Adjective	55
1279	FAT (OBESE)	fatness	3.18	1.36	0	6	Noun	17637
590	NAKED	naked	4.5	1	0	2002	Adjective	66
1726	WET	wet	4.46	0.58	0	2000	Adjective	70
1553	MALE	male	4.45	1.02	0	1731	Adjective	72
3003	SOLID	solid	4.42	0.81	0	998	Adjective	77
1962	ROAST (SOMETHING)	roast	4.4	0.97	0	499	Adjective	83
999	JOINT	joint	4.37	1.08	0	1405	Adjective	91
3737	BAREFOOT	barefooted	4.33	1.3	0	9	Adjective	96
1286	HOT	hot	4.31	1	0	9682	Adjective	111
1424	YELLOW	yellow	4.3	1.06	0	1724	Adjective	115
706	DARK	dark	4.29	1.15	0	4519	Adjective	117
380	WRINKLED	wrinkled	4.29	1.16	0	86	Adjective	123
156	RED	red	4.24	1.36	0	7551	Adjective	139
1230	DIRTY	dirty	4.23	1.14	0	3389	Adjective	143
2340	SUNNY	sunny	4.2	1.12	0	391	Adjective	152
3750	KHAKI	khaki	4.19	1.1	0	42	Adjective	158
3367	STUTTERER	stutterer	4.16	0.8	3	1	Adjective	166
1903	SWELLING	bump	4.1	1.16	0	630	Noun	13959
153	GREY	gray	3.46	1.53	0	1077	Adjective	756
2997	COLORFUL	multicolored	4.11	1.26	0	8	Adjective	187
2666	SOLE (FOOT)	sole	4.11	1.22	0	268	Adjective	192
1625	DEAD	dead	4.07	1.27	0	22898	Adjective	206
1425	GREEN	green	4.07	1.22	0	3696	Adjective	209
2341	CLOUDY	overcast	4.04	1.13	0	24	Adjective	229
2452	PURPLE	purple	4.04	1.43	0	629	Adjective	231
1653	BLIND	blind	4.03	1.15	0	2337	Adjective	239
717	SWEET	sweetness	2.83	1.46	0	167	Noun	18947
1244	THICK	thick	4	0.95	0	713	Adjective	263
3702	SLIPPERY	slippery	3.94	1.12	0	225	Adjective	287
3044	BOVINE	bovine	3.93	1.47	2	22	Adjective	290
535	INFLATED	inflated	3.93	0.94	0	26	Adjective	296
3446	PINK	pink	3.93	1.33	0	1452	Adjective	302
1091	SALTY	salty	3.93	1.44	0	127	Adjective	303
1400	THIN (SLIM)	slimy	3.26	1.53	0	159	Adjective	1020
3545	WATERY	watery	3.93	1.13	0	36	Adjective	310
679	BRIGHT	bright	3.92	0.93	0	2265	Adjective	312
1395	ROUND	round	3.9	1.4	0	3393	Adjective	328
1335	WHITE	white	3.89	1.29	0	8744	Adjective	339
1856	SOFT	softness	3.1	1.56	0	24	Noun	17932
1728	ROTTEN	rotten	3.87	1.48	0	891	Adjective	350
1396	SHARP	sharp	3.86	1.22	0	1213	Adjective	356
847	THIRSTY	thirsty	3.86	1.36	0	627	Adjective	359
3758	WINDY	windy	3.86	1.22	0	134	Adjective	362
1287	COLD	coldness	3.33	1.49	0	17	Noun	17039
1923	ROUGH	rough	3.83	1.31	0	1907	Adjective	381
2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	spherical	3.83	1.1	0	9	Adjective	383
2308	THIN	thin	3.83	1.28	0	1029	Adjective	384
955	GREASY	greasy	3.82	1.33	0	199	Adjective	388
2998	DAMP	damp	3.81	1.3	0	149	Adjective	395
1234	SMOOTH	smooth	3.81	1.24	0	932	Adjective	406
3759	FOGGY	foggy	3.8	1.47	0	66	Adjective	408
2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	circular	3.79	1.34	2	81	Adjective	413
297	CROOKED	bent	3.62	1.42	0	368	Verb	24435
1398	DRY	dry	3.77	1.41	0	2184	Adjective	436
3403	HORSE BARN	stable	3.77	1.41	0	673	Adjective	439
163	BLACK	black	3.76	1.64	0	8565	Adjective	443
837	BLUE	blue	3.76	1.45	0	5222	Adjective	444
1884	HARD	hardness	3.34	1.45	0	13	Noun	17028
2717	STEEP	steep	3.76	1.18	0	125	Adjective	454
3756	FLORAL	floral	3.75	1.27	0	37	Adjective	458
3616	FAINT (PASS OUT)	faint	3.74	1.02	0	473	Adjective	463
42	STINKING	stinking	3.2	1.38	0	473	Adjective	1121
2112	OLD (AGED)	elderly	3.68	1.35	0	209	Adjective	516
1246	SMALL	little	3.67	1.32	0	73766	Adjective	529
3755	MOUNTAINOUS	mountainous	3.67	1.14	0	8	Adjective	531
1202	BIG	great	1.81	0.96	0	41864	Adjective	5176
544	SPICY	peppery	3.66	1.17	0	1	Adjective	539
1645	SHORT	short	3.61	1.41	0	4367	Adjective	589
1429	FULL	full	3.59	1.19	0	8512	Adjective	602
3703	STICKY	sticky	3.59	1.55	0	292	Adjective	613
1232	WARM	warm	3.56	1.42	0	2659	Adjective	653
989	CLEAR	clear	3.55	1.3	0	8763	Adjective	656
2483	COLD (OF WEATHER)	cool	3.53	1.07	0	9990	Adjective	686
2276	IDENTICAL	identical	3.5	1.43	0	282	Adjective	718
1463	DRUNK	intoxicated	3.56	1.31	0	52	Verb	24560
143	HUMID	humid	3.48	1.09	0	45	Adjective	741
2375	VERTICAL	vertical	3.48	1.6	0	141	Adjective	749
1265	HIGH	high	3.46	1.39	0	9945	Adjective	757
2376	HORIZONTAL	horizontal	3.46	1.45	0	77	Adjective	758
193	SHALLOW	shallow	3.45	1.4	0	301	Adjective	780
1624	EMPTY	empty	3.43	1.5	0	2409	Adjective	792
1129	PAINFUL	hurting	3.03	1.38	0	974	Verb	25699
3707	BEIGE	beige	3.41	1.59	0	69	Adjective	819
3762	SAFE	safe	3.41	1.55	0	7303	Adjective	829
1593	DEEP	deep	3.38	1.35	0	3896	Adjective	853
1210	HEAVY	heaviness	2.89	1.22	0	11	Noun	18708
711	TALL	tall	3.36	1.39	0	1649	Adjective	888
1698	CURVED	curved	3.35	1.35	0	31	Adjective	892
376	FRAGRANT	fragrant	3.35	1.32	1	36	Adjective	894
1959	RAW	raw	3.35	1.38	0	519	Adjective	896
721	LOW	low	3.34	1.47	0	3016	Adjective	903
1861	ACTIVE	active	3.32	1.25	0	584	Adjective	919
825	AWAKE	awake	3.32	1.25	0	1362	Adjective	921
1364	HEALTHY	health	2.28	1.22	0	2054	Noun	20855
1573	SWELL	swollen	3.6	1.16	0	165	Verb	24482
1958	UNRIPE	unripe	3.31	1.35	2	2	Adjective	950
178	RIPE	ripe	3.3	1.6	0	213	Adjective	963
2517	CROWDED	crowded	3.28	1.44	0	456	Adjective	984
3757	MUGGY	muggy	3.28	1.22	0	5	Adjective	989
1229	OLD	overgrown	3.28	1.33	0	49	Adjective	990
701	SLOW	slow	3.28	1.25	0	3877	Adjective	993
996	DEAF	deaf	3.27	1.43	0	741	Adjective	999
2151	COARSE	coarse	3.25	1.35	0	69	Adjective	1027
1359	SEPARATE	separate	3.25	1.24	0	1107	Adjective	1033
2277	WHOLE	total	2.8	1.47	0	1920	Adjective	1821
1666	MUTE	mute	3.24	1.33	0	127	Adjective	1053
3708	FEELING SORE	sore	3.23	1.55	0	765	Adjective	1064
1548	UGLY	ugly	3.23	1.52	0	2150	Adjective	1068
149	ITCHY	itchy	3.21	1.47	0	116	Adjective	1094
3735	NEAR (IN SPACE)	close	3.2	1.32	0	11191	Adjective	1116
2506	LOOSE	slack	3.15	1.56	0	302	Noun	17743
3754	TRANSPARENT	transparent	3.18	1.09	0	92	Adjective	1160
2935	CURRENT (STREAM)	current	3.16	1.62	1	869	Adjective	1185
1326	DOWN	downward	3.16	1.37	0	60	Adjective	1186
1207	YOUNG	young	3.16	1.46	0	12402	Adjective	1192
