CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_CD	CHINESE_CD_PERCENTAGE	CHINESE_CD_LOG	LINE_IN_SOURCE
10	FIREWOOD	柴火	40	1.19	1.6	38	0.61	1.58	19148
1001	BLACKSMITH	铁匠	96	2.86	1.98	44	0.7	1.64	11740
1003	PERMIT	允许	2734	81.5	3.44	1815	29.07	3.26	1095
1004	MUSCLE	肌肉	780	23.25	2.89	559	8.95	2.75	2911
1006	BRICK	砖	193	5.75	2.29	111	1.78	2.05	7678
1008	BULL	公牛	159	4.74	2.2	93	1.49	1.97	8673
101	BOAST	吹牛	210	6.26	2.32	170	2.72	2.23	7315
1011	BRIDGE	桥	1074	32.02	3.03	470	7.53	2.67	2283
1017	APPEARANCE	样子	5337	159.09	3.73	3007	48.17	3.48	615
1019	RIGHT	右	1738	51.81	3.24	903	14.46	2.96	1564
1020	HANDKERCHIEF	帕	413	12.31	2.62	197	3.16	2.29	4626
1021	TOWEL	毛巾	462	13.77	2.66	320	5.13	2.51	4268
1025	WHISTLE	哨子	48	1.43	1.68	34	0.54	1.53	17441
1028	YAWN	打哈欠	31	0.92	1.49	20	0.32	1.3	21944
1031	ON PURPOSE	故意	1803	53.75	3.26	1317	21.1	3.12	1520
1032	CITIZEN	民	529	15.77	2.72	221	3.54	2.34	3887
1033	GRIND	磨	381	11.36	2.58	287	4.6	2.46	4897
1035	GOOD	好	334698	9977.13	5.52	6241	99.97	3.8	10
1036	OWNER	主	3030	90.32	3.48	1452	23.26	3.16	997
1038	TEACHER	老师	3879	115.63	3.59	1170	18.74	3.07	804
1039	SHOW	展示	1801	53.69	3.26	933	14.94	2.97	1525
1041	INCREASE	增加	938	27.96	2.97	734	11.76	2.87	2525
1042	CARPENTER	木匠	85	2.53	1.93	54	0.86	1.73	12605
1043	BRAID	编	1943	57.92	3.29	881	14.11	2.94	1436
1044	PILLOW	枕头	487	14.52	2.69	331	5.3	2.52	4118
1046	SHUT	关闭	1204	35.89	3.08	642	10.28	2.81	2087
1047	PURSUE	追	2916	86.92	3.46	1724	27.61	3.24	1029
1050	MOTHER-IN-LAW	岳母	60	1.79	1.78	46	0.74	1.66	15441
1052	LIGHT (WEIGHT)	輕	5	0.15	0.7	1	0.02	0.0	46820
1053	HUNTER	猎人	345	10.28	2.54	189	3.03	2.28	5213
1054	SMALLPOX	天花	30	0.89	1.48	28	0.45	1.45	22255
1055	FATHER-IN-LAW	岳父	104	3.1	2.02	70	1.12	1.85	11210
1056	SON-IN-LAW	女婿	106	3.16	2.03	78	1.25	1.89	11075
1057	DAUGHTER-IN-LAW	儿媳	23	0.69	1.36	17	0.27	1.23	25225
106	SATIATED	饱	425	12.67	2.63	360	5.77	2.56	4543
1063	NEPHEW	侄子	467	13.92	2.67	300	4.81	2.48	4240
1065	SPIDER WEB	蜘蛛网	55	1.64	1.74	31	0.5	1.49	16146
1069	GLUE	胶	343	10.22	2.54	234	3.75	2.37	5229
1071	HOOK	钩	267	7.96	2.43	177	2.84	2.25	6221
1072	PRISONER	犯人	1040	31.0	3.02	437	7.0	2.64	2343
1075	TRAP (PITFALL)	陷阱	599	17.86	2.78	420	6.73	2.62	3519
1076	EMERGE (APPEAR)	出现	7322	218.26	3.86	3652	58.5	3.56	456
1077	WHEAT	麦子	14	0.42	1.15	10	0.16	1.0	31114
1080	VULGAR	粗俗	131	3.91	2.12	111	1.78	2.05	9756
