CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_MEAN	LINE_IN_SOURCE
1005	TWINS	twin	3.5806	2762
1006	BRICK	brick	3.3226	235
1007	COW	cow	2.4194	491
1008	BULL	bull	3.0312	274
101	BOAST	brag	3.9062	208
1011	BRIDGE	bridge	3.2188	237
1013	FRESHWATER EEL	eel	3.7742	714
1014	OR	or	2.4688	1633
1019	RIGHT	right	2.8125	1935
1024	CHARACTER	graph	4.2812	1014
1027	BUG	bug	2.3750	268
1028	YAWN	gape	5.5625	924
1033	GRIND	grind	4.3667	1034
1035	GOOD	good	2.1613	995
1039	SHOW	show	2.9062	2129
1040	HAIR	hair	2.4375	1079
1043	BRAID	braid	3.3000	209
1046	SHUT	shut	2.9000	2147
1047	PURSUE	chase	3.1290	348
1048	LINE	line	3.1613	1376
1052	LIGHT (WEIGHT)	light	2.8438	1370
1062	LAW	law	3.6452	1330
1064	SHIELD	shield	4.0968	2108
1065	SPIDER WEB	web	3.3125	2851
1066	CRIME	crime	3.9062	518
1068	COURT	court	4.2581	489
1069	GLUE	glue	2.7812	978
1070	BUS	bus	2.7097	286
1071	HOOK	hook	3.5312	1176
1075	TRAP (PITFALL)	trap	3.4375	2714
1077	WHEAT	wheat	3.9062	2876
1078	MAIN	main	3.8125	1442
1079	FEEL	feel	3.0000	758
1084	CALL	call	2.8125	302
1086	WORK (ACTIVITY)	work	3.1935	2937
1088	SINK (DESCEND)	sink	3.1613	2164
1092	HOPE	hope	3.5938	1181
1093	MIDDLE	mid	4.0667	1487
1096	SONG	song	2.7188	2293
1098	WEIGH	weigh	3.7188	2858
1100	COOK (SOMETHING)	cook	3.1000	468
1102	CLIMB	climb	3.3125	422
1104	NURSE	nurse	3.4062	1613
1105	CAMP	camp	3.1875	307
1107	GO OUT	out	2.5625	1641
1109	WOUND	wound	4.0938	2944
1110	SHARK	shark	2.8438	2090
1111	CAR	car	2.4062	312
1113	WRAP	wrap	3.5161	2947
1115	SPEECH	speech	3.8333	2325
1117	LIKE	like	2.5806	1371
1124	PIPE	pipe	3.8438	1729
1125	BALD	bald	3.7742	51
1127	SEND	send	3.5517	2070
113	SHORE	shore	3.6562	2123
1132	BEAM	beam	4.0312	82
1133	MATCH	match	3.4062	1462
1135	KICK	kick	2.9688	1272
1145	SWAMP	swamp	3.7188	2524
1147	PURE	pure	4.0312	1846
1148	BRUISE	bruise	3.7500	259
1151	VEIL	veil	4.5484	2788
1155	CAVE	cave	3.5000	328
1158	STEP	step	3.0323	2435
1160	THIEF	thief	3.9032	2617
1161	THREAD	thread	3.9655	2632
1163	BRIBE (AMOUNT)	bribe	4.6250	234
1169	OX	ox	3.5938	1645
1172	SHOOT	shoot	3.1935	2121
1175	GHOST	ghost	2.9688	946
1176	SPADE	spade	5.0000	2312
1182	NOISE	noise	2.8125	1593
1183	PALM OF HAND	palm	3.4375	1659
1187	GOOSE	goose	2.7742	997
119	DIVE	dive	3.3548	619
1190	HARE	hare	4.4688	1090
1193	STEAM	steam	3.8710	2427
1198	MANY	most	3.0312	1532
1199	WIFE	wives	3.9000	2926
12	MIDDAY	noon	3.6452	1596
1201	FEATHER	plume	5.6562	1760
1202	BIG	great	3.0645	1022
1203	LONG	long	3.0625	1399
1204	BARK	bark	2.6452	65
1205	TONGUE	tongue	2.8125	2685
1207	YOUNG	young	3.2903	2990
1208	CAT	cat	1.9310	323
121	SPIN	spin	3.2812	2337
1211	HE	he	2.0968	1109
1212	WE	we	2.1875	2845
