CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_SUBJECTIVE_FREQUENCY	FRENCH_IMAGEABILITY_MEAN	LINE_IN_SOURCE
1000	ANXIETY	anxiété	4.39	2.81	135
1006	BRICK	brique	3.82	6.72	424
1007	COW	vache	4.91	6.9	3486
1008	BULL	taureau	3.3	6.69	3305
1012	LATCH	verrou	2.77	4.22	3523
1013	FRESHWATER EEL	anguille	2.2	5.63	123
1017	APPEARANCE	aspect	4.45	1.98	184
1032	CITIZEN	citoyen	4.79	4.19	677
1034	DEFENDANT	accusé	4.32	3.06	29
1035	GOOD	bon	6.21	2.91	363
1036	OWNER	propriétaire	4.7	3.73	2772
1038	TEACHER	professeur	5.77	5.37	2755
1044	PILLOW	oreiller	5.58	6.74	2414
1048	LINE	ligne	5.3	5.73	2011
1049	MOLAR TOOTH	molaire	3.23	5.58	2225
1061	ARMOUR	armure	3.13	5.61	172
1063	NEPHEW	neveu	3.97	4.62	2329
1074	FISHHOOK	hameçon	2.87	6.33	1711
1075	TRAP (PITFALL)	piège	4.31	4.61	2582
1077	WHEAT	blé	4.18	6.5	348
108	RUDDER	gouvernail	2.13	4.69	1648
1081	BILL	compte	5.0	3.08	788
1092	HOPE	espérance	4.18	2.48	1311
11	DARKNESS	obscurité	3.67	4.18	2368
1103	SACRIFICE	sacrifice	4.13	2.97	3028
1110	SHARK	requin	3.55	6.83	2939
112	TURTLE	tortue	3.36	6.85	3384
1121	SECRET	secret	5.36	3.05	3085
1124	PIPE	pipe	3.87	6.46	2603
1125	BALD	chauve	3.61	5.87	637
1132	BEAM	poutre	2.79	5.38	2703
1134	DIVORCE	divorce	4.72	3.83	1125
1136	RABBIT	lapin	3.91	6.94	1964
1137	TENDON	tendon	3.28	4.66	3325
1139	LEOPARD	panthère	2.63	6.6	2457
1141	PITY	pitié	4.64	2.75	2613
1142	URINE	urine	3.7	6.21	3476
1143	OVEN	four	4.8	6.61	1522
1146	AUBERGINE	aubergine	2.43	5.9	213
1150	THUNDER	tonnerre	3.71	4.68	3375
1154	OLIVE	olive	4.25	6.88	2391
1155	CAVE	grotte	3.14	6.02	1683
1161	THREAD	fil	4.34	5.66	1458
1169	OX	boeuf	4.54	6.87	358
1173	EYEBROW	sourcil	4.6	6.67	3196
1175	GHOST	fantôme	3.87	5.98	1406
1181	PALM TREE	palmier	2.86	6.7	2453
1182	NOISE	bruit	5.59	3.36	440
1183	PALM OF HAND	paume	3.72	6.05	2518
1187	GOOSE	oie	2.66	6.72	2387
1189	ULCER	ulcère	2.94	4.61	3470
1190	HARE	lièvre	3.02	6.76	2009
1194	BEAVER	castor	3.47	6.81	565
1199	WIFE	épouse	4.66	5.0	1289
12	MIDDAY	midi	6.14	4.15	2192
120	PITCHER	cruche	3.0	5.61	952
1200	HUSBAND	époux	4.72	5.11	1291
1201	FEATHER	plume	4.68	6.76	2634
1204	BARK	écorce	3.35	6.21	1184
1208	CAT	chat	5.52	6.91	627
1219	WORM	ver	3.48	5.7	3512
1226	YEAR	année	5.6	3.37	126
124	THORN	épine	3.24	5.41	1282
1245	BUTTER	beurre	5.62	6.68	326
1246	SMALL	petit	5.95	4.44	2569
1248	EYE	oeil	5.78	6.87	2382
1251	BELLY	ventre	5.37	6.35	3510
1252	HOUSE	maison	6.43	6.67	2082
1254	HANDLE	poignée	4.46	5.43	2639
1256	HEAD	tête	6.2	6.65	3342
1257	WING	aile	4.05	6.32	77
1258	FINGERNAIL	ongle	4.9	6.41	2397
1259	WEDDING	mariage	5.15	5.4	2126
