CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_RT_MEAN	FRENCH_RT_ZSCORE	LINE_IN_SOURCE
100	FAITHFUL	fidèle	643.875	-0.487429019796699	16024
1000	ANXIETY	anxiété	645.875	-0.603282568169398	1877
1001	BLACKSMITH	forgeron	734.913043478261	-0.0720037892598509	16537
1002	STATUE	statue	628.0	-0.531009501850965	34462
1004	MUSCLE	muscle	606.458333333333	-0.423190579677319	23901
1005	TWINS	jumeau	607.96	-0.686023186861889	20952
1006	BRICK	brique	702.76	-0.218909985381078	4774
1007	COW	vache	588.807692307692	-0.828341822990232	37217
1008	BULL	taureau	661.695652173913	-0.560818410343834	35456
1011	BRIDGE	pont	722.434782608696	-0.0383137543360882	27346
1012	LATCH	verrou	723.16	-0.165825730148614	37621
1013	FRESHWATER EEL	anguille	817.095238095238	0.276479034685111	1734
1014	OR	ou	604.32	-0.645654971012278	25123
1017	APPEARANCE	aspect	694.76	-0.376270503972378	2547
1018	MEMORY	mémoire	607.791666666667	-0.590550898093071	22808
1019	RIGHT	droite	607.72	-0.645077703867361	11989
102	COMMON COLD (DISEASE)	rhume	585.521739130435	-0.802652154891228	32115
1021	TOWEL	serviette	584.32	-0.68203114317073	33530
1025	WHISTLE	siffler	652.727272727273	-0.568517305511554	33627
1028	YAWN	bâiller	716.454545454545	-0.192763983218707	3407
1032	CITIZEN	citoyen	609.72	-0.764278391401524	6549
1033	GRIND	moudre	823.95	0.317003135757836	23712
1034	DEFENDANT	accusé	550.809523809524	-0.908905847547594	474
1035	GOOD	bien	692.73381294964	-0.225434530609515	3990
1036	OWNER	propriétaire	687.0	-0.113589023296409	28531
1038	TEACHER	professeur	635.16	-0.603922031643156	28314
1039	SHOW	montrer	633.76	-0.400748544581227	23566
1040	HAIR	cheveux	631.95652173913	-0.523668834823152	6255
1042	CARPENTER	charpentier	696.909090909091	-0.141048838811813	6049
1043	BRAID	tresser	730.045454545455	0.107558869347653	36692
1044	PILLOW	oreiller	760.041666666667	0.157444787786752	24968
1045	POET	poète	602.818181818182	-0.792693081610026	27178
1046	SHUT	fermer	680.958333333333	-0.314225884745423	15891
1047	PURSUE	poursuivre	661.545454545455	-0.289463117123861	27634
1048	LINE	ligne	590.636363636364	-0.738519470725944	21540
1052	LIGHT (WEIGHT)	léger	613.304347826087	-0.754565483541108	21362
1053	HUNTER	chasseur	665.8	-0.35548644994621	6079
1061	ARMOUR	armure	664.95652173913	-0.344905382245241	2342
1062	LAW	loi	568.826086956522	-0.856908841159612	21713
1063	NEPHEW	neveu	695.666666666667	-0.292796980619912	24242
1064	SHIELD	bouclier	604.8	-0.53456171102996	4382
1067	JUDGMENT	jugement	610.692307692308	-0.633030102744056	20934
1069	GLUE	colle	614.416666666667	-0.536575349533655	6867
1070	BUS	bus	607.166666666667	-0.5834457784393	4986
