CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SER_MEAN	LINE_IN_SOURCE
1002	STATUE	statute	2.5	4892
1003	PERMIT	allow	2.3	96
1004	MUSCLE	muscle	5.363636363636363	3239
1005	TWINS	twin	3.3636363636363638	5467
1006	BRICK	brick	2.6	583
1007	COW	cow	4.2727272727272725	1161
1008	BULL	bull	3.1	640
101	BOAST	brag	2.1818181818181817	555
1011	BRIDGE	bridge	1.95	584
1014	OR	or	1.0	3420
1019	RIGHT	right	2.909090909090909	4170
102	COMMON COLD (DISEASE)	common	2.7	1021
1021	TOWEL	towel	3.8181818181818183	5345
1024	CHARACTER	graph	2.4	2214
1025	WHISTLE	whistle	4.181818181818182	5721
1027	BUG	bug	2.9	631
1028	YAWN	gape	2.8181818181818183	2060
1029	JEWEL	jewel	4.090909090909091	2652
1033	GRIND	grind	3.6363636363636362	2238
1035	GOOD	good	2.1666666666666665	2185
1038	TEACHER	teacher	4.0	5167
1039	SHOW	show	2.1	4508
1040	HAIR	hair	3.5	2301
1041	INCREASE	increase	2.4545454545454546	2559
1043	BRAID	braid	2.5454545454545454	556
1044	PILLOW	cushion	4.0	1257
1045	POET	poet	4.0	3715
1046	SHUT	shut	2.0	4529
1047	PURSUE	chase	2.5454545454545454	821
1048	LINE	line	2.5	2863
1061	ARMOUR	armor	4.363636363636363	184
1062	LAW	law	1.7272727272727273	2793
1063	NEPHEW	nephew	2.727272727272727	3295
1064	SHIELD	shield	1.7	4476
1065	SPIDER WEB	web	2.3	5669
1066	CRIME	crime	2.272727272727273	1198
1067	JUDGMENT	judgment	2.3636363636363638	2672
1068	COURT	court	2.3636363636363638	1154
1069	GLUE	glue	3.4	2157
107	OMEN	omen	3.0	3405
1070	BUS	bus	3.8	667
1071	HOOK	hook	3.25	2455
1075	TRAP (PITFALL)	trap	2.6	5373
1076	EMERGE (APPEAR)	appear	2.5	161
1077	WHEAT	wheat	2.0	5699
1079	FEEL	feel	3.3636363636363638	1787
108	RUDDER	rudder	2.909090909090909	4236
1080	VULGAR	vulgar	4.5	5606
1082	MERCHANT	merchant	3.0	3079
1084	CALL	call	2.6363636363636362	702
1085	FOLLOW	follow	2.272727272727273	1925
1086	WORK (ACTIVITY)	work	3.5454545454545454	5780
1087	CONCEIVE	conceive	3.3636363636363638	1043
1088	SINK (DESCEND)	sink	2.75	4561
109	FOREIGN	foreign	2.5454545454545454	1942
1092	HOPE	hope	1.7	2463
1093	MIDDLE	mid	1.2727272727272727	3098
1095	LET GO OR SET FREE	release	2.8181818181818183	4083
1096	SONG	song	4.4	4722
1098	WEIGH	weigh	2.1818181818181817	5679
1100	COOK (SOMETHING)	cook	3.1	1105
1101	SUFFER	suffer	3.3	5021
1102	CLIMB	climb	2.2	935
1104	NURSE	nurse	4.2727272727272725	3365
1105	CAMP	camp	2.5	709
1107	GO OUT	exit	4.4	1708
1110	SHARK	shark	3.7	4454
1111	CAR	car	3.0	736
1112	SUCCEED	succeed	2.6	5013
1113	WRAP	wrap	2.8	5790
1114	BULLET	bullet	5.1	641
1115	SPEECH	speech	2.6363636363636362	4769
1117	LIKE	like	1.4545454545454546	2853
1119	DIVIDE	divide	2.6363636363636362	1472
112	TURTLE	turtle	3.3636363636363638	5455
1120	HONEST	honest	3.3636363636363638	2448
1121	SECRET	secret	3.0	4388
1123	PREGNANT	pregnant	3.727272727272727	3788
1124	PIPE	pipe	2.7	3650
1125	BALD	bald	2.75	278
1127	SEND	send	1.9090909090909092	4409
1128	ORDER	order	2.0	3427
113	SHORE	shore	2.2	4499
1132	BEAM	beam	4.8	346
1133	MATCH	match	3.4545454545454546	3032
1134	DIVORCE	divorce	2.8181818181818183	1474
1136	RABBIT	rabbit	4.5	3969
1137	TENDON	tendon	3.5454545454545454	5188
1138	FAIRY	fairy	3.5	1744
1139	LEOPARD	panther	4.5	3487
1140	FATIGUE	fatigue	5.090909090909091	1771
1141	PITY	pity	3.6	3657
1143	OVEN	oven	4.363636363636363	3444
1144	WITNESS	witness	2.8181818181818183	5762
1145	SWAMP	swamp	4.363636363636363	5074
1147	PURE	pure	2.6	3912
1148	BRUISE	bruise	5.1	612
1149	ORPHAN	orphan	4.1	3431
1150	THUNDER	thunder	5.0	5262
1151	VEIL	veil	2.909090909090909	5535
1153	CATTLE	cattle	5.6	772
1154	OLIVE	olive	4.5	3402
1155	CAVE	cave	3.1	778
1156	OPEN	open	2.4545454545454546	3414
1157	BECAUSE	because	1.3636363636363635	356
1158	STEP	step	2.7	4909
1160	THIEF	thief	2.4545454545454546	5223
1161	THREAD	thread	2.3636363636363638	5239
1163	BRIBE (AMOUNT)	bribe	2.9166666666666665	582
1165	MOUSTACHE	moustache	4.818181818181818	3211
1169	OX	ox	2.6666666666666665	3449
1171	MIRROR	mirror	3.727272727272727	3128
1172	SHOOT	shoot	5.090909090909091	4497
1175	GHOST	ghost	2.9166666666666665	2112
1176	SPADE	spade	2.272727272727273	4745
1178	NOSTRIL	nostril	5.0	3344
1182	NOISE	noise	3.727272727272727	3332
1183	PALM OF HAND	palm	2.6	3474
1185	VULTURE	vulture	4.636363636363637	5607
1187	GOOSE	goose	3.090909090909091	2187
1188	CHARCOAL	charcoal	3.6363636363636362	814
1189	ULCER	ulcer	3.3	5484
119	DIVE	dive	2.6	1469
1193	STEAM	steam	3.272727272727273	4900
1194	BEAVER	beaver	4.181818181818182	355
1197	BABOON	baboon	3.3636363636363638	264
1198	MANY	most	1.2727272727272727	3197
1199	WIFE	wives	2.5454545454545454	5763
12	MIDDAY	noon	2.727272727272727	3337
1200	HUSBAND	husband	3.7	2512
1201	FEATHER	plume	3.2	3702
1202	BIG	great	1.4	2225
1203	LONG	long	2.272727272727273	2911
1204	BARK	bark	4.636363636363637	310
1205	TONGUE	tongue	4.2727272727272725	5314
1207	YOUNG	young	2.5454545454545454	5841
1208	CAT	kitty	3.909090909090909	2717
121	SPIN	spin	3.090909090909091	4782
1210	HEAVY	heavy	4.909090909090909	2368
1211	HE	he	1.4	2353
1212	WE	we	1.5	5659
1213	YOU	you	3.4545454545454546	5840
1214	THIS	these	1.2727272727272727	5219
1216	MOTHER	mother	5.2	3200
1217	FATHER	dad	4.0	1269
1218	ROPE	cord	1.9	1117
122	CART	cart	2.1818181818181817	752
1220	TAIL	tail	2.5	5128
1221	NOSE	nose	3.8181818181818183	3343
1223	HEART	heart	3.909090909090909	2361
1224	LIVER	liver	2.9	2884
1225	DAY (NOT NIGHT)	day	2.6	1300
1226	YEAR	year	1.7272727272727273	5822
1227	BOARD	plank	3.727272727272727	3670
1228	EARTH (SOIL)	soil	3.5	4704
1229	OLD	old	2.6	3401
123	FOREHEAD	forehead	3.4	1941
1230	DIRTY	dirty	5.090909090909091	1434
1231	NEW	new	1.9090909090909092	3304
1232	WARM	warm	3.909090909090909	5643
1233	NIGHT	night	4.181818181818182	3314
1234	SMOOTH	smooth	4.181818181818182	4655
1235	WHO	who	1.0909090909090908	5725
1236	WHAT	what	1.1818181818181819	5698
1237	WHERE	where	1.1818181818181819	5705
1238	WHEN	when	1.1818181818181819	5703
