CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	NODE	DEGREE	WEIGHTED_DEGREE	EDGES	LINE_IN_SOURCE
10	FIREWOOD	FIREWOOD	7714	0	0		20682
100	FAITHFUL	FAITHFUL	7351	43	99	A;D;U;L;T;:;1;;;C;E;R;T;A;I;N;:;1;;;C;H;R;I;S;T;:;1;;;C;H;U;R;C;H;:;1;;;D;E;D;I;C;A;T;E;D;:;1;;;D;I;S;C;I;P;L;E;:;1;;;D;O;G;:;1;8;;;E;V;E;R;:;1;;;F;A;I;T;H;L;E;S;S;:;3;;;F;E;L;I;C;I;T;Y;:;1;;;F;E;W;:;3;;;F;I;A;N;C;E;:;1;;;F;R;I;E;D;:;1;;;F;R;I;E;N;D;:;5;;;G;I;R;L;:;1;;;G;I;R;L;F;R;I;E;N;D;:;1;;;G;O;O;D;:;5;;;H;A;N;D;:;1;;;H;E;A;D;:;1;;;H;O;N;E;S;T;:;1;;;H;U;S;B;A;N;D;:;2;;;L;O;N;E;L;Y;:;1;;;L;O;V;E;:;1;;;L;O;V;E;R;:;3;;;L;O;Y;A;L;:;1;;;M;A;R;I;A;N;N;E;:;1;0;;;M;E;:;3;;;M;I;S;T;R;E;S;S;:;1;;;O;N;E;S;:;1;;;P;L;E;A;S;E;:;1;;;S;E;R;V;A;N;T;:;1;;;S;I;N;C;E;R;E;:;1;;;S;O;L;D;I;E;R;:;1;;;S;O;U;L;:;1;;;S;T;U;P;I;D;:;1;;;T;R;U;E;:;6;;;T;W;O;:;1;;;U;G;L;Y;:;1;;;U;N;F;A;I;T;H;F;U;L;:;7;;;W;I;F;E;:;3;;;W;I;V;E;S;:;1;;;Y;E;S;:;1;;;Y;O;U;:;1	20279
1000	ANXIETY	ANXIETY	1059	38	99	A;N;X;I;E;T;Y;:;1;;;A;N;X;I;O;U;S;:;4;;;C;A;R;E;:;1;;;C;O;M;P;L;E;X;:;1;;;C;R;E;A;T;I;O;N;:;1;;;D;E;A;T;H;:;1;;;D;I;L;E;M;M;A;:;1;;;E;X;A;M;S;:;1;;;F;A;C;E;:;1;;;F;E;A;R;:;1;4;;;F;R;I;G;I;D;:;1;;;H;E;L;P;L;E;S;S;:;1;;;L;U;S;T;:;1;;;M;I;S;E;R;Y;:;1;;;M;O;T;H;E;R;:;1;;;N;E;R;V;O;U;S;N;E;S;S;:;1;;;N;E;U;R;O;S;E;S;:;1;;;N;E;U;R;O;S;I;S;:;4;;;P;A;I;N;:;1;;;P;O;L;I;C;E;:;1;;;R;E;F;L;E;X;:;1;;;S;C;R;E;W;S;:;1;;;S;E;X;:;1;;;S;E;X;U;A;L;:;1;;;S;O;M;E;T;I;M;E;:;1;;;S;T;A;T;E;:;1;;;S;T;R;A;I;N;:;1;;;S;T;R;E;S;S;:;3;;;S;W;E;A;T;:;1;;;S;Y;N;D;R;O;M;E;:;1;;;T;E;A;S;E;:;1;;;T;E;N;S;I;O;N;:;1;;;T;R;O;U;B;L;E;:;1;;;T;R;O;U;B;L;E;D;:;1;;;W;A;I;T;I;N;G;:;1;;;W;E;E;D;:;1;;;W;O;R;K;:;2;;;W;O;R;R;Y;:;4;0	658
1001	BLACKSMITH	BLACKSMITH	2227	28	96	A;N;V;I;L;:;1;0;;;B;I;C;E;P;S;:;1;;;B;L;A;C;K;:;2;;;C;H;E;S;T;N;U;T;:;1;;;C;O;P;P;E;R;:;1;;;D;A;D;:;1;;;F;O;R;G;E;:;1;2;;;G;O;L;D;S;M;I;T;H;:;1;;;H;A;M;M;E;R;:;6;;;H;O;R;S;E;:;2;0;;;H;O;R;S;E;-;S;H;O;E;:;1;;;H;O;R;S;E;-;S;H;O;E;S;:;2;;;H;O;R;S;E;S;:;3;;;H;O;R;S;E;S;H;O;E;:;8;;;H;O;T;:;1;;;I;R;O;N;:;4;;;J;O;I;N;E;R;:;1;;;L;O;C;K;S;M;I;T;H;:;1;;;M;A;N;:;2;;;O;B;E;S;E;:;1;;;P;O;W;E;R;:;1;;;S;.; ;A;F;R;I;C;A;:;1;;;S;H;O;E;:;7;;;S;H;O;E;S;:;3;;;S;M;I;T;H;Y;:;2;;;S;W;E;A;T;:;1;;;V;A;L;L;E;Y;:;1;;;W;O;O;D;:;1	13636
1002	STATUE	STATUE	19506	52	91	A;L;B;E;R;T;:;1;;;B;A;R;E;:;1;;;B;I;G;:;1;;;B;R;O;N;Z;E;:;1;;;B;U;I;L;D;:;1;;;C;H;U;R;C;H;I;L;L;:;1;;;C;O;B;:;1;;;C;O;N;C;R;E;T;E;:;1;;;C;O;P;E;N;H;A;G;E;N;:;1;;;D;A;V;I;D;:;1;;;D;E;A;D;:;1;;;E;S;K;:;1;;;F;I;G;U;R;E;:;2;;;F;O;R;M;:;1;;;G;O;D;:;1;;;G;R;E;E;K;:;1;;;H;E;L;L;O;:;1;;;H;O;N;O;U;R;:;1;;;H;O;R;S;E;:;1;;;I;D;O;L;:;1;;;J;U;N;K;:;1;;;J;U;N;O;:;1;;;L;E;G;:;1;;;L;I;B;E;R;T;Y;:;1;8;;;L;I;K;E;N;E;S;S;:;1;;;M;A;R;B;L;E;:;7;;;M;E;M;O;R;I;A;L;:;1;;;M;I;C;H;E;L;A;N;G;E;L;O;:;1;;;M;O;D;E;L;:;1;;;M;O;N;U;M;E;N;T;:;2;;;N;A;P;O;L;E;O;N;:;1;;;N;E;L;S;O;N;:;2;;;O;F; ;L;I;B;E;R;T;Y;:;5;;;P;E;R;S;O;N;:;1;;;P;I;C;T;U;R;E;:;1;;;P;I;G;E;O;N;:;1;;;P;O;L;I;S;H;E;D;:;1;;;P;O;M;P;E;Y;:;1;;;R;E;L;I;G;I;O;N;:;1;;;R;O;C;K;:;1;;;R;O;M;A;N;S;:;1;;;S;C;U;L;P;T;O;R;:;1;;;S;C;U;L;P;T;U;R;E;:;1;;;S;H;A;K;E;S;P;E;A;R;E;:;1;;;S;T;A;N;D;:;1;;;S;T;I;L;L;:;1;;;S;T;O;N;E;:;1;0;;;S;Y;M;B;O;L;:;1;;;T;H;I;N;K;E;R;:;1;;;T;R;A;F;A;L;G;A;R; ;S;Q;U;A;R;E;:;1;;;U;P;P;E;R; ;C;L;A;S;S;:;1;;;V;E;N;U;S;:;1	10565
1003	PERMIT	PERMIT	15142	32	99	A;D;V;A;N;C;E;:;1;;;A;L;L;O;W;:;4;7;;;B;U;S;:;3;;;B;U;S;E;S;:;1;;;C;A;M;P;:;1;;;C;A;R;:;1;;;C;O;N;C;E;S;S;I;O;N;:;1;;;D;E;N;Y;:;1;;;D;R;I;V;I;N;G;:;1;;;F;I;S;H;I;N;G;:;5;;;F;R;O;N;T;I;E;R;:;2;;;G;I;V;E;:;1;;;G;R;A;T;E;F;U;L;:;1;;;G;U;N;:;1;;;H;E;R;M;I;T;:;2;;;H;O;L;D;E;R;:;2;;;L;E;T;:;3;;;L;I;C;E;N;C;E;:;5;;;L;I;C;E;N;S;E;:;1;;;O;N;E;:;1;;;P;A;S;S;:;3;;;P;A;S;S;P;O;R;T;:;1;;;P;E;R;M;I;S;S;I;V;E;:;1;;;P;E;R;M;I;T;T;E;D;:;1;;;R;E;D; ;T;A;P;E;:;1;;;R;E;S;T;R;A;I;N;T;:;1;;;S;H;O;O;T;:;1;;;S;T;O;P;:;1;;;T;R;A;V;E;L;:;2;;;U;S;:;1;;;V;I;S;A;:;3;;;W;O;R;K;:;2	5717
1005	TWINS	TWINS	21503	0	0		12785
1006	BRICK	BRICK	2696	30	98	B;A;R;:;1;;;B;A;T;:;3;;;B;R;A;D;F;O;R;D;:;1;;;B;U;I;L;D;:;1;;;B;U;I;L;D;E;R;:;2;;;B;U;I;L;D;I;N;G;:;5;;;B;U;I;L;T;:;2;;;C;E;M;E;N;T;:;5;;;C;O;N;C;R;E;T;E;:;1;;;D;R;O;P;:;3;;;D;U;S;T;:;2;;;E;A;R;T;H;:;1;;;F;I;R;E;:;1;;;G;O;O;D;:;1;;;H;A;L;F;:;1;;;H;O;U;S;E;:;1;5;;;L;A;Y;E;R;:;5;;;L;E;A;F;:;1;;;M;O;R;T;A;R;:;1;3;;;N;I;C;E;:;1;;;R;E;D;:;7;;;S;H;I;T;:;1;;;S;T;O;N;E;:;3;;;S;T;R;A;W;:;1;;;T;H;R;O;W;:;3;;;T;O;W;E;R;:;1;;;U;N;I;V;E;R;S;I;T;Y;:;1;;;W;A;L;L;:;1;2;;;W;I;N;D;O;W;:;3;;;W;O;R;K;:;1	15106
1007	COW	COW	4766	33	99	A;N;I;M;A;L;:;2;;;B;A;G;:;1;;;B;E;E;F;:;1;;;B;E;L;L;:;1;;;B;I;G;:;1;;;B;L;A;C;K;:;1;;;B;O;Y;:;1;;;B;U;L;L;:;1;1;;;C;A;L;F;:;3;;;C;A;T;T;L;E;:;1;;;D;O;G;:;1;;;D;U;N;G;:;1;;;E;Y;E;S;:;1;;;F;I;E;L;D;:;4;;;G;A;T;E;:;3;;;H;E;R;D;:;1;;;H;O;R;N;:;2;;;H;O;R;S;E;:;3;;;I;N;J;U;S;T;I;C;E;:;1;;;M;I;L;K;:;3;8;;;M;I;L;K;M;A;I;D;:;1;;;M;O;O;:;3;;;N;U;N;:;1;;;P;A;S;T;U;R;E;:;1;;;P;I;G;:;1;;;P;O;O;R;:;3;;;P;O;X;:;1;;;S;H;E;E;P;:;1;;;S;L;I;P;:;2;;;S;M;A;L;L;:;1;;;S;T;I;L;L;:;1;;;U;D;D;E;R;:;4;;;W;O;M;A;N;:;1	17406
1008	BULL	BULL	2869	38	95	A;R;M;Y;:;1;;;B;A;L;L;:;1;;;B;A;R;K;I;N;G;:;1;;;B;A;T;:;1;;;B;E;A;R;:;1;;;B;E;E;R;:;1;;;B;I;L;L;:;1;;;B;L;A;C;K;:;1;;;B;L;O;O;D;:;1;;;B;O;Y;:;1;;;B;U;S;H;:;1;;;B;U;T;C;H;E;R;:;1;;;C;A;T;T;L;E;:;1;;;C;H;A;R;G;E;:;1;;;C;O;C;K;:;1;;;C;O;W;:;3;6;;;D;O;G;:;2;;;D;O;Z;E;:;1;;;D;U;S;T;:;1;;;E;Y;E;:;1;;;F;A;R;M;:;1;;;F;I;E;L;D;:;4;;;F;I;G;H;T;:;6;;;F;I;N;C;H;:;1;;;G;A;R;D;E;N;:;1;;;G;A;T;E;:;1;;;H;E;A;D;:;1;;;H;O;R;N;:;2;;;H;O;R;N;S;:;9;;;L;O;C;K;S;:;1;;;M;A;T;A;D;O;R;:;1;;;M;A;T;I;N;G;:;1;;;R;E;D;:;2;;;R;I;N;G;:;3;;;R;U;S;H;:;1;;;S;H;I;T;:;1;;;S;P;A;I;N;:;1;;;V;I;R;I;L;E;:;2	15298
