CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AROUSAL_MEAN	ENGLISH_VALENCE_MEAN	ENGLISH_DOMINANCE_MEAN	ENGLISH_CONCRETENESS_MEAN	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_FAMILIARITY_MEAN	ENGLISH_AOA_MEAN	ENGLISH_SEM_SIZE_MEAN	ENGLISH_GENDER_ASSOCIATION_MEAN
100	FAITHFUL	faithful	5.5430	7.8000	5.7430	2.5000	3.2940	5.8790	5.0000	5.3710	2.4860
1000	ANXIETY	anxiety	5.2650	2.2570	2.3130	2.6180	4.0570	5.5880	5.4710	5.0590	3.1470
1001	BLACKSMITH	blacksmith	3.7060	5.2650	5.0880	6.4550	6.5000	3.6970	4.7880	4.2420	6.3330
1002	STATUE	statute	3.4840	5.0000	5.0670	4.4640	3.6430	3.6360	5.8670	4.5560	4.6330
1003	PERMIT	allow	4.0880	6.2060	5.7270	2.9710	2.4120	6.1290	2.8240	4.0590	3.8820
1004	MUSCLE	muscle	5.1880	6.0880	6.4410	6.5000	6.4120	6.4190	3.7060	4.4380	6.0000
1005	TWINS	twin	4.1470	5.5710	4.7140	6.0570	6.0290	5.6970	2.8290	4.0000	3.7350
1007	COW	cow	3.1470	5.1770	5.0290	6.8530	6.8820	6.3750	1.7350	4.1770	3.4120
1008	BULL	bull	4.8000	4.2650	5.5630	6.5880	6.5290	5.4550	3.3240	4.7880	6.2860
101	BOAST	boast	4.6670	3.2260	6.2730	3.1940	2.8750	5.1940	4.6860	4.9700	4.9390
1011	BRIDGE	bridge	3.6360	5.3330	5.5880	6.9380	6.6880	6.1610	2.4120	4.9700	4.7650
1013	FRESHWATER EEL	eel	3.5590	4.7650	4.8820	6.5760	6.3640	4.8180	3.2350	2.7350	4.5290
1017	APPEARANCE	appearance	5.4060	5.4060	4.6880	2.5460	3.1560	5.5520	4.4380	4.3940	2.9380
