CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_HAPPINESS_MEAN	SPANISH_DISGUST_MEAN	SPANISH_ANGER_MEAN	SPANISH_FEAR_MEAN	SPANISH_SADNESS_MEAN	SPANISH_POS	LINE_IN_SOURCE
10	FIREWOOD	leña	2.4500	1.3500	1.3000	1.1500	1.1500	NOUN	5997
1005	TWINS	gemelos	2.7500	1.0000	1.1000	1.3000	1.1000	NOUN	4741
1012	LATCH	cerrojo	1.4000	1.1000	1.3000	1.6000	1.6000	NOUN	1849
1019	RIGHT	derecho	2.7500	1.4000	1.5500	1.2000	1.3500	NOUN	2976
102	COMMON COLD (DISEASE)	catarro	1.0500	2.5300	2.6000	1.9000	2.4500	NOUN	1743
1025	WHISTLE	silbar	3.6500	1.4000	1.5500	1.1500	1.4500	VERB	9200
1039	SHOW	mostrar	1.9500	1.1500	1.1000	1.6500	1.5500	VERB	6691
1045	POET	poeta	2.9500	1.0000	1.1000	1.0500	1.9000	NOUN	7707
1046	SHUT	cerrar	1.5300	1.0500	1.7000	1.4500	1.7500	VERB	1847
1047	PURSUE	perseguir	1.8000	1.5500	2.5000	3.1000	2.0500	VERB	7514
1048	LINE	línea	1.9000	1.0500	1.0500	1.0000	1.0500	NOUN	6076
1059	STEPSON	hijastro	1.7000	1.3500	1.1500	1.0000	1.8000	NOUN	5028
1061	ARMOUR	armadura	1.7500	1.3000	1.5500	1.8500	1.9000	NOUN	796
1062	LAW	ley	1.9500	1.6500	2.1500	2.0500	1.6000	NOUN	6021
1063	NEPHEW	sobrino	3.2500	1.0000	1.2000	1.0000	1.1000	NOUN	9291
1067	JUDGMENT	juicio	1.6000	1.3000	1.6000	2.6500	2.4000	NOUN	5865
1068	COURT	tribunal	1.5000	1.8000	2.3000	2.1500	1.8500	NOUN	9983
1071	HOOK	gancho	1.8500	1.5000	1.7500	2.1100	1.2500	NOUN	4708
1074	FISHHOOK	anzuelo	1.4700	2.2000	1.6000	1.8500	1.8400	NOUN	655
1077	WHEAT	trigo	2.1500	1.1500	1.0500	1.0500	1.1000	NOUN	9994
108	RUDDER	timón	1.9000	1.1100	1.0000	1.3500	1.1500	NOUN	9788
