CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	POLISH_HAPPINESS_MEAN	POLISH_ANGER_MEAN	POLISH_SADNESS_MEAN	POLISH_FEAR_MEAN	POLISH_DISGUST_MEAN	POLISH_HAPPINESS_MEAN_FEMALE	POLISH_ANGER_MEAN_FEMALE	POLISH_SADNESS_MEAN_FEMALE	POLISH_FEAR_MEAN_FEMALE	POLISH_DISGUST_MEAN_FEMALE	POLISH_HAPPINESS_MEAN_MALE	POLISH_ANGER_MEAN_MALE	POLISH_SADNESS_MEAN_MALE	POLISH_FEAR_MEAN_MALE	POLISH_DISGUST_MEAN_MALE	LINE_IN_SOURCE
1098	WEIGH	ważyć	waage	1.8846	2.5385	2.1923	2.6154	2.1154	1.5714	2.7857	2.2143	2.8571	2.2857	2.2500	2.2500	2.1667	2.3333	1.9167	2480
1156	OPEN	otwierać	öffnen	4.4815	1.3704	1.2593	2.1481	1.2222	5.2857	1.2857	1.2143	2.4286	1.1429	3.6154	1.4615	1.3077	1.8462	1.3077	1415
1208	CAT	kot	katze	4.3846	1.6538	1.4615	1.5769	1.6538	5.3333	1.3333	1.2500	1.3333	1.3333	3.5714	1.9286	1.6429	1.7857	1.9286	789
1221	NOSE	nos	nase	2.2963	1.6667	1.5556	1.4074	1.5185	2.1429	1.5714	1.6429	1.3571	1.2857	2.4615	1.7692	1.4615	1.4615	1.7692	1232
1223	HEART	serce	herz	5.3333	1.4074	2.5185	2.3333	1.2222	6.0714	1.7857	3.0714	3.0000	1.3571	4.5385	1.0000	1.9231	1.6154	1.0769	1991
1248	EYE	oko	auge	3.0000	1.3333	1.4815	1.7778	1.3333	3.1429	1.2857	1.2857	2.0000	1.2857	2.8462	1.3846	1.6923	1.5385	1.3846	1345
1252	HOUSE	dom	zuhause	6.1111	1.9630	2.2222	2.0000	1.4444	6.2143	1.5714	2.0714	1.7857	1.2857	6.0000	2.3846	2.3846	2.2308	1.6154	344
1261	SING	śpiewać	singen	5.4615	1.5385	1.7308	1.6154	1.4231	5.6667	1.6667	1.6667	1.6667	1.4167	5.2857	1.4286	1.7857	1.5714	1.4286	2250
1280	FALL	spadać	fallen	1.3704	2.8889	2.9630	4.5926	2.3704	1.5000	2.7857	2.8571	5.0000	2.5714	1.2308	3.0000	3.0769	4.1538	2.1538	2069
1290	ELEPHANT	słoń	elefant	4.6154	1.2308	1.4615	2.1538	1.1538	5.0909	1.2727	1.6364	2.3636	1.1818	4.2667	1.2000	1.3333	2.0000	1.1333	2048
1302	FORK	widelec	gabel	2.4074	1.4444	1.2222	1.6296	1.2963	2.8571	1.6429	1.2143	1.7143	1.4286	1.9231	1.2308	1.2308	1.5385	1.1538	2511
1313	MOON	księżyc	mond	5.0000	1.3077	2.7308	1.6538	1.1154	5.1538	1.0769	3.2308	1.6923	1.1538	4.8462	1.5385	2.2308	1.6154	1.0769	832
1321	BOTTLE	butelka	flasche	2.7308	1.7692	1.6923	1.8462	1.6538	2.7273	2.2727	2.4545	2.6364	2.0000	2.7333	1.4000	1.1333	1.2667	1.4000	191
1323	CLOCK	zegar	uhr	2.6296	2.1481	2.1111	2.0741	1.4444	2.6429	2.1429	1.9286	2.2857	1.5000	2.6154	2.1538	2.3077	1.8462	1.3846	2804
1324	SLIP	zjeżdżalnia	rutsche	5.1481	1.1852	1.1852	2.1111	1.0741	5.4286	1.2143	1.1429	2.2143	1.0714	4.8462	1.1538	1.2308	2.0000	1.0769	2819
1336	EAT	jeść	essen	5.5000	1.5385	1.5769	1.5385	1.3462	5.8333	1.6667	1.5000	1.5000	1.4167	5.2143	1.4286	1.6429	1.5714	1.2857	634
