CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_EMOTION_POLARITY	FRENCH_JOY_ASSOCIATION	FRENCH_FEAR_ASSOCIATION	FRENCH_SADNESS_ASSOCIATION	FRENCH_ANGER_ASSOCIATION	FRENCH_SURPRISE_ASSOCIATION	FRENCH_DISGUST_ASSOCIATION	LINE_IN_SOURCE
10	FIREWOOD	bois de chauffage	positive	0	0	0	0	0	0	2920
100	FAITHFUL	fidèle	positive	0	0	0	0	0	0	639
1000	ANXIETY	anxiété	negative	0	1	1	1	0	0	2181
1001	BLACKSMITH	forgeron	positive	0	0	0	0	0	0	6760
1002	STATUE	statue	positive	0	0	0	0	0	0	12853
1004	MUSCLE	muscle	positive	0	0	0	0	0	0	9355
1005	TWINS	jumeau	positive	0	0	0	0	0	0	8307
1006	BRICK	brique	positive	0	0	0	0	0	0	3069
1007	COW	vache	positive	0	0	0	0	0	0	13768
1008	BULL	taureau	negative	0	1	0	0	0	0	13179
101	BOAST	se vanter	negative	0	0	0	0	0	0	12405
1011	BRIDGE	pont	positive	0	0	0	0	0	0	10589
1012	LATCH	verrou	positive	0	0	0	0	0	0	13889
1013	FRESHWATER EEL	anguille	negative	0	1	0	0	0	1	2127
1016	DRIZZLE	bruine	negative	0	0	1	0	0	1	3095
1017	APPEARANCE	aspect	positive	0	0	0	0	0	0	2361
1018	MEMORY	mémoire	positive	0	0	0	0	0	0	8979
102	COMMON COLD (DISEASE)	rhume	negative	0	0	1	0	0	0	11836
1021	TOWEL	serviette	positive	0	0	0	0	0	0	12525
1025	WHISTLE	siffler	negative	0	1	0	1	1	0	12557
1028	YAWN	bâiller	negative	0	0	0	0	0	0	2656
1032	CITIZEN	citoyen	positive	0	0	0	0	0	0	238
1033	GRIND	moudre	negative	0	0	0	1	0	0	9303
1035	GOOD	bon	positive	0	0	0	0	1	0	2938
1038	TEACHER	professeur	positive	0	0	0	0	0	0	10906
1039	SHOW	montrer	positive	0	1	0	0	0	0	9257
1042	CARPENTER	charpentier	positive	0	0	0	0	0	0	3527
1043	BRAID	tresser	positive	0	0	0	0	0	0	13599
1044	PILLOW	oreiller	positive	0	0	0	0	0	0	9778
1045	POET	poète	positive	0	0	0	0	0	0	10527
1046	SHUT	fermer	positive	0	0	0	0	0	0	6578
1047	PURSUE	poursuivre	negative	0	1	1	1	0	0	10703
1048	LINE	ligne	positive	0	0	0	1	0	0	8536
1049	MOLAR TOOTH	molaire	positive	0	0	0	0	0	0	9220
1052	LIGHT (WEIGHT)	léger	positive	0	0	0	0	0	0	887
1053	HUNTER	chasseur	negative	0	1	1	1	0	0	226
1061	ARMOUR	armure	positive	0	1	0	0	0	0	2303
