CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	SPANISH_AOA_ZSCORE	LINE_IN_SOURCE
1003	PERMIT	permitir	7.612244897959184	2	15	-0.8765656495918955	3385
1025	WHISTLE	silbar	5.46	2	10	-1.6953256719602061	4191
1028	YAWN	bostezar	5.12	2	13	-1.824668948772799	749
1033	GRIND	moler	7.84	3	16	-0.7899227342720555	3151
1039	SHOW	mostrar	6.58	2	13	-1.2692537012834293	3170
1043	BRAID	trenzar	8.183673469387756	3	13	-0.6591819910833357	4483
1046	SHUT	cerrar	4.04	1	9	-2.2355240633539766	892
1047	PURSUE	perseguir	6.54	3	19	-1.2844705573790285	3393
1069	GLUE	pegar	4.64	2	10	-2.0072712219199893	3345
1079	FEEL	sentir	5.5	1	14	-1.680108815864607	4169
1084	CALL	llamar	4.02	1	7	-2.2431324914017763	2990
1085	FOLLOW	seguir	4.96	2	11	-1.8855363731551957	4159
1087	CONCEIVE	concebir	11.36734693877551	6	16	0.5519555348929245	1048
1088	SINK (DESCEND)	hundir	6.58	3	12	-1.2692537012834293	2687
1090	BE BORN	nacer	4.6	2	8	-2.0224880780155883	3191
1095	LET GO OR SET FREE	lanzar	5.32	2	10	-1.748584668294803	2940
1098	WEIGH	pesar	6.408163265306122	3	16	-1.3346240728777892	3405
1100	COOK (SOMETHING)	cocinar	4.6	2	8	-2.0224880780155883	960
1102	CLIMB	subir	3.98	2	9	-2.2583493474973753	4275
1107	GO OUT	salir	4.469387755102041	2	13	-2.0721757713889732	4121
1119	DIVIDE	dividir	7.061224489795919	3	13	-1.0861856060108637	1870
1135	KICK	chutar	7.73469387755102	3	16	-0.8299834370543472	921
1152	BEGET	engendrar	11.510204081632653	6	17	0.6063014495200642	2109
1156	OPEN	abrir	4.020408163265306	2	13	-2.2429772173599845	43
117	IMITATE	imitar	6.18	2	11	-1.421422262239421	2708
1186	LAST (ENDURE)	durar	6.46	3	14	-1.3149042695702269	1914
119	DIVE	bucear	7.66	3	15	-0.8583985867022517	763
1192	THREATEN	amenazar	8.428571428571429	4	15	-0.5660175660082389	364
1206	BARKING	ladrar	3.84	2	8	-2.3116083438319723	2932
121	SPIN	girar	4.38	2	9	-2.1061807865413837	2586
1255	SNOWING	nevar	5.081632653061225	1	10	-1.8392647087012308	3204
1261	SING	cantar	4.06	2	10	-2.2279156353061773	817
1264	CHANGE	cambiar	5.58	2	12	-1.6496751036734085	803
127	EXTINGUISH	apagar	4.5	2	13	-2.0605302182545864	431
1271	DELIGHT	complacer	10.5	4	16	0.2219981960852894	1023
1275	ANSWER	contestar	5.24	2	13	-1.7790183804860014	1165
1278	VOMIT	vomitar	4.64	2	9	-2.0072712219199893	4617
1280	FALL	caer	3.98	2	13	-2.2583493474973753	782
129	CHOKE	ahogarse	5.489795918367347	2	11	-1.6839906669094027	266
1308	DOUBT	dudar	6.66	3	12	-1.238819989092231	1910
1309	ASK (INQUIRE)	pedir	4.34	2	9	-2.1213976426369827	3344
1324	SLIP	deslizar	8.36	4	12	-0.5921036050292664	1638
133	WEAVE	tejer	8.020408163265307	3	15	-0.7212916078000671	4370
1330	DEFEND	defender	6.14	1	12	-1.4366391183350202	1329
1336	EAT	comer	3.24	1	9	-2.53986118526596	1000
1341	HEAT UP	calentar	5.08	2	9	-1.8398858048683981	791
1355	LAUGH	reír	3.64	1	8	-2.387692624309968	3881
1359	SEPARATE	separar	5.86	3	11	-1.5431571110042142	4175
1367	CROSS	cruzar	5.84	3	11	-1.550765539052014	1255
