CONCEPTICON_ID	CONCEPTICON_GLOSS	ARABIC	ENGLISH	ARABIC_CONCRETENESS_MEAN	ARABIC_AOA_MEAN	ARABIC_FREQUENCY_PM	ARABIC_POS	LINE_IN_SOURCE
1002	STATUE	تمثال	Statue	5.94736842105263	4.21739130434783	19.95	noun	752
1010	BOUNDARY	طرف	Party	3.4	4	406.45142	noun	1468
1011	BRIDGE	جسر	Bridge	5.76190476190476	4	52.37	noun	852
1016	DRIZZLE	رذاذ	Spray	4.29411764705882	5.25925925925926	3.17072	noun	1158
1045	POET	شاعر	Poet	4.52941176470588	4.72413793103448	192.92697	noun	1329
1066	CRIME	جريمة	Crime	3.83333333333333	4.8695652173913	236.0772	noun	842
1068	COURT	محكمة	Court	4.46666666666667	4.95238095238095	289.44162	noun	1902
1070	BUS	حافلة	Bus	6.33333333333333	3.60869565217391	22.49	noun	897
1104	NURSE	ممرضة	Nurse	6.21052631578947	4.03448275862069	2.27	noun	2211
1122	WAGES	راتب	Stipend	4.68421052631579	5.04545454545455	86.46617	noun	1118
1136	RABBIT	أرنب	Rabbit	6.05263157894737	2.39285714285714	7.68108	noun	59
1153	CATTLE	بقرة	Cow	6.625	2.52173913043478	2.92	noun	519
1169	OX	ثور	Bull	6.53846153846154	3.31818181818182	13.51898	noun	806
1202	BIG	كبير	Big	3.76190476190476	2.7	1250.01	adjective	1782
1205	TONGUE	لسان	Tongue	5.47368421052632	2.66666666666667	100.62	noun	1831
1207	YOUNG	صغير	Small	4.77777777777778	2.48148148148148	335.29197	adjective	1429
1216	MOTHER	أم	Mother	5.78947368421053	1.66666666666667	645.17828	noun	113
1217	FATHER	أب	Father	5.33333333333333	1.5	267.55006	noun	8
1218	ROPE	حبل	Rope	6.26315789473684	3.3125	28.57	noun	906
1221	NOSE	أنف	Nose	5.94444444444444	2.36666666666667	27.9	noun	134
1223	HEART	قلب	Heart	5.52631578947368	3.03703703703704	465.99421	noun	1754
1224	LIVER	كبد	Liver	4.5625	4.31818181818182	29.5247	noun	1780
1226	YEAR	سنة	Year	2.81818181818182	3.39285714285714	1359.63	noun	1306
1229	OLD	قديم	Old	3.23529411764706	3.3448275862069	234.99505	adjective	1713
1230	DIRTY	قذر	Grubby	5.125	4.44827586206897	11.92868	adjective	1714
1231	NEW	جديد	New	3.46153846153846	3.15	1275.37	noun	828
1245	BUTTER	زبدة	Butter	6.47368421052632	3.55555555555556	3.3	noun	1201
1248	EYE	عين	Eye	6.53846153846154	2.04545454545455	509.49717	noun	1586
1262	BROTHER	أخ	Brother	5	2.03703703703704	447.61319	noun	31
1263	SISTER	أخت	Sister	5.17647058823529	2.2962962962963	184.24105	noun	33
1266	BRIDE	عروس	Bride	5.29411764705882	3.82758620689655	32.49205	noun	1534
1281	PRISON	سجن	Prison	6.14285714285714	4.26086956521739	204.85815	noun	1242
1285	IMPORTANT	مهم	Important	2.57894736842105	3.92857142857143	404.61047	adjective	2266
1287	COLD	بارد	Cold	5.07142857142857	2.34782608695652	47.11	adjective	465
1297	LEG	ساق	Leg	6.05263157894737	3.10344827586207	41.35	noun	1227
1298	NEWSPAPER	جريدة	Gazette	5.94117647058824	3.92	84.07809	noun	841
1301	FOOT	قدم	Present	6.66666666666667	3	922.11	verb	1712
1313	MOON	قمر	Moon	5.42105263157895	2.64	74.70515	noun	1761
1325	FRIEND	صديق	Friend	4.15789473684211	3.17391304347826	259.71751	noun	1417
1327	UNCLE	عم	Uncle	4.35294117647059	2.68	95.30487	noun	1574
1331	SHEEP	خروف	Sheep	6.61111111111111	2.59259259259259	7.09957	noun	1014
1335	WHITE	أبيض	White	5.375	2.8	192.68422	adjective	15
1338	PEACE	سلام	Peace	2.77777777777778	3.62068965517241	725.59555	noun	1282
1339	MORNING	صباح	Morning	4.875	2.40909090909091	244.28092	noun	1399
1346	THROAT	حلق	Shave	4.45454545454545	4.07142857142857	28.63	verb	978
1350	MONKEY	قرد	Monkey	6.41176470588235	2.96	13.22869	noun	1722
1356	NUMBER	رقم	Number	2.88235294117647	2.44	398.14009	noun	1186
1361	TOOL	أداة	Tool	5.93333333333333	4.04761904761905	143.57755	noun	42
1362	STREET	شارع	Street	4.77777777777778	2.53333333333333	236.61499	noun	1325
1365	KITCHEN	مطبخ	Kitchen	5.33333333333333	2.6	33.51	noun	2080
1368	BREAD	خبز	Bread	6.71428571428571	2.20689655172414	37.10265	noun	1003
1369	GOLD	ذهب	Leave	5.23076923076923	3.5	312.82535	verb	1101
1378	SPOON	ملعقة	Spoon	6.33333333333333	2.43478260869565	25.52	noun	2196
1379	TELEPHONE	هاتف	Telephone	6.625	2.95652173913043	165.26561	noun	2395
1380	TOOTH	سن	Tooth	5.16666666666667	3.08	195.14251	noun	1305
1386	LION	أسد	Lion	6	2.44827586206897	117.66	noun	67
1394	BONE	عظم	Bone	5.05882352941176	3.5	68.69603	noun	1554
