CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_CONCRETENESS_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
10	FIREWOOD	firewood	4.93	0	12011
100	FAITHFUL	faithful	2.2	0	11492
1000	ANXIETY	anxiety	2.21	0	1295
1001	BLACKSMITH	blacksmith	4.38	0	2962
1002	STATUE	statue	4.93	0	30374
1003	PERMIT	allow	2.41	0	836
1004	MUSCLE	muscle	4.5	0	20797
1005	TWINS	twins	4.57	0	33263
1006	BRICK	brick	4.83	0	3673
1007	COW	cow	4.96	0	6892
1008	BULL	bull	4.85	0	3885
1009	CHESTNUT TREE	buckeye	3.76	4	3834
101	BOAST	boast	2.32	0	3219
1010	BOUNDARY	boundary	3.04	0	3463
1011	BRIDGE	bridge	4.97	1	3683
1012	LATCH	latch	4.79	0	18251
1013	FRESHWATER EEL	eel	4.69	0	10047
1014	OR	or	1.72	0	22145
1016	DRIZZLE	drizzle	4.21	1	9703
1017	APPEARANCE	appearance	2.57	0	1360
1018	MEMORY	memory	2.38	0	19761
1019	RIGHT	right	3.47	0	27052
102	COMMON COLD (DISEASE)	common	2.07	0	5719
1020	HANDKERCHIEF	handkerchief	5	0	14351
1021	TOWEL	towel	4.86	0	32681
1024	CHARACTER	character	2.93	0	4712
1025	WHISTLE	whistle	4.42	4	36351
1027	BUG	bug	5	0	3863
1028	YAWN	yawn	4.46	0	36933
1029	JEWEL	jewel	4.96	0	17694
1030	NECESSARY	necessary	1.8	0	21031
1032	CITIZEN	citizen	4.43	0	5100
1033	GRIND	grind	3.97	0	13963
1034	DEFENDANT	defendant	3.8	0	7873
1035	GOOD	good	1.64	0	13674
1036	OWNER	owner	3.78	0	22645
1037	ELF	elf	4.3	0	10210
1038	TEACHER	teacher	4.52	0	31832
1039	SHOW	show	3.97	0	28720
1040	HAIR	hair	4.97	0	14251
1041	INCREASE	increase	2.61	0	16282
1042	CARPENTER	carpenter	4.41	0	4363
1043	BRAID	braid	4.38	0	3527
1044	PILLOW	pillow	5	0	23679
1045	POET	poet	4.36	0	23992
1046	SHUT	close	3.2	0	5302
1047	PURSUE	pursue	2.83	0	25247
1048	LINE	line	4.5	0	18685
1049	MOLAR TOOTH	molar	4.83	1	20382
105	MATTRESS	mattress	5	0	19570
1052	LIGHT (WEIGHT)	lightweight	2.93	0	18636
1053	HUNTER	hunter	4.41	0	15406
