CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_FAMILIARITY_GPT_SCORE	ENGLISH_FAMILIARITY_GPT_MEAN	ENGLISH_FREQUENCY_MULTILEX	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	3	3.38363137082631	2.78098437280284	77324
10	FIREWOOD	firewood	6	6.11850250724163	3.40094307610686	130429
100	FAITHFUL	faithful	7	6.81754279866748	4.08662175009246	123951
1000	ANXIETY	anxiety	7	6.99330672598618	4.00422471235261	14678
1001	BLACKSMITH	blacksmith	6	6.02409481815239	3.41577506284787	37349
1002	STATUE	statue	7	6.85194487206982	4.14712394047102	348800
1003	PERMIT	allow	7	6.98593536164086	4.83803830229603	9602
1004	MUSCLE	muscle	7	6.99781725671239	4.20093042660621	241652
1005	TWINS	twins	7	6.93244824302292	4.16668506850869	384279
1006	BRICK	brick	7	6.96267070548319	4.1510565408347	45765
1007	COW	cow	7	6.99998933688897	4.38721003683739	81930
1008	BULL	bull	6	6.34747981655088	4.37825870157998	49018
1009	CHESTNUT TREE	buckeye	3	2.99375365187969	2.78689323241336	48315
101	BOAST	boast	6	6.03990757074431	3.35200226095515	39919
1010	BOUNDARY	boundary	7	6.62244242390117	3.50585315786315	43156
1011	BRIDGE	bridge	7	6.97404119903335	4.72335651232006	45919
1012	LATCH	latch	6	5.96356774878948	3.31186295179502	204885
1013	FRESHWATER EEL	eel	6	5.93697071881799	3.40318013996256	111647
1014	OR	or	7	6.99996809980392	6.33573896863861	259743
1016	DRIZZLE	drizzle	6	6.06683983677814	3.15998992970441	106779
1017	APPEARANCE	appearance	7	6.91489807536639	4.28602810170768	15358
1018	MEMORY	memory	7	6.99883039375865	4.80303081103314	229036
1019	RIGHT	right	7	6.9999476815205	6.34297769280822	307753
102	COMMON COLD (DISEASE)	common	7	6.99956935324671	4.78855011234777	73587
1020	HANDKERCHIEF	handkerchief	6	6.03041051122986	3.58671260714356	161639
1021	TOWEL	towel	7	6.99996807869399	4.07151991313861	377301
1024	CHARACTER	character	7	6.96691049918623	4.78482583987318	61556
1025	WHISTLE	whistle	7	6.62242330965136	4.1540188004907	405626
1027	BUG	bug	7	6.67905414923407	4.29220038347709	48687
1028	YAWN	yawn	7	6.99330655586191	3.14481337028164	413658
1029	JEWEL	jewel	6	6.24498224980818	3.86635385735894	191881
1030	NECESSARY	necessary	7	6.99752768646888	4.69559556152016	245116
1031	ON PURPOSE	on purpose	7	6.94652924804258		257295
1032	CITIZEN	citizen	7	6.99719918561013	4.24458228209268	67045
1033	GRIND	grind	6	6.09819762614794	3.80776302109044	156366
1034	DEFENDANT	defendant	6	6.02798716968989	4.22359605442457	92522
1035	GOOD	good	7	6.99999285937681	6.21408504766809	152203
1036	OWNER	owner	7	6.99829926073717	4.64551635232612	263945
1037	ELF	elf	6	6.04672197265187	3.6399427803191	113685
1038	TEACHER	teacher	7	6.99999687047074	4.91297697895887	364503
1039	SHOW	show	7	6.99882988206983	5.70843509638331	330470
1040	HAIR	hair	7	6.99984134511571	5.18915461486804	159877
1041	INCREASE	increase	7	6.99956933569967	4.43821990119651	182547
1042	CARPENTER	carpenter	6	6.2450142954601	3.73551008700075	56536
1043	BRAID	braid	6	6.00832686489806	3.1400063154445	44149
1044	PILLOW	pillow	7	6.99896750999751	4.10522251870805	276490
1045	POET	poet	7	6.67909319205311	4.05560308871423	280563
1046	SHUT	close	7	6.98200216144183	5.35787093423883	69203
