CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_CD	CHINESE_CD_PERCENTAGE	CHINESE_CD_LOG	LINE_IN_SOURCE
10	FIREWOOD	柴火	40	1.19	1.6021	38	0.61	1.5798	19148
1001	BLACKSMITH	铁匠	96	2.86	1.9823	44	0.7	1.6435	11740
1002	STATUE	雕像	326	9.72	2.5132	168	2.69	2.2253	5433
1003	PERMIT	允许	2734	81.5	3.4368	1815	29.07	3.2589	1095
1004	MUSCLE	肌肉	780	23.25	2.8921	559	8.95	2.7474	2911
1006	BRICK	砖	193	5.75	2.2856	111	1.78	2.0453	7678
1007	COW	牛	1990	59.32	3.2989	921	14.75	2.9643	1407
1008	BULL	公牛	159	4.74	2.2014	93	1.49	1.9685	8673
101	BOAST	吹牛	210	6.26	2.3222	170	2.72	2.2304	7315
1010	BOUNDARY	分界线	26	0.78	1.415	23	0.37	1.3617	23531
1011	BRIDGE	桥	1074	32.02	3.031	470	7.53	2.6721	2283
1016	DRIZZLE	毛毛雨	8	0.24	0.9031	8	0.13	0.9031	39831
1017	APPEARANCE	容貌	71	2.12	1.8513	65	1.04	1.8129	14034
1019	RIGHT	右	1738	51.81	3.24	903	14.46	2.9557	1564
1020	HANDKERCHIEF	帕	413	12.31	2.616	197	3.16	2.2945	4626
1021	TOWEL	毛巾	462	13.77	2.6646	320	5.13	2.5051	4268
1025	WHISTLE	哨	82	2.44	1.9138	60	0.96	1.7782	12821
1028	YAWN	打哈欠	31	0.92	1.4914	20	0.32	1.301	21944
1030	NECESSARY	必须	19320	575.92	4.286	4958	79.42	3.6953	214
1031	ON PURPOSE	故意	1803	53.75	3.256	1317	21.1	3.1196	1520
1032	CITIZEN	民	529	15.77	2.7235	221	3.54	2.3444	3887
1033	GRIND	磨	381	11.36	2.5809	287	4.6	2.4579	4897
1035	GOOD	好	334698	9977.13	5.5247	6241	99.97	3.7953	10
1036	OWNER	主	3030	90.32	3.4814	1452	23.26	3.162	997
1038	TEACHER	老师	3879	115.63	3.5887	1170	18.74	3.0682	804
1039	SHOW	展示	1801	53.69	3.2555	933	14.94	2.9699	1525
1041	INCREASE	增加	938	27.96	2.9722	734	11.76	2.8657	2525
