CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE	PORTUGUESE_AOA_MEAN	PORTUGUESE_POS	LINE_IN_SOURCE
1010	BOUNDARY	Fronteira	5.92	no	361
1011	BRIDGE	Ponte	3.5	no	136
1019	RIGHT	Direita	3.479166666666666	no	312
1035	GOOD	Bom	1.81	aj	1382
1038	TEACHER	Professor	3.26530612244898	no	467
1042	CARPENTER	Carpinteiro	4.92	no	589
1046	SHUT	Fechar	2.829268292682927	vb	1025
1047	PURSUE	Perseguir	5.804878048780487	vb	1155
1048	LINE	Linha	2.98	no	89
1079	FEEL	Sentir	3.780487804878049	vb	1054
1082	MERCHANT	Negociante	6.44	no	967
1092	HOPE	Esperança	5.54	no	676
1107	GO OUT	Sair	2.645833333333333	vb	1053
1115	SPEECH	Discursar	7.225	vb	1101
1121	SECRET	Segredo	2.979166666666666	no	499
1122	WAGES	Salário	6.0232558139534875	no	495
1143	OVEN	Forno	3.9	no	67
1148	BRUISE	Ferimento	6.44	no	692
1156	OPEN	Abrir	2.541666666666667	vb	1010
1162	INTENTION	Intenção	6.63265306122449	no	385
117	IMITATE	Imitar	4.040816326530611	vb	1114
1171	MIRROR	Espelho	3.2291666666666665	no	338
1198	MANY	Muito	1.73	av	1721
1200	HUSBAND	Marido	4.26	no	400
1202	BIG	Grande	1.95	aj	1400
1203	LONG	Longo	4.08	aj	1404
1210	HEAVY	Pesado	3.76	aj	1478
1223	HEART	Coração	3.16	no	284
1228	EARTH (SOIL)	Terra	3.5	no	171
1231	NEW	Novo	2.645833333333333	aj	1410
1232	WARM	Quente	2.025	aj	1414
1238	WHEN	Quando	2.4489795918367347	av	1722
1243	WIDE	Largo	3.8958333333333326	aj	1402
1245	BUTTER	Manteiga	2.8163265306122445	no	397
1246	SMALL	Pequeno	2.02	aj	1476
1247	EAR	Orelha	2.020833333333333	no	426
1252	HOUSE	Casa	1.55	no	31
1256	HEAD	Cabeça	1.653061224489796	no	237
1260	DAY (24 HOURS)	Dia	2.16	no	50
1268	YES	Sim	1.23	av	1717
1269	NO	Não	1.175	av	1716
1275	ANSWER	Responder	3.725	vb	1202
128	MUMBLE	Murmurar	6.12	vb	1139
1281	PRISON	Prisão	4.791666666666667	no	143
1287	COLD	Frio	1.895833333333333	aj	1398
1290	ELEPHANT	Elefante	2.92	no	658
1292	BAD	Mau	1.33	aj	1383
1297	LEG	Perna	1.925	no	131
1303	FINGER	Dedo	2.66	no	48
1304	CHILD (YOUNG HUMAN)	Criança	3.3414634146341453	no	292
1307	LANGUAGE	Língua	2.65	no	88
1309	ASK (INQUIRE)	Perguntar	3.531914893617021	vb	1154
1313	MOON	Lua	2.44	no	92
1323	CLOCK	Relógio	3.6046511627906983	no	482
1330	DEFEND	Defender	5.162790697674418	vb	1096
1332	NEIGHBOUR	Vizinho	3.7551020408163267	no	543
1342	SUMMER	Verão	3.54	no	176
1353	HOUR	Hora	2.9375	no	75
1358	ENEMY	Inimigo	4.551020408163266	no	719
1359	SEPARATE	Separar	4.32	vb	1208
1361	TOOL	Ferramenta	4.64	no	693
1366	BOY	Menino	1.7916666666666672	no	403
1368	BREAD	Pão	2.32	no	5
1369	GOLD	Ouro	4.46	no	120
1370	MONTH	Mês	3.19	no	4
1372	MEDICINE	Droga	6.813953488372093	no	53
1375	WINDOW	Janela	2.3958333333333326	no	386
1376	NOW	Agora	2.2	av	1723
1380	TOOTH	Dente	2.88	no	49
1381	SHOE	Sapato	2.1875	no	496
1383	GRANDFATHER	Avô	1.6097560975609757	no	13
1385	PEPPER	Pimenta	4.48	no	446
1400	THIN (SLIM)	Magro	3.88	aj	1405
1401	DRINK	Beber	1.9387755102040816	vb	1013
1405	NAME	Nome	2.214285714285714	no	113
1407	BREATHE	Respirar	2.938775510204082	vb	1201
1410	KNOW (SOMETHING)	Saber	3.9069767441860463	vb	1052
1413	PLAY	Brincar	2.7	vb	1015
1414	SQUEEZE	Apertar	3.96	vb	1077
1420	COUNT	Contar	2.38	vb	1018
