CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_MEAN	LINE_IN_SOURCE
1005	TWINS	twin	3.5806451612903225	2762
1006	BRICK	brick	3.3225806451612905	235
1007	COW	cow	2.4193548387096775	491
1008	BULL	bull	3.03125	274
101	BOAST	brag	3.90625	208
1011	BRIDGE	bridge	3.21875	237
1012	LATCH	latch	4.71875	1324
1013	FRESHWATER EEL	eel	3.774193548387097	714
1014	OR	or	2.46875	1633
1019	RIGHT	right	2.8125	1935
1024	CHARACTER	graph	4.28125	1014
1027	BUG	bug	2.375	268
1028	YAWN	gape	5.5625	924
1033	GRIND	grind	4.366666666666666	1034
1035	GOOD	good	2.161290322580645	995
1039	SHOW	show	2.90625	2129
1040	HAIR	hair	2.4375	1079
1043	BRAID	braid	3.3	209
1046	SHUT	shut	2.9	2147
1047	PURSUE	chase	3.129032258064516	348
1048	LINE	line	3.161290322580645	1376
1062	LAW	law	3.6451612903225805	1330
1064	SHIELD	shield	4.096774193548387	2108
1065	SPIDER WEB	web	3.3125	2851
1066	CRIME	crime	3.90625	518
1068	COURT	court	4.258064516129032	489
1069	GLUE	glue	2.78125	978
1070	BUS	bus	2.7096774193548385	286
1071	HOOK	hook	3.53125	1176
1075	TRAP (PITFALL)	trap	3.4375	2714
1077	WHEAT	wheat	3.90625	2876
1078	MAIN	main	3.8125	1442
1079	FEEL	feel	3.0	758
1081	BILL	bill	4.28125	116
1084	CALL	call	2.8125	302
1086	WORK (ACTIVITY)	work	3.193548387096774	2937
1088	SINK (DESCEND)	sink	3.161290322580645	2164
1092	HOPE	hope	3.59375	1181
1093	MIDDLE	mid	4.066666666666666	1487
1096	SONG	song	2.71875	2293
1098	WEIGH	weigh	3.71875	2858
1100	COOK (SOMETHING)	cook	3.1	468
1102	CLIMB	climb	3.3125	422
1104	NURSE	nurse	3.40625	1613
1105	CAMP	camp	3.1875	307
1107	GO OUT	out	2.5625	1641
1109	WOUND	wound	4.09375	2944
1110	SHARK	shark	2.84375	2090
1111	CAR	car	2.40625	312
1113	WRAP	wrap	3.5161290322580645	2947
1115	SPEECH	speech	3.8333333333333335	2325
1117	LIKE	like	2.5806451612903225	1371
1124	PIPE	pipe	3.84375	1729
1125	BALD	bald	3.774193548387097	51
1127	SEND	send	3.5517241379310347	2070
113	SHORE	shore	3.65625	2123
1132	BEAM	beam	4.03125	82
1133	MATCH	match	3.40625	1462
1135	KICK	kick	2.96875	1272
1145	SWAMP	swamp	3.71875	2524
1147	PURE	pure	4.03125	1846
1148	BRUISE	bruise	3.75	259
1151	VEIL	veil	4.548387096774194	2788
1155	CAVE	cave	3.5	328
1158	STEP	step	3.032258064516129	2435
