CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ITALIAN_FREQUENCY	ITALIAN_CD	ITALIAN_POS	LINE_IN_SOURCE
1002	STATUE	statua	1187	644	NOM	5284
1007	COW	mucca	1155	603	NOM	5394
1018	MEMORY	memoria	5175	3228	NOM	1598
1019	RIGHT	destra	7241	4126	NOM	1218
1020	HANDKERCHIEF	fazzoletto	708	518	NOM	7811
1025	WHISTLE	fischio	396	304	NOM	11891
1029	JEWEL	gioiello	498	370	NOM	10073
1035	GOOD	buono	14467	7975	ADJ	672
1038	TEACHER	insegnante	3703	2076	NOM	2146
1044	PILLOW	cuscino	1119	853	NOM	5525
1052	LIGHT (WEIGHT)	leggero	1156	976	ADJ	5388
1054	SMALLPOX	vaiolo	222	82	NOM	17744
1066	CRIME	crimine	7146	3730	NOM	1234
1069	GLUE	incollare	35	34	VER	54750
1070	BUS	autobus	4028	2021	NOM	1976
1088	SINK (DESCEND)	affondare	366	317	VER	12548
1091	SALTY	salato	207	178	VER	18601
1092	HOPE	speranza	5736	3772	NOM	1471
1096	SONG	canzone	7045	3017	NOM	1250
1098	WEIGH	pesare	203	185	VER	18848
1100	COOK (SOMETHING)	cucinare	1812	1280	VER	3776
1102	CLIMB	arrampicarsi	143	121	VER	23609
1104	NURSE	infermiere	1398	853	NOM	4702
1109	WOUND	ferite	3081	2054	NOM	2468
1110	SHARK	squalo	1074	409	NOM	5708
1111	CAR	automobile	578	371	NOM	9033
1114	BULLET	pallottola	1466	1060	NOM	4511
112	TURTLE	tartaruga	716	384	NOM	7744
1120	HONEST	onesto	2795	2106	ADJ	2672
1129	PAINFUL	dolente	124	111	ADJ	25850
1133	MATCH	fiammifero	330	261	NOM	13542
1135	KICK	calciare	104	79	VER	28846
1136	RABBIT	coniglio	1569	793	NOM	4244
1141	PITY	pietà	2724	1755	NOM	2733
1142	URINE	urina	499	347	NOM	10056
1145	SWAMP	palude	741	322	NOM	7558
1147	PURE	puro	1721	1304	ADJ	3951
1156	OPEN	aperto	7011	5121	VER	1255
1157	BECAUSE	perché	119053	6179	CON	121
1160	THIEF	ladro	3079	1633	NOM	2470
1171	MIRROR	specchio	2393	1550	NOM	3047
1189	ULCER	ulcera	261	185	NOM	15916
119	DIVE	tuffarsi	87	84	VER	32074
1198	MANY	molti	15523	8590	PRO	637
1199	WIFE	moglie	38338	10630	NOM	316
1200	HUSBAND	marito	23271	7736	NOM	470
1201	FEATHER	penna	2134	1303	NOM	3356
1202	BIG	grande	53135	15523	ADJ	233
1203	LONG	lungo	13771	8277	ADJ	699
1204	BARK	corteccia	279	215	NOM	15221
1205	TONGUE	lingua	5857	3537	NOM	1444
1206	BARKING	abbaiare	227	179	VER	17487
1207	YOUNG	giovane	12901	6960	ADJ	752
1208	CAT	gatto	4110	2027	NOM	1937
1209	I	io	443418	19247	PRO	36
1210	HEAVY	pesante	3314	2619	ADJ	2326
1211	HE	egli	2704	1215	PRO	2757
1212	WE	noi	124740	18406	PRO	118
1213	YOU	voi	86647	16902	NOM	159
1214	THIS	questo	392927	19287	PRO	39
1215	THOU	tu	334866	19074	PRO	44
1216	MOTHER	madre	57252	13138	NOM	220
1217	FATHER	padre	77591	13559	NOM	172
1218	ROPE	corda	2454	1589	NOM	2986
1219	WORM	verme	1140	766	NOM	5451
1220	TAIL	coda	2234	1482	NOM	3233
1221	NOSE	naso	5593	3681	NOM	1509
1222	PENIS	pene	2327	1318	NOM	3125
1223	HEART	cuore	23767	9683	NOM	466
1224	LIVER	fegato	2390	1410	NOM	3056
1225	DAY (NOT NIGHT)	giorno	69439	16919	NOM	185
