CONCEPTICON_ID	CONCEPTICON_GLOSS	Kannada	ENGLISH	KANNADA_POS	KANNADA_AOA_MEAN	LINE_IN_SOURCE
1008	BULL	ಬಸವನು	bull	noun	3.7	121
102	COMMON COLD (DISEASE)	ಚಳಿಯು	cold	noun	3.19	175
1030	NECESSARY	ಅವಶ್ಯಕವು	necessary	noun	4.89	88
1035	GOOD	ಹಿತ	good	verb	4.53	345
1039	SHOW	ತೋರಿಸು	show	verb	2.62	828
1043	BRAID	ಜಡೆಯು	braid	noun	3.09	391
1044	PILLOW	ದಿಂಬು	pillow	noun	2.49	219
1045	POET	ಕವಿಯು	poet	noun	4.69	454
1046	SHUT	ಮುಚ್ಚು	close	verb	2.62	551
1048	LINE	ಗೆರೆಯು	line	noun	3.31	274
1050	MOTHER-IN-LAW	ಅತ್ತೆಯು	mother in law	noun	3.12	66
1055	FATHER-IN-LAW	ಮಾವನು	father in law	noun	3.3	513
1085	FOLLOW	ಹಿಂಬಾಲಿಸು	follow	verb	3.99	343
1096	SONG	ಹಾಡು	song	noun	2.31	298
1117	LIKE	ಮೆಚ್ಚಿಕೊಳ್ಳು	like	verb	4.36	536
1128	ORDER	ಆದೇಶ	order	verb	4.84	2
1130	WE (EXCLUSIVE)	ನಾವು	we	pronoun	2.82	581
1139	LEOPARD	ಚಿರತೆಯು	leopard	noun	3.32	191
1140	FATIGUE	ಸುಸ್ತು	fatigue	verb	3.38	775
1150	THUNDER	ಗುಡುಗು	thunder	noun	3.12	288
1155	CAVE	ಗುಹೆಯು	cave	noun	3.93	290
1158	STEP	ಹೆಜ್ಜೆಯು	step	noun	3.51	334
1161	THREAD	ದಾರವು	thread	noun	3.23	200
1165	MOUSTACHE	ಮೀಸೆಯು	moustache	noun	3.22	541
1171	MIRROR	ಕನ್ನಡಿಯು	mirror	noun	3.01	436
1174	YESTERDAY	ನಿನ್ನೆಯು	yesterday	noun	3.57	633
119	DIVE	ಧುಮುಕು	dive	verb	4.24	215
1199	WIFE	ಹೆಂಡತಿಯು	wife	noun	4.2	336
1201	FEATHER	ಪುಕ್ಕವು	feather	noun	3.73	689
1209	I	ನಾನು	I	pronoun	2.08	576
1214	THIS	ಇದು	this	pronoun	2.51	370
1216	MOTHER	ಅಮ್ಮನು	mother	noun	1.69	48
1217	FATHER	ಅಪ್ಪನು	father	noun	1.84	60
1218	ROPE	ತಂತಿಯು	string	noun	4.23	800
1220	TAIL	ಬಾಲವು	tail	noun	2.84	96
1225	DAY (NOT NIGHT)	ಹಗಲು	day time	noun	3.24	309
1226	YEAR	ವರ್ಷವು	year	noun	3.85	867
1228	EARTH (SOIL)	ಮಣ್ಣು	soil	noun	2.26	527
1229	OLD	ಹಳತು	old	adjective	4.04	314
1230	DIRTY	ಕೊಳಕು	dirty	adjective	3.16	471
1231	NEW	ಹೊಸತು	new	adjective	3.57	354
1233	NIGHT	ರಾತ್ರಿಯು	night	noun	2.96	700
1235	WHO	ಯಾರು	who	pronoun	2.38	878
1236	WHAT	ಏನು	what	pronoun	2.36	243
1237	WHERE	ಎಲ್ಲಿ	where	adverb	2.65	249
1247	EAR	ಕಿವಿಯು	ear	noun	2.47	467
1248	EYE	ಕಣ್ಣು	eye	noun	1.77	438
1251	BELLY	ಹೊಟ್ಟೆಯು	stomach	noun	2.62	355
1252	HOUSE	ಮನೆಯು	house	noun	2.74	526
1257	WING	ರೆಕ್ಕೆಯು	wing	noun	3.38	708
1259	WEDDING	ಮದುವೆಯು	wedding	noun	3.74	516
1271	DELIGHT	ದಯವಿಟ್ಟು	please	adverb	4.12	207
1274	SALT	ಉಪ್ಪು	salt	noun	2.5	846
1277	HAND	ಕೈಯು	hand	noun	2.69	423
1278	VOMIT	ವಾಂತಿಯು	vomit	noun	3.26	861
1285	IMPORTANT	ಮುಖ್ಯವು	important	adjective	4.46	561
1286	HOT	ಬಿಸಿಯು	hot	adjective	2.66	164
1289	BABY	ಮಗು	baby	noun	2.27	518
1293	MISTAKE	ತಪ್ಪು	error	adjective	2.77	803
1295	STICK	ಚಡಿಯು	stick	noun	4.65	172
1297	LEG	ಕಾಲುಗಳು	legs	noun	2.77	411
