Language;Code;Number of Responses;H Statistic;Modal Response;Modal Response Percentage;"""I don't know"" Response Percentage";Idiosyncratic Response Percentage;Familiarity
American English;1;80;0,513072912;mouse;91,02564103;0;2,5;84,15
American English;4;80;0,947707373;church;63,38028169;0;11,25;76,48
American English;5;80;1,331664484;shoulder;75;0;5;84,00
American English;6;80;0,800959108;chin;75,64102564;0;2,5;86,23
American English;7;80;0,232927855;fairy;96,20253165;0;1,25;81,70
American English;8;80;0,235193382;leg;96,15384615;0;2,5;89,16
American English;9;80;0;shower;100;0;3,75;92,38
American English;11;80;1,416361355;burger;53,75;0;0;90,09
American English;12;80;0;mermaid;100;0;0;85,94
American English;14;80;0,904938259;robe;67,94871795;0;2,5;84,75
American English;15;80;0;lion;100;0;1,25;87,36
American English;16;80;1,51553961;hunter;70,66666667;0;6,25;75,58
American English;17;80;0,343100308;devil;94,87179487;0;2,5;84,73
American English;19;80;0;turkey;100;0;3,75;84,08
American English;20;80;0;skeleton;100;0;2,5;88,79
American English;21;80;0,232927855;boxer;96,20253165;0;1,25;80,29
American English;23;80;0,988699408;bicycle;56,25;0;0;90,14
American English;24;80;0,508284032;bone;91,13924051;0;1,25;86,20
American English;26;80;0,575313334;onion;91,02564103;0;2,5;85,24
American English;28;80;0;microscope;100;0;1,25;85,98
American English;29;80;0,172036949;cowboy;97,43589744;0;2,5;78,45
American English;30;80;0;farm;100;0;6,25;84,66
American English;32;80;0;crown;100;0;0;83,76
American English;35;80;0;ear;100;0;0;92,86
American English;38;80;0,168660931;spider;97,5;0;0;86,59
American English;39;80;0,353724751;pocket;94,66666667;0;6,25;88,00
American English;42;80;0;pear;100;0;0;87,31
American English;43;80;1,132068997;hairbrush;55;0;0;90,40
American English;46;80;0,443458145;screwdriver;90,78947368;0;5;84,23
American English;47;80;0,170330576;desert;97,46835443;0;1,25;82,83
American English;48;80;1,148149755;firefighter;61,33333333;0;6,25;77,74
American English;52;80;0,391243564;saw;92,30769231;0;2,5;83,00
