CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_IMAGEABILITY_SD	ENGLISH_AOA_MEAN	ENGLISH_AOA_SD	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FAMILIARITY_SD	ENGLISH_CONCRETENESS_MEAN	ENGLISH_CONCRETENESS_SD	ENGLISH_MEANING_UNCERTAINTY	ENGLISH_FREQUENCY	LINE_IN_SOURCE
10	FIREWOOD	firewood	5.92	1.36	3.31		4.44	1.35	6.66	0.63	0	3	655
1002	STATUE	statue	5.68	1.45	4.06		4.44	1.35	6.34	0.95	0	32	1650
1003	PERMIT	permit	4.16	1.73	4.58		4.91	1.17	4	1.91	0.93	50	1272
1004	MUSCLE	muscle	5.59	1.36	3.97		5.4	1.15	6.03	1.03	0	35	1140
1006	BRICK	brick	5.78	1.58	2.61		5.18	1.34	6.54	0.87	0.17	49	208
101	BOAST	boast	4.22	1.66	3.78		4.91	1.22	2.89	1.41	0	37	185
1010	BOUNDARY	boundary	4.41	1.72	4.72		4.81	1.15	4.2	1.79	0	24	197
1011	BRIDGE	bridge	6.14	1.04	2.89		5.61	1.17	6.6	0.72	0.83	100	209
1012	LATCH	latch	4.7	1.64	3.86		4.32	1.23	6.09	1.23	0	8	986
1020	HANDKERCHIEF	handkerchief	5.89	1.56	2.89		5.51	1.33	6.54	0.84	0	35	780
1024	CHARACTER	character	3.78	1.78	4.64		5.51	1.33	3.68	1.87	1.13	100	277
1029	JEWEL	jewel	6.36	0.92	2.92		4.88	1.33	6.46	0.84	0	41	948
1038	TEACHER	teacher	6	1.43	2.47		5.96	1.19	6.29	1.03	0	100	1724
1041	INCREASE	increase	3.62	1.87	4.19		5.9	1.14	3.11	1.58	0	100	880
1044	PILLOW	pillow	6.19	1.29	2.17		6.11	1.11	6.34	1.07	0	33	1291
1046	SHUT	close	4.35	2.08	2.83		5.7	1.17	3.97	1.87	1.41	100	310
1048	LINE	line	4.95	1.61	2.75		6.08	1.06	4.83	1.93	2.12	100	1014
1053	HUNTER	hunter	5.7	1.49	3.42		4.28	1.47	5.6	1.42	0	46	844
1062	LAW	law	4.32	1.71	3.83		5.67	1.02	3.43	1.95	0	100	990
1064	SHIELD	shield	5.62	1.44	3.5		4.64	1.44	6.06	1.37	1.16	47	1559
1066	CRIME	crime	4.68	1.54	3.83		5.13	1.14	3.6	1.64	0	50	399
107	OMEN	omen	4.11	1.88	5.58		4.02	1.19	2.89	1.54	0	5	1200
1072	PRISONER	prisoner	5.43	1.44	3.61		4.8	1.55	5.63	1.55	0	50	1347
1077	WHEAT	wheat	5.46	1.5	3.86		4.51	1.49	6.46	0.73	0	50	1900
1078	MAIN	main	3.16	1.76	3.64		5.75	1.45	3.51	1.46	0.49	50	1050
1081	BILL	bill	5.08	1.67	4.06		5.39	1.32	5.37	1.69	0.99	100	169
1082	MERCHANT	merchant	4.78	1.7	4.08		4.39	1.32	5.4	1.53	0	50	1087
1084	CALL	call	4.03	1.72	2.25		6.29	0.95	4	1.62	0.73	100	240
1088	SINK (DESCEND)	sink	5.94	1.15	2.19		6.11	1.27	6.2	1.28	1.24	50	1581
1096	SONG	song	6.11	1.06	2.42		6.19	0.92	5.34	1.58	0	100	1614
11	DARKNESS	darkness	6.28	1.04	2.42		5.78	1.13	4.29	1.71	0	50	425
110	MOTOR	motor	5.27	1.43	3.44		5.45	1.29	5.94	1.26	0.34	50	1132
1104	NURSE	nurse	6.27	1.08	2.56		5.26	1.25	6.06	1.31	0	50	1183
1105	CAMP	camp	5.95	1.45	3.08		4.85	1.36	5.94	0.92	0.88	100	242
1109	WOUND	wound	5.76	1.24	3.72		4.74	1.27	5.89	1.04	0.17	50	1930
1111	CAR	car	6.49	0.83	1.97		6.5	0.76	6.69	0.75	0	100	250
1115	SPEECH	speech	4.54	1.82	3.69		5.34	1.48	4.66	1.51	1	100	1626
1122	WAGES	salary	4.35	1.8	5.58		4.85	1.29	4.46	1.56	0	50	1495
1128	ORDER	order	3.73	1.91	3.44		5.97	1	3.43	1.57	1.15	100	1208
1132	BEAM	beam	5.75	1.32	3.94		4.58	1.25	5.23	1.33	1.45	42	145
1135	KICK	kick	5.57	1.52	2.28		5.63	1.36	5.03	1.52	0	47	967
1136	RABBIT	rabbit	6.41	0.91	2.06		5.14	1.47	6.83	0.51	0	43	1391
1138	FAIRY	fairy	5.7	1.37	2.42		4.33	1.38	4.14	1.99	0.92	35	625
1141	PITY	pity	4.11	1.91	3.53		5.44	1.19	2.57	1.54	0	50	1296
1143	OVEN	oven	6.19	1.2	2.36		5.78	1.11	6.49	0.73	0	29	1221
1144	WITNESS	witness	4.73	1.5	4.72		4.96	1.19	4.74	1.7	0	50	1920
1151	VEIL	veil	5.35	1.7	4.14		4	1.25	5.97	1.25	0.29	30	1852
1153	CATTLE	cattle	6.38	1	2.61		5.46	1.11	6.54	0.94	0	50	263
1154	OLIVE	olive	5.68	1.74	4.58		3.76	1.52	6.54	0.81	0	34	1199
1158	STEP	step	5.32	1.54	2.67		6.07	1.04	5.43	1.48	1.68	100	1654
116	LARCH	larch	5.14	1.71	4.06		4.06	1.42	6.6	0.64	0	2	984
1160	THIEF	thief	5.13	1.51	3.22		5.11	1.27	5.32	1.55	0	28	1743
1161	THREAD	thread	5.86	1.58	2.67		5.52	1.24	6.4	0.9	0.17	50	1748
1162	INTENTION	intention	2.92	1.6	4.81		5.25	1.21	2.77	1.49	0	33	917
1169	OX	ox	5.54	1.67	3.29		3.64	1.5	6.71	0.66	0	32	1228
1171	MIRROR	mirror	6.19	1.39	2.58		6.02	1.16	6.49	0.81	0	46	1107
1183	PALM OF HAND	palm	5.73	1.45	3.33		5.1	1.42	6.37	0.9	0.88	37	1235
1189	ULCER	ulcer	5.22	1.76	5.17		4.23	1.46	5.86	1.36	0	1	1807
119	DIVE	dive	5.92	1.19	3.22		5.08	1.31	5.14	1.25	0.38	21	503
1190	HARE	hare	6.03	1.28	2.81		4.62	1.58	6.57	0.99	0	18	785
1193	STEAM	steam	5.7	1.49	3.08		5.51	1.25	5.54	1.38	0	50	1652
1216	MOTHER	mother	6.54	0.92	1.44		6.38	0.77	6.6	0.6	0	100	1130
1217	FATHER	dad	6.32	1.34	1.25		6.46	0.85	6.37	1.04	0	41	420
1218	ROPE	rope	5.92	1.65	2.81		5.09	1.37	6.51	0.81	0	50	1478
1219	WORM	worm	5.84	1.35	2.53		4.98	1.43	6.46	0.97	0.34	37	1928
122	CART	cart	6.03	1.17	2.58		4.54	1.43	6.06	1.55	0.54	27	256
1221	NOSE	nose	6.08	1.38	2.06		6.15	0.96	6.63	0.64	0	100	1176
1223	HEART	heart	6.24	1.05	2.81		5.93	1.03	6.37	0.96	0.77	100	798
1224	LIVER	liver	5.84	1.53	3.53		4.96	1.41	6.54	0.69	0.91	10	1020
1226	YEAR	year	4.41	1.81	2.69		6.35	0.93	3.83	2.05	0	100	1937
1228	EARTH (SOIL)	soil	5.76	1.62	3.47		4.83	1.42	6.14	1.07	0.65	100	1608
1233	NIGHT	night	6.32	0.93	2.22		6.75	0.5	5.17	1.44	0	100	1167
1245	BUTTER	butter	6.43	1.17	2.06		6.55	0.72	6.71	0.56	0	100	232
1248	EYE	eye	6.16	1.42	1.67		6.41	0.97	6.74	0.5	0.45	100	620
1251	BELLY	abdomen	5.27	1.57	5.56		4.17	1.58	6.2	1.04	0	7	3
1256	HEAD	head	6.13	1.26	1.81		6.52	0.7	6.17	1.28	0.91	100	795
1259	WEDDING	wedding	6	1.39	3.14		5.07	1.26	5.31	1.45	0	35	1893
1262	BROTHER	brother	6.03	1.24	2.19		5.9	1.03	5.94	1.29	0	100	216
1271	DELIGHT	delight	4.65	1.77	4.14		5.1	1.2	2.74	1.48	0	50	445
1272	AUNT	aunt	5.76	1.46	2.33		5.36	1.27	5.71	1.61	0	50	115
1274	SALT	salt	6.14	1.38	2.33		6.47	0.96	6.49	0.97	0	100	1496
1275	ANSWER	answer	3.72	2.05	2.94		6.16	0.78	3.77	1.67	0.81	100	71
1276	AUTUMN	autumn	6.28	1.02	2.78		5.33	1.33	4.31	1.8	0	49	119
1287	COLD	cold	5.7	1.5	1.83		6.6	0.65	4.49	1.79	0.83	100	320
1289	BABY	newborn	5.38	1.75	4.06		3.83	1.05	4.66	1.76	0	3	1163
1290	ELEPHANT	elephant	6.35	1.02	2.22		4.75	1.57	6.69	0.67	0	35	555
1291	BACK	back	5.3	2.01	2.25		6.06	1.17	6.11	1.21	0.54	100	126
1293	MISTAKE	error	4.14	1.8	4.25		5.42	1.16	3.77	1.91	0	36	588
1296	WALKING STICK	staff	4.84	1.57	4.03		5.77	1.19	5.37	1.57	0.48	37	1642
1298	NEWSPAPER	newspaper	6.19	1.33	2.92		6.48	0.72	6.17	1.21	0	100	1164
1299	COFFEE	coffee	6.42	0.89	2.92		6.61	0.9	6.4	0.8	0	50	317
13	DECEIT	deceit	3.57	1.76	5.19		4.48	1.38	2.26	1.08	0	8	433
1300	COUNTRY	country	5.7	1.27	3.29		5.95	1.05	4.89	1.7	0.98	100	386
1302	FORK	fork	6.03	1.26	2.25		6.39	0.89	6.6	0.72	0.29	31	683
1306	QUEEN	queen	6.24	1	2.47		5.32	1.24	5.74	1.64	0	100	1386
1310	CLEVER	clever	4.14	1.89	3.33		5.54	1.45	2.57	1.63	0	33	307
1312	FOX	fox	6.27	1.08	2.83		4.63	1.33	6.74	0.5	0.29	25	690
1315	RADIO	radio	6.19	1.11	3.17		6.44	0.88	6.51	0.73	0	41	1393
1316	TENT	tent	6.27	1.08	2.83		4.94	1.35	6.6	0.64	0	50	1731
1318	CHICKEN	chicken	6.36	0.92	2.5		5.3	1.15	6.74	0.6	0.66	50	285
132	SAUCE	sauce	5.84	1.39	2.58		5.94	0.96	6.03	1.18	0	27	1507
1320	APPLE	apple	6.35	1.05	2.11		6.15	0.86	6.8	0.4	0	50	81
1322	BREAKFAST	breakfast	5.92	1.28	2.33		6.57	0.78	6.06	0.92	0	50	205
1327	UNCLE	uncle	5.51	1.85	1.92		5.57	1.04	6.06	1.04	0	100	1813
1332	NEIGHBOUR	neighbour	5.54	1.31	3.23		5.65	1.14	5.37	1.29	0	100	1158
1337	PIG	pig	6.41	0.85	2.33		5.09	1.41	6.49	1.13	0	44	1289
1342	SUMMER	summer	6.24	1.08	2.53		6.12	0.9	4.51	1.57	0	100	1690
1343	SUN	sun	6.73	0.55	1.81		6.59	0.54	6.4	0.9	0	100	1691
1345	EWE	ewe	5.81	1.45	3.78		3.94	1.44	6.5	0.65	0	7	600
1349	CHURCH	church	6.27	1.11	2.78		5.67	1.24	6.31	0.95	0	100	294
1356	NUMBER	number	5.05	2.03	2.39		6.49	0.77	4.17	2.14	0.17	100	1182
1358	ENEMY	enemy	5.03	1.87	3.67		5.23	1.22	4.46	1.81	0	100	573
1360	DUCK	duck	6.28	0.99	1.64		5.22	1.4	6.69	0.78	0.55	49	529
1361	TOOL	tool	5.41	1.76	3		5.19	1.45	6.17	1.13	0	40	1766
