CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_FREQUENCY	DUTCH_CD	DUTCH_FREQUENCY_PM	DUTCH_FREQUENCY_LOG	DUTCH_SUBTITLE_CD	DUTCH_CD_LOG	LINE_IN_SOURCE
100	FAITHFUL	trouw	2289	1368	52.3446	3.3598	16.9517	3.1364	1305
1002	STATUE	standbeeld	203	128	4.6422	2.3096	1.5861	2.1106	8330
1006	BRICK	baksteen	83	69	1.898	1.9243	0.855	1.8451	15453
1007	COW	koe	811	462	18.5459	2.9096	5.7249	2.6656	2964
1011	BRIDGE	brug	1927	831	44.0664	3.2851	10.2974	2.9201	1519
1013	FRESHWATER EEL	paling	41	20	0.9376	1.6232	0.2478	1.3222	24422
1019	RIGHT	rechts	2566	1524	58.679	3.4094	18.8848	3.1833	1194
1020	HANDKERCHIEF	zakdoek	215	166	4.9166	2.3345	2.057	2.2227	8014
1025	WHISTLE	fluiten	204	172	4.6651	2.3118	2.1314	2.238	8310
1030	NECESSARY	nodig	45392	7729	1038.0197	4.657	95.7745	3.8882	130
1035	GOOD	goed	152533	8034	3488.1092	5.1834	99.5539	3.905	48
1038	TEACHER	leraar	1297	699	29.6597	3.1133	8.6617	2.8451	2041
1040	HAIR	haar	130133	7833	2975.8683	5.1144	97.0632	3.894	55
1044	PILLOW	kussen	1995	1354	45.6215	3.3002	16.7782	3.1319	1474
1069	GLUE	lijm	174	139	3.979	2.243	1.7224	2.1461	9312
1070	BUS	bus	2835	1320	64.8305	3.4527	16.3569	3.1209	1104
1088	SINK (DESCEND)	zinken	420	268	9.6045	2.6243	3.3209	2.4298	4872
1098	WEIGH	wegen	900	703	20.5811	2.9547	8.7113	2.8476	2739
110	MOTOR	motor	1864	1054	42.6258	3.2707	13.0607	3.0233	1558
1100	COOK (SOMETHING)	koken	1478	999	33.7988	3.17	12.3792	3	1845
1102	CLIMB	klimmen	576	437	13.1719	2.7612	5.4151	2.6415	3850
1111	CAR	auto	20028	4732	457.9983	4.3017	58.6369	3.6751	255
1117	LIKE	lijken	4195	2830	95.9308	3.6228	35.0682	3.4519	819
112	TURTLE	schildpad	191	112	4.3678	2.2833	1.3879	2.0531	8712
1120	HONEST	eerlijk	7538	3944	172.3782	3.8773	48.8724	3.596	533
1123	PREGNANT	zwanger	2745	1265	62.7724	3.4387	15.6753	3.1024	1130
1125	BALD	kaal	360	282	8.2324	2.5575	3.4944	2.4518	5471
1129	PAINFUL	pijnlijk	704	591	16.099	2.8482	7.3234	2.7723	3321
1133	MATCH	lucifer	282	198	6.4487	2.4518	2.4535	2.2989	6548
