CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_RT_MEAN	ENGLISH_RT_ZSCORE	ENGLISH_ACCURACY_PERCENTAGE	LINE_IN_SOURCE
100	FAITHFUL	faithful	585.842105263158	-0.380539533553415	0.95	35344
1001	BLACKSMITH	smith	587.763157894737	-0.193557389613361	0.95	49771
1002	STATUE	statute	660.777777777778	0.0591887626324866	0.736842105263158	50977
1003	PERMIT	permit	612.578947368421	-0.250054209664572	1.0	44408
1004	MUSCLE	muscle	587.315789473684	-0.437918934870434	1.0	42772
1005	TWINS	twin	527.435897435897	-0.602879461477172	1.0	53874
1006	BRICK	brick	528.947368421053	-0.696641043860654	1.0	29780
1007	COW	cow	512.205128205128	-0.758369373104875	0.975	32461
1008	BULL	bull	533.026315789474	-0.68820491461157	1.0	30071
101	BOAST	brag	600.51282051282	-0.244116040064141	0.975	29605
1011	BRIDGE	bridge	564.027777777778	-0.377090880284257	0.973684210526316	29794
1012	LATCH	latch	605.085714285714	-0.273098784020712	0.947368421052632	40595
1013	FRESHWATER EEL	eel	636.764705882353	-0.0665117485141181	0.894736842105263	34758
1014	OR	or	539.945945945946	-0.607991253038978	0.973684210526316	43588
1016	DRIZZLE	drizzle	567.894736842105	-0.418908539846887	0.95	34383
1019	RIGHT	right	515.868421052632	-0.695716525193289	1.0	47140
102	COMMON COLD (DISEASE)	common	522.243243243243	-0.581859775269791	0.95	31911
1020	HANDKERCHIEF	kerchief	818.23076923077	1.46428026015501	0.368421052631579	40151
1021	TOWEL	towel	558.5	-0.579548972101438	1.0	53239
1024	CHARACTER	graph	541.230769230769	-0.640766635796463	0.975	37714
1025	WHISTLE	whistling	675.351351351351	0.143704933321347	0.973684210526316	55137
1027	BUG	bug	532.947368421053	-0.731009670467715	1.0	30033
1028	YAWN	gape	664.076923076923	0.129357154514296	0.68421052631579	37026
1029	JEWEL	jewels	608.71052631579	-0.273252202265953	1.0	39883
1033	GRIND	grind	564.558823529412	-0.314053654585109	0.9	37863
1035	GOOD	good	493.25	-0.903185339784095	1.0	37560
1036	OWNER	owner	531.375	-0.577380717000327	1.0	43793
1038	TEACHER	teacher	559.736842105263	-0.65897246643885	1.0	52343
1039	SHOW	show	495.125	-0.8291405723793	1.0	48973
1040	HAIR	hair	510.794871794872	-0.723025006450032	0.975	38204
1041	INCREASE	increase	525.0	-0.674195127314006	0.973684210526316	39524
1043	BRAID	braid	680.607142857143	0.0255560137144441	0.763157894736842	29613
1044	PILLOW	cushion	576.925	-0.31082776713786	1.0	33024
1045	POET	poet	565.575	-0.446371288564581	1.0	45058
1046	SHUT	shut	528.944444444444	-0.682094831956354	0.947368421052632	49080
1047	PURSUE	chase	555.282051282051	-0.526648391495459	0.975	30950
1048	LINE	line	567.447368421053	-0.396779035521771	0.95	41026
1049	MOLAR TOOTH	molar	624.742857142857	0.0158791838306169	0.875	42426
105	MATTRESS	mattress	594.394736842105	-0.2838392180584	1.0	41871
1052	LIGHT (WEIGHT)	lightweight	655.416666666667	0.17407360802156	0.947368421052632	40970
1053	HUNTER	hunter	543.75	-0.474895710714562	1.0	39310
1054	SMALLPOX	smallpox	659.282051282051	0.105274135477446	0.975	49726
106	SATIATED	sated	733.111111111111	1.50724675954127	0.263157894736842	47835
1062	LAW	law	525.875	-0.773283926789526	1.0	40652
1063	NEPHEW	nephew	600.15	-0.302684921828553	1.0	43008
1064	SHIELD	shield	534.815789473684	-0.644916474392024	1.0	48800
1065	SPIDER WEB	cobweb	624.194444444444	-0.105420625966315	1.0	31709
1066	CRIME	crime	509.342105263158	-0.824226288897984	1.0	32692
1068	COURT	court	528.578947368421	-0.651635192448228	1.0	32429
1069	GLUE	glue	538.297297297297	-0.755702048474536	0.973684210526316	37451
107	OMEN	omen	604.894736842105	-0.206657425090046	1.0	43527
1070	BUS	bus	502.864864864865	-0.786502381693924	0.95	30225
