CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_OCCURRENCES_TOTAL	ENGLISH_OCCURRENCES_NUM	ENGLISH_AOA_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	18	12	13.33	0.6666666666666666	5746
10	FIREWOOD	firewood	18	18	6.61	1	10346
100	FAITHFUL	faithful	19	19	8.42	1	9906
1000	ANXIETY	anxiety	18	18	8.17	1	1162
1001	BLACKSMITH	blacksmith	19	19	9.84	1	2720
1002	STATUE	statue	22	22	7.55	1	25975
1003	PERMIT	allow	19	19	5.32	1	740
1004	MUSCLE	muscle	20	20	8.45	1	17782
1005	TWINS	twin	18	18	6.06	1	28453
1006	BRICK	brick	21	21	6.43	1	3296
1007	COW	cow	18	18	3.94	1	6173
1008	BULL	bull	19	19	4.53	1	3496
1009	CHESTNUT TREE	buckeye	19	17	12.47	0.8947368421052632	3443
101	BOAST	boast	19	18	8.22	0.9473684210526315	2912
1010	BOUNDARY	boundary	20	20	8.35	1	3130
1011	BRIDGE	bridge	19	19	5.58	1	3306
1012	LATCH	latch	19	19	8	1	15448
1013	FRESHWATER EEL	eel	19	19	6.47	1	8697
1014	OR	or	22	22	4.1436020000000005	1	18879
1016	DRIZZLE	drizzle	18	18	7.56	1	8396
1017	APPEARANCE	appearance	18	18	8.83	1	1228
1018	MEMORY	memory	20	20	6.4	1	16845
1019	RIGHT	right	22	22	4.346085	1	23287
102	COMMON COLD (DISEASE)	common	18	18	6.94	1	5288
1020	HANDKERCHIEF	handkerchief	18	18	7.22	1	12377
1021	TOWEL	towel	18	18	3.22	1	27936
1024	CHARACTER	character	19	19	6.47	1	4389
1025	WHISTLE	whistle	19	19	5.42	1	30575
1027	BUG	bug	19	19	3.79	1	3472
1028	YAWN	yawn	20	20	5.3	1	31010
1029	JEWEL	jewel	18	18	6.22	1	14908
1030	NECESSARY	necessary	20	20	7.55	1	17997
1032	CITIZEN	citizen	19	19	7.74	1	4761
1033	GRIND	grind	1934	1928	8.37	0.9968976215098242	12022
