ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE	LINKED_CONCEPTS
List-2018-1105-1	1	694	GET	GET	57	197	274	1105	1	TAKE	16	115	163	"[{""ID"": ""List-2018-1105-10"", ""NAME"": ""PICK UP"", ""WordWeight"": 8, ""LanguageWeight"": 8, ""FamilyWeight"": 8}, {""ID"": ""List-2018-1105-135"", ""NAME"": ""GATHER"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-13"", ""NAME"": ""GRASP"", ""WordWeight"": 8, ""LanguageWeight"": 8, ""FamilyWeight"": 7}, {""ID"": ""List-2018-1105-204"", ""NAME"": ""CHOOSE"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-165"", ""NAME"": ""SEE"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-136"", ""NAME"": ""BUY"", ""WordWeight"": 14, ""LanguageWeight"": 14, ""FamilyWeight"": 8}, {""ID"": ""List-2018-1105-15"", ""NAME"": ""CARRY IN HAND"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-7"", ""NAME"": ""CARRY"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-40"", ""NAME"": ""TRAP (CATCH)"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-2"", ""NAME"": ""TAKE"", ""WordWeight"": 42, ""LanguageWeight"": 40, ""FamilyWeight"": 19}, {""ID"": ""List-2018-1105-21"", ""NAME"": ""BRING"", ""WordWeight"": 10, ""LanguageWeight"": 9, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-3"", ""NAME"": ""CATCH"", ""WordWeight"": 14, ""LanguageWeight"": 14, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-6"", ""NAME"": ""HOLD"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-192"", ""NAME"": ""FIND"", ""WordWeight"": 20, ""LanguageWeight"": 19, ""FamilyWeight"": 15}, {""ID"": ""List-2018-1105-718"", ""NAME"": ""EARN"", ""WordWeight"": 14, ""LanguageWeight"": 14, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-124"", ""NAME"": ""BORROW"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 5}]"
List-2018-1105-2	2	1749	TAKE	TAKE	63	213	282	1104	1	TAKE	15	164	264	"[{""ID"": ""List-2018-1105-10"", ""NAME"": ""PICK UP"", ""WordWeight"": 17, ""LanguageWeight"": 16, ""FamilyWeight"": 12}, {""ID"": ""List-2018-1105-1"", ""NAME"": ""GET"", ""WordWeight"": 42, ""LanguageWeight"": 40, ""FamilyWeight"": 19}, {""ID"": ""List-2018-1105-13"", ""NAME"": ""GRASP"", ""WordWeight"": 41, ""LanguageWeight"": 37, ""FamilyWeight"": 27}, {""ID"": ""List-2018-1105-40"", ""NAME"": ""TRAP (CATCH)"", ""WordWeight"": 13, ""LanguageWeight"": 13, ""FamilyWeight"": 12}, {""ID"": ""List-2018-1105-172"", ""NAME"": ""HUNT"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-441"", ""NAME"": ""LIFT"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-6"", ""NAME"": ""HOLD"", ""WordWeight"": 22, ""LanguageWeight"": 21, ""FamilyWeight"": 18}, {""ID"": ""List-2018-1105-15"", ""NAME"": ""CARRY IN HAND"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-3"", ""NAME"": ""CATCH"", ""WordWeight"": 35, ""LanguageWeight"": 34, ""FamilyWeight"": 24}, {""ID"": ""List-2018-1105-7"", ""NAME"": ""CARRY"", ""WordWeight"": 24, ""LanguageWeight"": 24, ""FamilyWeight"": 11}, {""ID"": ""List-2018-1105-124"", ""NAME"": ""BORROW"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-88"", ""NAME"": ""CARRY ON SHOULDER"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-21"", ""NAME"": ""BRING"", ""WordWeight"": 15, ""LanguageWeight"": 13, ""FamilyWeight"": 8}, {""ID"": ""List-2018-1105-136"", ""NAME"": ""BUY"", ""WordWeight"": 38, ""LanguageWeight"": 37, ""FamilyWeight"": 8}, {""ID"": ""List-2018-1105-204"", ""NAME"": ""CHOOSE"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 7}]"
List-2018-1105-3	3	702	CATCH	CATCH	59	202	240	1103	1	TAKE	13	126	273	"[{""ID"": ""List-2018-1105-10"", ""NAME"": ""PICK UP"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-1"", ""NAME"": ""GET"", ""WordWeight"": 14, ""LanguageWeight"": 14, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-13"", ""NAME"": ""GRASP"", ""WordWeight"": 90, ""LanguageWeight"": 84, ""FamilyWeight"": 26}, {""ID"": ""List-2018-1105-40"", ""NAME"": ""TRAP (CATCH)"", ""WordWeight"": 57, ""LanguageWeight"": 57, ""FamilyWeight"": 17}, {""ID"": ""List-2018-1105-172"", ""NAME"": ""HUNT"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-6"", ""NAME"": ""HOLD"", ""WordWeight"": 52, ""LanguageWeight"": 51, ""FamilyWeight"": 18}, {""ID"": ""List-2018-1105-15"", ""NAME"": ""CARRY IN HAND"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-7"", ""NAME"": ""CARRY"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-2"", ""NAME"": ""TAKE"", ""WordWeight"": 35, ""LanguageWeight"": 34, ""FamilyWeight"": 24}, {""ID"": ""List-2018-1105-21"", ""NAME"": ""BRING"", ""WordWeight"": 5, ""LanguageWeight"": 4, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-204"", ""NAME"": ""CHOOSE"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-132"", ""NAME"": ""TOUCH"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-124"", ""NAME"": ""BORROW"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 6}]"
List-2018-1105-4	4	2254	FATHER-IN-LAW (OF WOMAN)	FATHER-IN-LAW (OF WOMAN)	51	177	204	1097	3	MOTHER-IN-LAW (OF WOMAN)	12	118	203	"[{""ID"": ""List-2018-1105-229"", ""NAME"": ""STEPFATHER"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-103"", ""NAME"": ""GRANDFATHER"", ""WordWeight"": 7, ""LanguageWeight"": 6, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-41"", ""NAME"": ""DAUGHTER-IN-LAW (OF MAN)"", ""WordWeight"": 12, ""LanguageWeight"": 12, ""FamilyWeight"": 11}, {""ID"": ""List-2018-1105-187"", ""NAME"": ""FATHER"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-91"", ""NAME"": ""UNCLE"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-85"", ""NAME"": ""MOTHER'S BROTHER"", ""WordWeight"": 8, ""LanguageWeight"": 8, ""FamilyWeight"": 7}, {""ID"": ""List-2018-1105-48"", ""NAME"": ""SON-IN-LAW (OF MAN)"", ""WordWeight"": 11, ""LanguageWeight"": 11, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-8"", ""NAME"": ""MOTHER-IN-LAW (OF WOMAN)"", ""WordWeight"": 13, ""LanguageWeight"": 9, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-72"", ""NAME"": ""SON-IN-LAW (OF WOMAN)"", ""WordWeight"": 13, ""LanguageWeight"": 12, ""FamilyWeight"": 11}, {""ID"": ""List-2018-1105-82"", ""NAME"": ""DAUGHTER-IN-LAW (OF WOMAN)"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-9"", ""NAME"": ""FATHER-IN-LAW (OF MAN)"", ""WordWeight"": 126, ""LanguageWeight"": 118, ""FamilyWeight"": 40}, {""ID"": ""List-2018-1105-18"", ""NAME"": ""MOTHER-IN-LAW (OF MAN)"", ""WordWeight"": 9, ""LanguageWeight"": 9, ""FamilyWeight"": 8}]"
List-2018-1105-5	5	1304	CHILD (YOUNG HUMAN)	CHILD (YOUNG HUMAN)	66	216	287	1098	2	CHILD (YOUNG HUMAN)	12	129	226	"[{""ID"": ""List-2018-1105-93"", ""NAME"": ""CALF"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-155"", ""NAME"": ""GIRL"", ""WordWeight"": 12, ""LanguageWeight"": 12, ""FamilyWeight"": 11}, {""ID"": ""List-2018-1105-236"", ""NAME"": ""BABY"", ""WordWeight"": 78, ""LanguageWeight"": 74, ""FamilyWeight"": 25}, {""ID"": ""List-2018-1105-27"", ""NAME"": ""BOY"", ""WordWeight"": 37, ""LanguageWeight"": 35, ""FamilyWeight"": 24}, {""ID"": ""List-2018-1105-267"", ""NAME"": ""KID"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-17"", ""NAME"": ""SON"", ""WordWeight"": 19, ""LanguageWeight"": 17, ""FamilyWeight"": 14}, {""ID"": ""List-2018-1105-22"", ""NAME"": ""CHILD (DESCENDANT)"", ""WordWeight"": 60, ""LanguageWeight"": 54, ""FamilyWeight"": 23}, {""ID"": ""List-2018-1105-52"", ""NAME"": ""FOAL"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-78"", ""NAME"": ""DAUGHTER"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-789"", ""NAME"": ""PUPIL (STUDENT)"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-36"", ""NAME"": ""YOUNG"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-79"", ""NAME"": ""LAMB"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 4}]"
List-2018-1105-6	6	1448	HOLD	HOLD	58	199	246	1099	1	TAKE	12	126	267	"[{""ID"": ""List-2018-1105-1"", ""NAME"": ""GET"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-388"", ""NAME"": ""HAVE"", ""WordWeight"": 13, ""LanguageWeight"": 13, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-13"", ""NAME"": ""GRASP"", ""WordWeight"": 67, ""LanguageWeight"": 61, ""FamilyWeight"": 21}, {""ID"": ""List-2018-1105-40"", ""NAME"": ""TRAP (CATCH)"", ""WordWeight"": 34, ""LanguageWeight"": 34, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-265"", ""NAME"": ""OWN"", ""WordWeight"": 12, ""LanguageWeight"": 12, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-15"", ""NAME"": ""CARRY IN HAND"", ""WordWeight"": 16, ""LanguageWeight"": 16, ""FamilyWeight"": 13}, {""ID"": ""List-2018-1105-7"", ""NAME"": ""CARRY"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-2"", ""NAME"": ""TAKE"", ""WordWeight"": 22, ""LanguageWeight"": 21, ""FamilyWeight"": 18}, {""ID"": ""List-2018-1105-21"", ""NAME"": ""BRING"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-3"", ""NAME"": ""CATCH"", ""WordWeight"": 52, ""LanguageWeight"": 51, ""FamilyWeight"": 18}, {""ID"": ""List-2018-1105-118"", ""NAME"": ""KEEP"", ""WordWeight"": 39, ""LanguageWeight"": 35, ""FamilyWeight"": 11}, {""ID"": ""List-2018-1105-132"", ""NAME"": ""TOUCH"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 4}]"
List-2018-1105-7	7	700	CARRY	CARRY	65	213	305	1100	1	TAKE	12	93	230	"[{""ID"": ""List-2018-1105-98"", ""NAME"": ""CARRY ON HEAD"", ""WordWeight"": 36, ""LanguageWeight"": 34, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-1"", ""NAME"": ""GET"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-13"", ""NAME"": ""GRASP"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-262"", ""NAME"": ""CARRY UNDER ARM"", ""WordWeight"": 24, ""LanguageWeight"": 23, ""FamilyWeight"": 7}, {""ID"": ""List-2018-1105-117"", ""NAME"": ""LEAD (GUIDE)"", ""WordWeight"": 20, ""LanguageWeight"": 19, ""FamilyWeight"": 7}, {""ID"": ""List-2018-1105-6"", ""NAME"": ""HOLD"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-15"", ""NAME"": ""CARRY IN HAND"", ""WordWeight"": 42, ""LanguageWeight"": 41, ""FamilyWeight"": 16}, {""ID"": ""List-2018-1105-3"", ""NAME"": ""CATCH"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-88"", ""NAME"": ""CARRY ON SHOULDER"", ""WordWeight"": 39, ""LanguageWeight"": 38, ""FamilyWeight"": 12}, {""ID"": ""List-2018-1105-2"", ""NAME"": ""TAKE"", ""WordWeight"": 24, ""LanguageWeight"": 24, ""FamilyWeight"": 11}, {""ID"": ""List-2018-1105-21"", ""NAME"": ""BRING"", ""WordWeight"": 26, ""LanguageWeight"": 25, ""FamilyWeight"": 11}, {""ID"": ""List-2018-1105-137"", ""NAME"": ""DRIVE"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 5}]"
List-2018-1105-8	8	2256	MOTHER-IN-LAW (OF WOMAN)	MOTHER-IN-LAW (OF WOMAN)	61	204	236	1101	3	MOTHER-IN-LAW (OF WOMAN)	12	120	214	"[{""ID"": ""List-2018-1105-24"", ""NAME"": ""AUNT"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-157"", ""NAME"": ""MOTHER'S SISTER"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-41"", ""NAME"": ""DAUGHTER-IN-LAW (OF MAN)"", ""WordWeight"": 12, ""LanguageWeight"": 11, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-4"", ""NAME"": ""FATHER-IN-LAW (OF WOMAN)"", ""WordWeight"": 13, ""LanguageWeight"": 9, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-72"", ""NAME"": ""SON-IN-LAW (OF WOMAN)"", ""WordWeight"": 12, ""LanguageWeight"": 12, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-76"", ""NAME"": ""FATHER'S SISTER"", ""WordWeight"": 11, ""LanguageWeight"": 11, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-48"", ""NAME"": ""SON-IN-LAW (OF MAN)"", ""WordWeight"": 8, ""LanguageWeight"": 8, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-82"", ""NAME"": ""DAUGHTER-IN-LAW (OF WOMAN)"", ""WordWeight"": 12, ""LanguageWeight"": 11, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-18"", ""NAME"": ""MOTHER-IN-LAW (OF MAN)"", ""WordWeight"": 129, ""LanguageWeight"": 119, ""FamilyWeight"": 38}, {""ID"": ""List-2018-1105-331"", ""NAME"": ""GRANDMOTHER"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-9"", ""NAME"": ""FATHER-IN-LAW (OF MAN)"", ""WordWeight"": 13, ""LanguageWeight"": 12, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-342"", ""NAME"": ""STEPMOTHER"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 5}]"
List-2018-1105-9	9	2255	FATHER-IN-LAW (OF MAN)	FATHER-IN-LAW (OF MAN)	59	201	231	1102	3	MOTHER-IN-LAW (OF WOMAN)	12	117	212	"[{""ID"": ""List-2018-1105-229"", ""NAME"": ""STEPFATHER"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 4}, {""ID"": ""List-2018-1105-103"", ""NAME"": ""GRANDFATHER"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-41"", ""NAME"": ""DAUGHTER-IN-LAW (OF MAN)"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-4"", ""NAME"": ""FATHER-IN-LAW (OF WOMAN)"", ""WordWeight"": 126, ""LanguageWeight"": 118, ""FamilyWeight"": 40}, {""ID"": ""List-2018-1105-72"", ""NAME"": ""SON-IN-LAW (OF WOMAN)"", ""WordWeight"": 13, ""LanguageWeight"": 13, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-187"", ""NAME"": ""FATHER"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-48"", ""NAME"": ""SON-IN-LAW (OF MAN)"", ""WordWeight"": 22, ""LanguageWeight"": 22, ""FamilyWeight"": 16}, {""ID"": ""List-2018-1105-82"", ""NAME"": ""DAUGHTER-IN-LAW (OF WOMAN)"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-18"", ""NAME"": ""MOTHER-IN-LAW (OF MAN)"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-85"", ""NAME"": ""MOTHER'S BROTHER"", ""WordWeight"": 11, ""LanguageWeight"": 11, ""FamilyWeight"": 10}, {""ID"": ""List-2018-1105-8"", ""NAME"": ""MOTHER-IN-LAW (OF WOMAN)"", ""WordWeight"": 13, ""LanguageWeight"": 12, ""FamilyWeight"": 9}, {""ID"": ""List-2018-1105-91"", ""NAME"": ""UNCLE"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 7}]"
List-2018-1105-10	10	371	PICK UP	PICK UP	52	188	249	1094	1	TAKE	11	82	147	"[{""ID"": ""List-2018-1105-325"", ""NAME"": ""MOW"", ""WordWeight"": 9, ""LanguageWeight"": 9, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-544"", ""NAME"": ""PILE UP"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-13"", ""NAME"": ""GRASP"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""List-2018-1105-441"", ""NAME"": ""LIFT"", ""WordWeight"": 52, ""LanguageWeight"": 48, ""FamilyWeight"": 14}, {""ID"": ""List-2018-1105-135"", ""NAME"": ""GATHER"", ""WordWeight"": 38, ""LanguageWeight"": 36, ""FamilyWeight"": 17}, {""ID"": ""List-2018-1105-40"", ""NAME"": ""TRAP (CATCH)"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-2"", ""NAME"": ""TAKE"", ""WordWeight"": 17, ""LanguageWeight"": 16, ""FamilyWeight"": 12}, {""ID"": ""List-2018-1105-177"", ""NAME"": ""JOIN"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""List-2018-1105-204"", ""NAME"": ""CHOOSE"", ""WordWeight"": 9, ""LanguageWeight"": 9, ""FamilyWeight"": 6}, {""ID"": ""List-2018-1105-1"", ""NAME"": ""GET"", ""WordWeight"": 8, ""LanguageWeight"": 8, ""FamilyWeight"": 8}, {""ID"": ""List-2018-1105-3"", ""NAME"": ""CATCH"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}]"
