CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	POLISH_FREQUENCY	POLISH_CD	POLISH_FREQUENCY_LOG	POLISH_CD_LOG	POLISH_POS	LINE_IN_SOURCE
1000	ANXIETY	zmartwienie	506	477	2.70500795933334	2.67942789661212	verb	13484
1002	STATUE	statua	161	117	2.20951501454263	2.07188200730613	subst	31624
1004	MUSCLE	mięsień	320	270	2.50650503240487	2.43296929087441	subst	19235
1006	BRICK	cegła	174	126	2.24303804868629	2.10380372095596	subst	29952
1007	COW	krowa	1122	743	3.05037975626146	2.87157293554588	subst	6935
1008	BULL	byk	587	373	2.76937732607614	2.57287160220048	subst	11952
1011	BRIDGE	most	2501	1292	3.3982873053574	3.11159852488039	subst	3438
1014	OR	albo	81725	21947	4.91236024331573	4.34139495152404	conj	136
1016	DRIZZLE	mżawka	30	24	1.49136169383427	1.39794000867204	subst	88777
1019	RIGHT	prawy	903	615	2.95616843047536	2.78958071216443	adj	8307
1024	CHARACTER	charakter	1728	1442	3.23779499327392	3.15926633109349	subst	4749
1025	WHISTLE	gwizdać	149	123	2.17609125905568	2.09342168516224	verb	33243
1030	NECESSARY	potrzebny	5795	4423	3.76312837679914	3.64581511829664	adj	1616
1038	TEACHER	nauczyciel	2070	1356	3.31618009889345	3.13257984765974	subst	4040
1045	POET	poeta	548	416	2.73957234445009	2.62013605497376	subst	12618
1046	SHUT	zamykać	730	663	2.86391737695786	2.82216807936802	verb	9944
1047	PURSUE	dążyć	214	204	2.33243845991561	2.31175386105575	verb	25918
1051	CAN	puszka	386	283	2.58771096501891	2.45331834004704	subst	16628
1052	LIGHT (WEIGHT)	lekki	805	717	2.90633504180509	2.8561244442423	adj	9173
1062	LAW	prawo	21452	10404	4.33148803276053	4.01724208454765	subst	486
1063	NEPHEW	siostrzeniec	491	358	2.69196510276736	2.55509444857832	subst	13788
1064	SHIELD	tarcza	420	274	2.62428209583567	2.43933269383026	subst	15621
1066	CRIME	przestępstwo	1996	1589	3.3003780648707	3.20139712432045	subst	4177
1068	COURT	sąd	3530	1979	3.5478977175631	3.29666519026153	subst	2517
1069	GLUE	kleić	25	25	1.41497334797082	1.41497334797082	verb	97590
1070	BUS	autobus	3273	1977	3.51507867507592	3.29622628726116	subst	2693
1077	WHEAT	pszenica	89	53	1.95424250943932	1.73239375982297	subst	46837
1079	FEEL	czuć	5494	4369	3.73996769675951	3.64048143697042	verb	1700
1085	FOLLOW	śledzić	1487	1251	3.17260293120986	3.09760432887441	verb	5435
1088	SINK (DESCEND)	tonąć	85	79	1.93449845124357	1.90308998699194	verb	48273
1095	LET GO OR SET FREE	uwalniać	49	49	1.69897000433602	1.69897000433602	verb	67698
1098	WEIGH	ważyć	173	161	2.2405492482826	2.20951501454263	verb	30144
110	MOTOR	motor	1088	589	3.03702787975578	2.77085201164214	subst	7123
1100	COOK (SOMETHING)	gotować	1566	1216	3.19506899646859	3.08529057823006	verb	5190
1104	NURSE	pielęgniarka	1206	940	3.08170727009735	2.97358962342726	subst	6516
1105	CAMP	pole	4210	2464	3.62438524142026	3.39181692361325	subst	2129
1111	CAR	samochód	23875	9123	4.37796157021964	3.96018527660461	subst	442
1116	DAMAGE	zniszczenie	1317	1126	3.11991541025799	3.05192391604611	verb	6046
1119	DIVIDE	dzielić	1925	1665	3.28465628278852	3.22167499707077	verb	4316
112	TURTLE	żółw	465	272	2.66838591669	2.43616264704076	subst	14390
1120	HONEST	szczery	3216	2555	3.50745106090197	3.40756084948636	adj	2750
1121	SECRET	tajemnica	2581	2080	3.4119562379304	3.31827208021163	subst	3347
1122	WAGES	pensja	287	265	2.45939248775923	2.42488163663107	subst	20864
1127	SEND	wysyłać	734	689	2.86628733908419	2.83884909073726	verb	9898
1128	ORDER	rozkaz	7429	3785	3.87098881376058	3.57818060962778	subst	1290
1133	MATCH	zapałka	52	43	1.72427586960079	1.64345267648619	subst	65444
1136	RABBIT	królik	1084	553	3.03542973818455	2.74350976472843	subst	7155
1142	URINE	mocz	529	416	2.72427586960079	2.62013605497376	subst	13004
1145	SWAMP	bagno	538	410	2.73158876518674	2.61384182187607	subst	12829
1147	PURE	czysty	3815	2984	3.58160836603206	3.47494433546539	adj	2321
1153	CATTLE	bydło	686	392	2.83695673705955	2.59439255037543	subst	10494
1156	OPEN	otwierać	1688	1320	3.22762964957101	3.12090281761453	verb	4828
1161	THREAD	nić	281	232	2.45024910831936	2.36735592102602	subst	21195
