CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SOUND_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_MANIPULATION_MEAN	ENGLISH_MOTION_MEAN	ENGLISH_EMOTION_MEAN	LINE_IN_SOURCE
1004	MUSCLE	muscle	0.53	2.00	4.14	3.62	1.81	835
1006	BRICK	brick	1.23	3.82	1.38	0.00	-0.55	169
1007	COW	cow	3.48	4.19	2.00	2.15	0.68	318
1008	BULL	bull	3.58	3.53	2.50	3.52	-1.62	181
1011	BRIDGE	bridge	1.27	1.73	2.21	0.73	0.25	170
1013	FRESHWATER EEL	eel	0.93	2.80	1.19	3.81	-1.41	414
1016	DRIZZLE	drizzle	2.30	0.80	0.43	2.45	0.42	398
1025	WHISTLE	whistle	4.58	0.91	3.00	1.00	1.36	1361
1029	JEWEL	jewel	0.73	4.00	2.42	0.36	3.08	675
1038	TEACHER	teacher	3.25	1.92	1.45	3.15	2.25	1241
1040	HAIR	hair	0.47	3.83	3.50	1.49	1.19	573
1044	PILLOW	pillow	1.33	1.55	3.45	0.45	3.50	944
1062	LAW	law	0.88	0.41	2.09	0.55	0.32	720
1064	SHIELD	shield	1.36	1.08	3.08	0.33	-0.15	1110
1068	COURT	court	2.17	1.18	2.33	0.92	-1.82	317
1070	BUS	bus	4.53	4.56	2.77	3.74	0.47	186
1072	PRISONER	prisoner	2.09	1.80	2.67	1.85	-3.63	984
1077	WHEAT	wheat	0.15	3.30	2.77	0.42	0.92	1355
1088	SINK (DESCEND)	sink	2.73	1.09	1.75	0.25	-0.08	1127
1092	HOPE	hope	0.64	0.61	1.84	0.96	4.43	615
1096	SONG	song	4.45	0.09	2.58	1.92	3.73	1162
1104	NURSE	nurse	2.25	1.45	1.23	3.73	1.67	866
1105	CAMP	camp	2.91	2.27	1.67	0.92	1.73	207
1111	CAR	car	4.16	3.09	4.24	4.54	2.07	218
1114	BULLET	bullet	3.75	2.14	2.64	4.49	-3.55	182
1115	SPEECH	speech	4.61	0.41	2.93	1.32	0.69	1169
112	TURTLE	turtle	0.98	4.58	1.36	1.55	1.36	1309
1124	PIPE	pipe	1.90	1.50	3.92	0.25	-0.46	948
113	SHORE	shore	3.00	2.92	0.69	0.92	3.08	1115
1133	MATCH	match	1.28	2.42	3.25	1.26	0.26	783
1135	KICK	kick	2.33	0.25	3.00	3.58	-1.31	692
1136	RABBIT	rabbit	1.56	3.76	1.54	3.84	1.98	1011
1143	OVEN	oven	1.60	1.45	2.85	0.27	0.27	884
1145	SWAMP	swamp	1.91	3.40	0.62	0.80	-2.08	1225
1146	AUBERGINE	eggplant	0.21	4.17	1.90	0.35	0.47	416
1150	THUNDER	thunder	5.45	1.23	0.62	1.97	0.39	1258
1153	CATTLE	cattle	3.00	2.80	2.15	3.17	-0.42	230
1154	OLIVE	olive	0.17	4.36	2.14	0.08	-1.08	875
1155	CAVE	cave	1.58	1.36	0.93	0.00	-0.77	233
1159	FART	fart	4.53	0.42	2.00	1.58	-0.68	451
1160	THIEF	thief	1.47	0.94	1.77	3.19	-3.29	1253
1161	THREAD	thread	0.36	2.50	3.92	0.42	0.00	1255
1163	BRIBE (AMOUNT)	bribe	1.19	0.60	2.63	0.56	-2.73	168
1171	MIRROR	mirror	0.64	1.50	2.82	0.31	0.08	803
1176	SPADE	spade	1.30	3.09	2.68	1.27	-0.07	1164
1182	NOISE	noise	5.07	0.47	2.83	1.63	-0.79	860
1183	PALM OF HAND	palm	0.00	2.82	3.21	0.64	1.00	896
119	DIVE	dive	2.30	0.58	2.08	2.83	0.46	377
1193	STEAM	steam	2.33	1.55	1.00	2.90	-0.10	1191
1194	BEAVER	beaver	2.64	2.69	1.54	3.25	1.33	103
1199	WIFE	wife	3.17	1.08	3.17	3.64	2.77	1364
1205	TONGUE	tongue	1.67	3.85	4.00	2.50	1.58	1274
1208	CAT	cat	3.05	3.49	1.84	3.44	0.93	228
1216	MOTHER	mother	3.30	2.18	1.91	3.36	4.25	824
1217	FATHER	father	3.62	1.92	2.50	4.55	4.42	453
1218	ROPE	rope	0.60	1.42	3.38	1.17	0.42	1063
1219	WORM	worm	0.27	2.36	0.92	2.08	-2.08	1384
122	CART	cart	2.00	1.09	3.00	2.00	-0.45	226
1220	TAIL	tail	0.91	0.50	1.58	2.50	0.36	1232
1221	NOSE	nose	1.61	2.24	1.91	0.76	-0.24	861
1223	HEART	heart	3.25	4.30	3.00	3.70	3.33	592
1224	LIVER	liver	0.46	2.73	2.23	0.75	-1.27	751
1225	DAY (NOT NIGHT)	day	1.22	2.94	1.13	1.59	2.59	352
1226	YEAR	year	0.88	0.28	0.76	1.08	0.57	1393
1227	BOARD	board	0.50	1.33	2.15	0.25	-0.67	139
1228	EARTH (SOIL)	earth	1.91	4.00	2.08	3.45	3.00	410
1233	NIGHT	night	2.07	3.45	1.00	1.40	1.82	857
124	THORN	thorn	0.58	1.42	1.08	0.11	-3.08	1254
1245	BUTTER	butter	0.18	3.75	2.67	0.58	0.31	189
1247	EAR	ear	1.09	1.25	3.08	0.14	0.33	409
1248	EYE	eye	0.20	4.13	3.58	2.32	1.31	441
125	SWEAT (SUBSTANCE)	sweat	1.42	0.82	0.50	1.67	1.17	1226
1250	JAGUAR	jaguar	2.94	4.48	1.39	4.74	2.16	663
1251	BELLY	belly	1.30	2.10	2.29	2.30	0.55	114
1252	HOUSE	house	3.00	1.54	1.83	0.92	2.73	622
1256	HEAD	head	0.36	1.17	3.46	2.33	0.92	591
1257	WING	wing	1.25	1.65	1.88	3.42	0.74	1370
1262	BROTHER	brother	4.17	0.75	2.08	3.67	2.42	174
1263	SISTER	sister	3.20	1.18	2.23	2.76	2.68	1129
1272	AUNT	aunt	3.18	1.55	1.17	3.25	2.50	63
1273	CANDLE	candle	0.60	3.50	2.36	1.64	3.55	210
1274	SALT	salt	0.38	3.45	2.58	0.00	0.45	1075
1275	ANSWER	answer	1.53	0.29	3.10	0.48	1.45	33
1276	AUTUMN	autumn	1.90	5.43	0.76	1.07	3.27	65
1277	HAND	hand	0.95	2.55	3.36	2.65	0.74	580
1281	PRISON	prison	2.86	1.36	1.88	1.20	-4.20	983
1284	BANK	bank	2.50	1.31	2.25	0.42	1.83	86
1288	CAP	cap	0.25	2.61	2.65	0.46	0.44	216
1289	BABY	baby	5.25	2.18	2.92	3.08	3.85	73
1290	ELEPHANT	elephant	3.82	4.05	1.39	2.85	0.95	419
1297	LEG	leg	0.67	1.75	3.45	3.52	0.52	727
1298	NEWSPAPER	newspaper	1.82	3.05	2.98	0.74	0.84	855
1299	COFFEE	coffee	1.18	4.55	3.36	0.94	0.50	294
13	DECEIT	deceit	0.84	0.26	1.59	0.81	-4.26	355
1301	FOOT	foot	1.29	1.71	3.38	3.39	-0.02	495
1302	FORK	fork	1.33	2.31	3.15	0.43	0.54	500
1303	FINGER	finger	0.44	2.13	3.84	2.92	0.30	471
1306	QUEEN	queen	2.25	1.82	1.33	3.64	2.83	1007
131	FESTIVAL	festival	4.87	3.69	2.16	3.26	3.37	463
1312	FOX	fox	2.04	3.90	1.23	3.76	0.63	504
1313	MOON	moon	0.69	3.50	0.64	1.83	2.91	814
1315	RADIO	radio	4.61	1.36	3.59	0.92	2.02	1015
1316	TENT	tent	1.27	2.27	2.69	0.55	1.58	1248
1318	CHICKEN	chicken	4.00	2.50	2.62	3.82	1.83	253
132	SAUCE	sauce	0.75	2.92	3.23	0.67	0.45	1079
1320	APPLE	apple	1.60	5.36	2.38	0.23	1.92	39
1321	BOTTLE	bottle	1.90	0.55	3.54	0.42	0.58	151
1322	BREAKFAST	breakfast	1.58	2.00	3.75	0.90	2.23	165
1323	CLOCK	clock	3.00	0.75	3.00	3.25	-0.58	281
1325	FRIEND	friend	3.07	1.76	2.40	2.05	4.60	507
1327	UNCLE	uncle	2.80	0.80	1.42	3.08	1.92	1315
1331	SHEEP	sheep	2.62	3.86	2.09	2.68	0.70	1106
1333	NECK	neck	0.30	1.36	2.69	2.18	0.42	849
1334	GUTS	gut	1.12	1.00	1.50	0.85	-2.12	571
1337	PIG	pig	3.68	4.52	1.85	2.86	-0.27	941
1338	PEACE	peace	0.79	1.60	1.94	0.67	4.62	914
1339	MORNING	morning	1.40	2.98	0.43	1.24	1.20	819
134	FAULT	guilt	0.71	0.55	2.07	0.32	-3.75	567
1342	SUMMER	summer	2.63	3.98	0.50	1.87	4.19	1216
1343	SUN	sun	0.24	5.45	0.59	1.98	4.00	1217
