CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_EMOTION_DOMINANT	ENGLISH_EMOTION_INTENSITY	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	anger	0.764	179
100	FAITHFUL	faithful	joy	0.529	5772
1000	ANXIETY	anxiety	anger	0.344	1137
1001	BLACKSMITH	smith	trust	0.312	9714
1013	FRESHWATER EEL	eel	fear	0.344	4745
1027	BUG	bug	disgust	0.359	3190
1028	YAWN	gape	surprise	0.633	7918
1034	DEFENDANT	defendant	anger	0.266	1263
1035	GOOD	good	anticipation	0.383	2197
1038	TEACHER	teacher	trust	0.641	8601
1039	SHOW	show	trust	0.352	9644
1047	PURSUE	pursue	trust	0.398	9530
1053	HUNTER	hunter	anticipation	0.523	1854
1061	ARMOUR	armor	fear	0.484	4370
1062	LAW	law	trust	0.547	8955
1066	CRIME	crime	anger	0.672	316
1067	JUDGMENT	judgment	surprise	0.422	8140
1068	COURT	court	anger	0.199	1358
107	OMEN	omen	anticipation	0.570	1730
1072	PRISONER	prisoner	anger	0.516	684
1080	VULGAR	vulgar	disgust	0.719	2492
1082	MERCHANT	merchant	trust	0.242	9827
1085	FOLLOW	follow	trust	0.477	9240
1092	HOPE	hope	anticipation	0.773	1490
1094	FASTEN	tighten	anger	0.328	1168
1097	ABANDON	abandon	fear	0.531	4251
1098	WEIGH	weigh	anticipation	0.414	2114
11	DARKNESS	darkness	anger	0.227	1322
1103	SACRIFICE	sacrifice	trust	0.477	9231
1104	NURSE	nurse	trust	0.594	8748
1108	UNCOVER	uncover	surprise	0.562	7985
1109	WOUND	wound	anger	0.636	387
1112	SUCCEED	succeed	anticipation	0.633	1620
1117	LIKE	like	trust	0.484	9223
1120	HONEST	honest	anger	0.087	1452
1121	SECRET	secret	trust	0.305	9730
1122	WAGES	wages	joy	0.169	6387
1129	PAINFUL	painful	anger	0.426	928
1132	BEAM	beam	joy	0.456	5923
1134	DIVORCE	divorce	anger	0.516	682
1135	KICK	kick	anger	0.667	336
1141	PITY	pity	sadness	0.547	7005
1144	WITNESS	witness	trust	0.602	8724
1145	SWAMP	swamp	disgust	0.570	2735
1147	PURE	pure	joy	0.364	6085
1148	BRUISE	bruise	anticipation	0.289	2304
1149	ORPHAN	orphan	fear	0.453	4464
1150	THUNDER	thundering	anger	0.625	415
1160	THIEF	thief	anger	0.561	574
1172	SHOOT	shoot	anger	0.672	323
1175	GHOST	ghost	fear	0.672	3811
1177	DIARRHEA	diarrhoea	disgust	0.820	2382
1184	DIMINISH	diminish	sadness	0.438	7282
1185	VULTURE	vulture	disgust	0.516	2844
1189	ULCER	ulcer	anger	0.348	1119
1192	THREATEN	threaten	anger	0.818	116
1197	BABOON	baboon	disgust	0.250	3334
1200	HUSBAND	husband	joy	0.438	5964
1203	LONG	long	anticipation	0.406	2141
1204	BARK	bark	anger	0.365	1082
1216	MOTHER	mother	anticipation	0.406	2134
1217	FATHER	father	trust	0.586	8786
1219	WORM	worm	anticipation	0.203	2339
1221	NOSE	nose	disgust	0.180	3395
1223	HEART	heart	joy	0.547	5725
1227	BOARD	board	anticipation	0.234	2334
1228	EARTH (SOIL)	soil	disgust	0.312	3265
1230	DIRTY	dirty	disgust	0.727	2477
1232	WARM	warm	joy	0.429	5972
125	SWEAT (SUBSTANCE)	sweat	fear	0.219	5018
1259	WEDDING	wedding	joy	0.641	5559
1261	SING	sing	anticipation	0.411	2132
1262	BROTHER	brother	trust	0.648	8588
1264	CHANGE	change	fear	0.198	5050
1266	BRIDE	bride	anticipation	0.641	1589
127	EXTINGUISH	extinguish	anger	0.394	1026
1271	DELIGHT	delight	anticipation	0.633	1609
1272	AUNT	aunt	trust	0.461	9294
1273	CANDLE	candle	joy	0.234	6309
1276	AUTUMN	autumn	joy	0.254	6273
1278	VOMIT	vomit	disgust	0.812	2394
1280	FALL	fall	sadness	0.418	7318
1281	PRISON	prison	anger	0.529	672
1284	BANK	bank	trust	0.461	9298
1285	IMPORTANT	important	trust	0.633	8625
1286	HOT	hot	anger	0.529	675
1287	COLD	cold	sadness	0.188	7663
1288	CAP	cap	anticipation	0.297	2297
1289	BABY	baby	joy	0.500	5836
129	CHOKE	choke	anger	0.719	235
1292	BAD	bad	anger	0.453	875
1293	MISTAKE	mistake	sadness	0.312	7505
1299	COFFEE	coffee	joy	0.333	6140
13	DECEIT	deceit	anger	0.484	793
1308	DOUBT	doubt	fear	0.250	4967
131	FESTIVAL	festival	anticipation	0.562	1741
1314	QUIET	quiet	joy	0.188	6368
1318	CHICKEN	chicken	fear	0.234	4988
1319	COWARD	coward	disgust	0.555	2759
1322	BREAKFAST	breakfast	joy	0.242	6298
1323	CLOCK	clock	anticipation	0.375	2206
1324	SLIP	slip	surprise	0.461	8102
1325	FRIEND	friend	joy	0.471	5892
1326	DOWN	down	sadness	0.281	7548
1329	TOMORROW	tomorrow	anticipation	0.648	1584
1330	DEFEND	defend	fear	0.250	4975
1332	NEIGHBOUR	neighbor	anticipation	0.281	2312
1334	GUTS	gut	disgust	0.594	2689
1337	PIG	pig	disgust	0.539	2799
1338	PEACE	peace	anticipation	0.430	2084
1339	MORNING	morning	joy	0.250	6288
134	FAULT	fault	sadness	0.406	7324
1342	SUMMER	summer	joy	0.591	5653
1343	SUN	sun	anticipation	0.445	2056
1344	RAM	ram	anger	0.470	814
1349	CHURCH	church	anticipation	0.312	2287
135	BOOMERANG	boomerang	anticipation	0.602	1664
1355	LAUGH	laugh	joy	0.891	5239
1357	DAUGHTER	daughter	joy	0.547	5720
1358	ENEMY	enemy	anger	0.667	340
1361	TOOL	tool	anger	0.219	1332
