CONCEPTICON_GLOSS	CONCEPTICON_ID	OMEGAWIKI_ID
CONTEMPTIBLE	1	1001394
DUST	2	1009
BRAVE	3	1016033
COURTYARD	4	1017244
GAZELLE	5	1018466
EARTHQUAKE	6	1019
GATHER	7	1022541
CURSE	8	1023517
ANNOUNCE	9	1024716
FIREWOOD	10	1024755
DARKNESS	11	1025381
MIDDAY	12	1026415
DECEIT	13	1030671
YOKE	14	1031313
OTTER	15	1031630
SLED	16	1043216
EYELID	17	1046808
EARLOBE	18	1048124
FISHING LINE	19	1048155
SCYTHE	20	1050369
TASTE (SOMETHING)	21	1051228
INTEND	22	1053143
RYE	23	1054188
PRAY	24	1056622
DIRT	25	1057993
UNPLEASANT	26	1058073
AIR	27	106
MOISTEN	28	1061652
GELD	29	1063981
DISPEL	30	1064345
PAN	31	1071911
EARWAX	32	1071961
NETTLE	33	1072992
STAIRS	34	1073134
TAMARIND	35	1073190
PUBIC HAIR	36	1073333
LIBERATE	37	1077778
SPREAD OUT	38	1083572
KEEN	39	1085146
ENVY	40	1086952
IGNORE	41	1089331
STINKING	42	1089734
LEAD (GUIDE)	43	1091895
INJURE	44	1092621
EVIL	45	1098473
HOLLOW OUT	46	1101921
EXCRETA	47	1103044
BE SILENT	48	1103280
REFUSE	49	1103325
JACK	50	1103893
SORE	51	1103925
SHIVER	52	1106980
SPIRIT	53	1107036
SHRINK	54	1107625
WHISPER	55	1107650
BAD LUCK	56	1107818
ATOP	57	1108044
LIQUID	58	1108224
ELECTRICITY	59	1109
OAT	60	1111216
INDUCE	61	1111642
BE SITUATED	62	1114697
RUMOUR	63	1114745
PIN	64	1116679
AMBUSH	65	1117421
KNEEL	66	1120420
EMBERS	67	1124797
TATTOO	68	1130256
SOBER	69	1131008
BRACKISH	70	1132622
BY HEART	71	1139186
CLAW	72	828398
BEAK	73	1142217
PUPPY	74	1143662
DISGRACE	75	1146047
YOUNG MAN	76	1148249
YOUNG WOMAN	77	1148254
THAT	78	1149393
WASTE	79	1152220
DOORPOST	80	1153341
FATHOM	81	1153477
ANGER	82	1156554
FORBID	83	1157984
JUST	84	1159914
GIVE BACK	85	1160012
SIEVE	86	1160828
SQUINT-EYED	87	1161432
BEEHIVE	88	1161759
NATIVE COUNTRY	89	1162698
INNOCENT	90	1162733
INSOLENT	91	1164655
SPOIL (SOMEBODY OR SOMETHING)	92	1165745
DRAW MILK	93	1166811
GRADUALLY	94	1167115
SANDFLY	95	1167672
CRAWL	96	1168231
THROUGH	97	1172828
ALL	98	1173416
HUNCHBACK	99	1175443
