CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_BOI_MEAN	LINE_IN_SOURCE
10	FIREWOOD	firewood	5.72	2903
1001	BLACKSMITH	blacksmith	3.846153846	678
1002	STATUE	statue	4.777777778	7791
1003	PERMIT	permit	3.44	5753
1004	MUSCLE	muscle	5.12	5166
1005	TWINS	twin	4.12	8715
1006	BRICK	brick	5.64	923
1007	COW	cow	5.434782609	1883
1008	BULL	bull	3.782608696	1014
1011	BRIDGE	bridge	5.52173913	929
1012	LATCH	latch	5.541666667	4459
1013	FRESHWATER EEL	eel	4.653846154	2572
1016	DRIZZLE	drizzle	3.56	2466
1019	RIGHT	right	1.47826087	6570
1020	HANDKERCHIEF	handkerchief	5.72	3656
1021	TOWEL	towel	6.04	8522
1024	CHARACTER	graph	3.16	3461
1025	WHISTLE	whistle	4.47826087	9138
1027	BUG	bug	5.296296296	1002
1028	YAWN	yawn	3.333333333	9311
1029	JEWEL	jewel	5.44	4249
1032	CITIZEN	citizen	3.826086957	1464
1033	GRIND	grind	2.64	3508
1034	DEFENDANT	defendant	4.291666667	2181
1035	GOOD	good	2.142857143	3414
1036	OWNER	owner	2.782608696	5510
1037	ELF	elf	2.304347826	2602
1038	TEACHER	teacher	5.416666667	8241
1039	SHOW	show	2.04	7174
1040	HAIR	hair	6.318181818	3614
1041	INCREASE	increase	1.80952381	4079
1042	CARPENTER	carpenter	5.464285714	1207
1043	BRAID	braid	5.64	877
1044	PILLOW	pillow	6.391304348	5831
1045	POET	poet	4.565217391	5959
1046	SHUT	close	1.625	1536
1047	PURSUE	pursue	1.708333333	6252
1048	LINE	line	2.666666667	4584
105	MATTRESS	mattress	6.72	4864
1053	HUNTER	hunter	4	3987
1054	SMALLPOX	smallpox	3.807692308	7409
1058	STEPDAUGHTER	stepdaughter	4.72	7822
1059	STEPSON	stepson	5.304347826	7828
1061	ARMOUR	armor	5.333333333	287
1062	LAW	law	2.4	4475
1063	NEPHEW	nephew	5.16	5247
1064	SHIELD	shield	5.037037037	7109
1065	SPIDER WEB	web	4.375	9068
1066	CRIME	crime	1.956521739	1953
1068	COURT	court	3.739130435	1873
1069	GLUE	glue	5.043478261	3371
107	OMEN	omen	1.958333333	5422
1070	BUS	bus	5.192307692	1060
1071	HOOK	hook	5	3892
1072	PRISONER	prisoner	4.307692308	6123
1075	TRAP (PITFALL)	trap	4.695652174	8576
1076	EMERGE (APPEAR)	appear	1.72	240
1077	WHEAT	wheat	4.88	9103
1078	MAIN	main	2.434782609	4748
1079	FEEL	feel	2.695652174	2818
108	RUDDER	rudder	4	6678
1081	BILL	bill	5.111111111	641
1082	MERCHANT	merchant	4.5	4923
1084	CALL	call	2.434782609	1125
1085	FOLLOW	follow	1.826086957	3052
1088	SINK (DESCEND)	sink	5.48	7265
1090	BE BORN	born	2.416666667	837
1091	SALTY	salty	2.125	6749
1092	HOPE	hope	2.12	3902
1093	MIDDLE	middle	1.958333333	4957
1095	LET GO OR SET FREE	release	1.791666667	6464
1096	SONG	song	2.321428571	7533
1098	WEIGH	weigh	2.28	9078
11	DARKNESS	darkness	2.37037037	2119
110	MOTOR	motor	4.92	5098
