CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SPECIFICITY_MEAN	LINE_IN_SOURCE
1002	STATUE	statue	0.049	478
1007	COW	cow	0.531	95
1018	MEMORY	memory	-0.537	941
1020	HANDKERCHIEF	kerchief	0.400	172
1025	WHISTLE	whistle	0.333	220
1029	JEWEL	jewel	-0.227	711
1035	GOOD	good	-0.772	1029
1038	TEACHER	teacher	0.049	477
1044	PILLOW	pillow	0.475	131
1054	SMALLPOX	smallpox	0.500	117
1066	CRIME	crime	-0.613	987
1070	BUS	bus	0.188	349
1092	HOPE	hope	-0.537	939
1096	SONG	song	-0.272	742
1100	COOK (SOMETHING)	cook	-0.104	614
1104	NURSE	nurse	0.325	230
1109	WOUND	wounds	-0.013	529
1110	SHARK	shark	0.646	50
1111	CAR	car	0.181	353
1114	BULLET	bullet	0.613	61
1120	HONEST	honest	-0.250	726
1134	DIVORCE	divorce	0.106	418
1135	KICK	kick	0.263	282
1136	RABBIT	rabbit	0.568	74
1141	PITY	pity	-0.306	782
1142	URINE	urine	0.548	84
1145	SWAMP	swamp	0.135	397
1160	THIEF	thief	0.152	375
1189	ULCER	ulcer	0.492	120
1199	WIFE	wife	0.333	223
1207	YOUNG	young	-0.350	829
1208	CAT	cat	0.483	124
1216	MOTHER	mother	0.325	232
1217	FATHER	father	0.200	336
1218	ROPE	cord	0.139	386
122	CART	wagon	0.412	162
1222	PENIS	penis	0.762	6
1223	HEART	heart	0.050	471
1225	DAY (NOT NIGHT)	daylight	0.275	273
1227	BOARD	board	-0.304	780
1228	EARTH (SOIL)	earth	-0.098	607
1230	DIRTY	dirty	-0.350	826
1234	SMOOTH	smooth	-0.203	690
124	THORN	thorn	0.667	40
1245	BUTTER	butter	0.700	23
1252	HOUSE	house	0.000	520
1259	WEDDING	wedding	0.253	290
1262	BROTHER	brother	0.278	267
1266	BRIDE	bride	0.425	158
1271	DELIGHT	delight	-0.250	728
1275	ANSWER	answer	-0.593	976
1276	AUTUMN	autumn	0.083	438
1277	HAND	hand	0.338	217
1278	VOMIT	vomit	0.449	152
1280	FALL	fall	-0.288	762
1281	PRISON	prison	0.315	241
1287	COLD	cold	-0.013	532
1289	BABY	baby	0.362	195
1293	MISTAKE	mistake	-0.637	997
13	DECEIT	deceit	-0.203	691
1301	FOOT	foot	0.272	278
1302	FORK	fork	0.475	133
1303	FINGER	finger	0.689	32
1304	CHILD (YOUNG HUMAN)	kids	-0.087	602
1306	QUEEN	queen	0.456	147
131	FESTIVAL	party	-0.350	828
1314	QUIET	quiet	-0.163	659
1315	RADIO	radio	0.243	299
1319	COWARD	coward	0.333	222
1321	BOTTLE	bottle	0.259	287
1323	CLOCK	clock	0.325	228
1325	FRIEND	friend	-0.176	673
1335	WHITE	white	0.443	153
1336	EAT	eat	0.014	504
1337	PIG	pig	0.654	44
1338	PEACE	peace	-0.508	930
134	FAULT	fault	-0.425	876
1343	SUN	sun	0.338	215
1349	CHURCH	church	0.274	276
1352	KNIFE	knife	0.384	181
1361	TOOL	tool	-0.375	845
1362	STREET	street	-0.194	686
1364	HEALTHY	health	-0.506	926
1366	BOY	boy	0.173	358
1369	GOLD	gold	0.050	476
1370	MONTH	month	-0.123	629
1372	MEDICINE	medicine	-0.438	888
1375	WINDOW	window	0.164	362
138	BATHE	bath	0.167	361
1382	NEEDLE (FOR SEWING)	needle	0.545	86
1386	LION	lion	0.725	13
1388	SHADE	shadow	-0.150	650
1392	LOUSE	louse	0.338	213
1402	BREAST	breast	0.463	142
1405	NAME	name	-0.675	1010
1411	LIE (REST)	lie	-0.395	856
1412	RUDE	rude	-0.062	572
1419	FEAR (BE AFRAID)	fear	-0.370	841
1422	BE ALIVE	alive	-0.519	934
1423	FIGHT	fight	-0.300	771
1424	YELLOW	yellow	0.475	130
1425	GREEN	green	0.375	188
1427	BEAUTIFUL	beautiful	-0.154	654
