CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ITALIAN_VALENCE_MEAN	ITALIAN_AROUSAL_MEAN	ITALIAN_DOMINANCE_MEAN	ITALIAN_FAMILIARITY_MEAN	ITALIAN_IMAGEABILITY_MEAN	ITALIAN_CONCRETENESS_MEAN	ITALIAN_HEAD_ACTION_MEAN	ITALIAN_FOOT_LEG_ACTION_MEAN	ITALIAN_HAND_ARM_ACTION_MEAN	ITALIAN_MOUTH_THROAT_ACTION_MEAN	ITALIAN_TORSO_ACTION_MEAN	ITALIAN_INTEROCEPTIVE_MEAN	ITALIAN_GUSTATORY_MEAN	ITALIAN_OLFACTORY_MEAN	ITALIAN_HAPTIC_MEAN	ITALIAN_AUDITORY_MEAN	ITALIAN_VISUAL_MEAN	ITALIAN_PERCEPTUAL_STRENGTH_MAX	ITALIAN_PERCEPTUAL_EXCLUSIVITY	ITALIAN_PERCEPTUAL_DOMINANT	ITALIAN_ACTION_STRENGTH_MAX	ITALIAN_ACTION_EXCLUSIVITY	ITALIAN_ACTION_DOMINANT	ITALIAN_SENSORIMOTOR_STRENGTH_MAX	ITALIAN_SENSORIMOTOR_EXCLUSIVITY	ITALIAN_SENSORIMOTOR_DOMINANT	ITALIAN_POS	LINE_IN_SOURCE
1002	STATUE	statua	6.5	4.875	6.0625	7.35	8.3	8.3	1.9	0.95	2.5	0.2631578947368421	0.9	1.35	0	0.21052631578947367	2.55	0.05263157894736842	4.947368421052632	4.947368421052632	0.5633400873262749	vision	2.5	0.3434343434343434	hand/arm	2.5	0.3166582449048341	vision	n	831
1007	COW	mucca	5.935483870967742	4.774193548387097	5.451612903225806	5.95	8.15	7.65	0.85	0.1	0.95	0.8	0.2	0.15789473684210525	1	2.8	2.05	3.1	4	4	0.2913977414849235	vision	0.95	0.29310344827586204	hand/arm	0.95	0.24362978793358542	vision	n	544
1018	MEMORY	memoria	6.771428571428571	5.371428571428571	5.885714285714286	7.3	5.45	4.2	4.1	0.6	1.1	1.05	0.15789473684210525	3.4	1.6	2	2.2	2.5	3.05	3.4	0.20834549168368838	interoception	4.1	0.562523469770935	head	4.1	0.1811804547653604	head	n	514
1020	HANDKERCHIEF	fazzoletto	5.393939393939394	3.9696969696969697	5.818181818181818	8.2	8.45	8.45	3.142857142857143	0.2	3.0476190476190474	2.2857142857142856	0.1	0.6190476190476191	0.35	2.4285714285714284	4.3	0.9047619047619048	3.0952380952380953	4.3	0.32522960561858455	touch	3.142857142857143	0.34671730873575685	head	3.142857142857143	0.20514013257355507	touch	n	321
1025	WHISTLE	fischio	4.75	5.818181818181818	4.886363636363637	7.25	7.6	6.85	2.75	0	0.42105263157894735	3.6	0.5	0.65	0.05263157894736842	0	0.75	4.55	1.85	4.55	0.428369179221576	audition	3.6	0.495114006514658	mouth/throat	3.6	0.30085261875761266	audition	n	339
1029	JEWEL	gioiello	6.8	5.4	5.857142857142857	7.4	8.35	7.7	3.05	0.3	3.75	0.5	1.05	0.6	0	0.1	3.8	1.05	4.6	4.6	0.4523530789042379	vision	3.75	0.3988439306358382	hand/arm	3.75	0.2446808510638298	vision	n	377
1038	TEACHER	insegnante	5.5	5.382352941176471	4.470588235294118	7.9	7.85	7.9	3.05	0.3	1.2	2.1	0.05263157894736842	1.65	0	0	0.5263157894736842	3.75	4.526315789473684	4.526315789473684	0.42922331020058946	vision	3.05	0.44719277581468386	head	3.05	0.263844147875441	vision	n	433
1044	PILLOW	cuscino	7.878787878787879	2.272727272727273	5.818181818181818	8.1	8.25	8.3	4.7894736842105265	0.65	2.6	0.10526315789473684	0.95	1.1	0	0.8	4.894736842105263	0.35	2.8	4.894736842105263	0.4160852197070573	touch	4.7894736842105265	0.5150462962962963	head	4.7894736842105265	0.25708362128541806	touch	n	232
1054	SMALLPOX	vaiolo	2.340909090909091	6.409090909090909	3.3863636363636362	4	5.2	5.3	2.263157894736842	1.7894736842105263	2.4210526315789473	1.263157894736842	2.263157894736842	2.4210526315789473	0.10526315789473684	0.3157894736842105	1.9473684210526316	0	3.1052631578947367	3.1052631578947367	0.3300479488545552	vision	2.4210526315789473	0.11578947368421053	hand/arm	2.4210526315789473	0.17352941176470588	vision	n	922
1066	CRIME	crimine	5.523809523809524	2.857142857142857	5.428571428571429	4.55	6.05	5.3	3.05	1	1.5	0.7	0.55	2.15	0.10526315789473684	0.15789473684210525	1	2.1	3.5	3.5	0.34543318285820296	vision	3.05	0.36764705882352944	head	3.05	0.21467798302546184	vision	n	223
