ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE	LINKED_CONCEPTS
Rzymski-2020-4164-1	1	10	FIREWOOD	FIREWOOD	87	895	991	1329	2	POST	5	72	72	"[{""ID"": ""Rzymski-2020-4164-640"", ""NAME"": ""CLUB"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-881"", ""NAME"": ""FIRE"", ""WordWeight"": 68, ""LanguageWeight"": 67, ""FamilyWeight"": 22}, {""ID"": ""Rzymski-2020-4164-1585"", ""NAME"": ""TREE"", ""WordWeight"": 29, ""LanguageWeight"": 29, ""FamilyWeight"": 16}, {""ID"": ""Rzymski-2020-4164-668"", ""NAME"": ""WOOD"", ""WordWeight"": 129, ""LanguageWeight"": 128, ""FamilyWeight"": 26}, {""ID"": ""Rzymski-2020-4164-102"", ""NAME"": ""MATCH"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}]"
Rzymski-2020-4164-2	2	100	FAITHFUL	FAITHFUL	40	265	347	1150	20	GOOD	4	22	22	"[{""ID"": ""Rzymski-2020-4164-337"", ""NAME"": ""STRAIGHT"", ""WordWeight"": 9, ""LanguageWeight"": 9, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-565"", ""NAME"": ""TRUE"", ""WordWeight"": 13, ""LanguageWeight"": 12, ""FamilyWeight"": 6}, {""ID"": ""Rzymski-2020-4164-611"", ""NAME"": ""CORRECT (RIGHT)"", ""WordWeight"": 12, ""LanguageWeight"": 10, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-1314"", ""NAME"": ""CERTAIN"", ""WordWeight"": 16, ""LanguageWeight"": 16, ""FamilyWeight"": 6}]"
Rzymski-2020-4164-3	3	1000	ANXIETY	ANXIETY	54	321	471	981	52	GRIEF	3	17	17	"[{""ID"": ""Rzymski-2020-4164-572"", ""NAME"": ""GRIEF"", ""WordWeight"": 17, ""LanguageWeight"": 16, ""FamilyWeight"": 9}, {""ID"": ""Rzymski-2020-4164-673"", ""NAME"": ""DANGER"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-1501"", ""NAME"": ""FEAR (FRIGHT)"", ""WordWeight"": 11, ""LanguageWeight"": 10, ""FamilyWeight"": 5}]"
Rzymski-2020-4164-4	4	1001	BLACKSMITH	BLACKSMITH	39	365	408	6	217	FORGE	1	3	3	"[{""ID"": ""Rzymski-2020-4164-1019"", ""NAME"": ""FORGE"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-5	5	1002	STATUE	STATUE	34	242	299	251	171	IDOL	1	10	10	"[{""ID"": ""Rzymski-2020-4164-779"", ""NAME"": ""IDOL"", ""WordWeight"": 23, ""LanguageWeight"": 22, ""FamilyWeight"": 10}]"
Rzymski-2020-4164-6	6	1003	PERMIT	PERMIT	22	48	61	682	74	LET GO OR SET FREE	2	10	10	"[{""ID"": ""Rzymski-2020-4164-381"", ""NAME"": ""GIVE"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-72"", ""NAME"": ""LET GO OR SET FREE"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}]"
Rzymski-2020-4164-7	7	1005	TWINS	TWINS	55	462	526	32	41	TWO	1	6	6	"[{""ID"": ""Rzymski-2020-4164-730"", ""NAME"": ""PAIR"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 6}]"
Rzymski-2020-4164-8	8	1006	BRICK	BRICK	39	342	377	139	246	BRICK	1	10	10	"[{""ID"": ""Rzymski-2020-4164-1582"", ""NAME"": ""ADOBE"", ""WordWeight"": 15, ""LanguageWeight"": 15, ""FamilyWeight"": 10}]"
Rzymski-2020-4164-9	9	1007	COW	COW	77	918	1037	1262	76	CATTLE	5	52	52	"[{""ID"": ""Rzymski-2020-4164-116"", ""NAME"": ""CATTLE"", ""WordWeight"": 64, ""LanguageWeight"": 62, ""FamilyWeight"": 23}, {""ID"": ""Rzymski-2020-4164-125"", ""NAME"": ""OX"", ""WordWeight"": 18, ""LanguageWeight"": 17, ""FamilyWeight"": 9}, {""ID"": ""Rzymski-2020-4164-805"", ""NAME"": ""CALF"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-10"", ""NAME"": ""BULL"", ""WordWeight"": 27, ""LanguageWeight"": 27, ""FamilyWeight"": 13}, {""ID"": ""Rzymski-2020-4164-1605"", ""NAME"": ""BUFFALO"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-10	10	1008	BULL	BULL	57	801	1039	933	76	CATTLE	3	35	35	"[{""ID"": ""Rzymski-2020-4164-116"", ""NAME"": ""CATTLE"", ""WordWeight"": 11, ""LanguageWeight"": 11, ""FamilyWeight"": 7}, {""ID"": ""Rzymski-2020-4164-125"", ""NAME"": ""OX"", ""WordWeight"": 98, ""LanguageWeight"": 90, ""FamilyWeight"": 15}, {""ID"": ""Rzymski-2020-4164-9"", ""NAME"": ""COW"", ""WordWeight"": 27, ""LanguageWeight"": 27, ""FamilyWeight"": 13}]"
Rzymski-2020-4164-11	11	101	BOAST	BOAST	56	531	685	523	172	BOAST	2	13	13	"[{""ID"": ""Rzymski-2020-4164-620"", ""NAME"": ""PROUD"", ""WordWeight"": 15, ""LanguageWeight"": 15, ""FamilyWeight"": 10}, {""ID"": ""Rzymski-2020-4164-1201"", ""NAME"": ""COMMEND"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-12	12	1010	BOUNDARY	BOUNDARY	45	425	535	1287	10	EDGE	5	28	28	"[{""ID"": ""Rzymski-2020-4164-1560"", ""NAME"": ""EDGE"", ""WordWeight"": 22, ""LanguageWeight"": 18, ""FamilyWeight"": 11}, {""ID"": ""Rzymski-2020-4164-1415"", ""NAME"": ""SIDE"", ""WordWeight"": 5, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-1471"", ""NAME"": ""END (OF TIME)"", ""WordWeight"": 8, ""LanguageWeight"": 7, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-1470"", ""NAME"": ""END (OF SPACE)"", ""WordWeight"": 14, ""LanguageWeight"": 12, ""FamilyWeight"": 7}, {""ID"": ""Rzymski-2020-4164-98"", ""NAME"": ""SHORE"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-13	13	1011	BRIDGE	BRIDGE	62	750	899	636	166	BRIDGE	2	15	15	"[{""ID"": ""Rzymski-2020-4164-1354"", ""NAME"": ""PORT"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-398"", ""NAME"": ""LADDER"", ""WordWeight"": 25, ""LanguageWeight"": 25, ""FamilyWeight"": 12}]"
