CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_HAPPINESS_MEAN_FEMALE	CHINESE_HAPPINESS_MEAN_MALE	CHINESE_ANGER_MEAN_FEMALE	CHINESE_ANGER_MEAN_MALE	CHINESE_SADNESS_MEAN_FEMALE	CHINESE_SADNESS_MEAN_MALE	CHINESE_FEAR_MEAN_FEMALE	CHINESE_FEAR_MEAN_MALE	CHINESE_DISGUST_MEAN_FEMALE	CHINESE_DISGUST_MEAN_MALE	CHINESE_ANXIETY_MEAN_FEMALE	CHINESE_ANXIETY_MEAN_MALE	CHINESE_SURPRISE_MEAN_FEMALE	CHINESE_SURPRISE_MEAN_MALE	CHINESE_CONTENTMENT_MEAN_FEMALE	CHINESE_CONTENTMENT_MEAN_MALE	CHINESE_AMUSEMENT_MEAN_FEMALE	CHINESE_AMUSEMENT_MEAN_MALE	CHINESE_SERENITY_MEAN_FEMALE	CHINESE_SERENITY_MEAN_MALE	LINE_IN_SOURCE
1003	PERMIT	允许	2.2777777777777777	3	1.0625	1	1	1	1	1	1	1	1	1	1.2941176470588236	1	2.388888888888889	3.2	1	1	3.769230769230769	3.4	3427
1004	MUSCLE	肌肉	2.0555555555555554	2.25	1	1.25	1.0714285714285714	1.5	1.1764705882352942	2	1.375	1.1666666666666667	1.3333333333333333	1	1.5	3	1.8421052631578947	2.75	1.8823529411764706	2.1	2.8461538461538463	3	1235
1017	APPEARANCE	样子	1.2	1.75	1	1.25	1	1	1	1	1.1875	1.6	1	1	1.2352941176470589	1	1.105263157894737	1	1.0454545454545454	1.4	3.5	3.8	3214
1019	RIGHT	右边	1.1764705882352942	1.2	1.1333333333333333	1	1	1	1	1	1.0588235294117647	1	1	1	1.125	1	1.1666666666666667	2.25	1.1	1	3.4166666666666665	3.4	3376
1020	HANDKERCHIEF	手帕	1.736842105263158	1	1	1	1	1	1		1	1	1	1	1.0588235294117647	1	1.6842105263157894	2.25	1.1818181818181819	1.4	3.7857142857142856	3.25	2522
1021	TOWEL	毛巾	1.3888888888888888	1.6666666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1.8717948717948718	1.8	1.1363636363636365		4.666666666666667	5	1819
1031	ON PURPOSE	故意	1	1	4.090909090909091	3	3.235294117647059	2.8	2.3076923076923075	1.8	3.375	2	3.0434782608695654	3.6666666666666665	2.588235294117647	2.25	1.225	1.2	1.434782608695652		2.85	1	977
1038	TEACHER	老师	1.8333333333333333	2.3333333333333335	1.5909090909090908	1	1.1764705882352942	1.4	1.4166666666666667	1.6666666666666667	1.4	1	2.4583333333333335	1.6666666666666667	1.1176470588235294	1	2.125	1.8	1.0952380952380953		4.388888888888889	5	1675
1041	INCREASE	增加	1.5294117647058822	2.6666666666666665	1	1	1	1	1	1	1.0625	1	1.1	1	1.2941176470588236	1.25	2.6	3.6	1.0909090909090908		3.9	2	3459
1042	CARPENTER	木匠	1.1176470588235294	1	1	1	1	1	1	1	1	1	1	1	1	1	1.775	2.2	1.2608695652173914		4.631578947368421	5	1908
1044	PILLOW	枕头	2.611111111111111	1	1	1	1	1	1	1	1	1	1	1	1.0588235294117647	1	2.4444444444444446	2.6	1	1	4.384615384615385	3.8	3519
1045	POET	诗人	2.6842105263157894	3.3333333333333335	1	1	1.1818181818181819	1.4	1.1538461538461537	1	1.2666666666666666	1.2857142857142858	1		1.1764705882352942	1	2.9523809523809526	3	1.75	2.1666666666666665	4.071428571428571	4	2436
1046	SHUT	关闭	1.0588235294117647	1	1.8571428571428572	1.6666666666666667	1.8181818181818181	2	1.9333333333333333	1.6666666666666667	2	1.6	1.8888888888888888	1	1.75	1.3333333333333333	1.1666666666666667	1.75	1	1	3	2	982
1047	PURSUE	追求	2.8333333333333335	2.6666666666666665	1.0952380952380953	1	1.1764705882352942	1.4	1	1	1.0666666666666667	1	1.7619047619047619	1	1.3125	1.25	2.975	3.4	1.391304347826087		4.368421052631579	5	3706
1053	HUNTER	猎人	1.1764705882352942	1	1.5	1	1.6470588235294117	1.4	1.7692307692307692	1.8	1.375	2.3333333333333335	1.826086956521739	2	1.75	1.75	1.5135135135135136	1.8	1.2727272727272727		4.2105263157894735	3	1735
1066	CRIME	犯罪	1	1	4.294117647058823	3.6	3.3076923076923075	3.75	4.133333333333334	3.5	4	3	3.0588235294117645	3	3.9473684210526314	3.5	1.0555555555555556	1.3333333333333333	1.1428571428571428	1	2.066666666666667	1.3333333333333333	718
1072	PRISONER	犯人	1	1	3	3.3333333333333335	2.4375	3	3.9411764705882355	3	3.4705882352941178	3.2	3.125	4	3.0526315789473686	3	1	1	1	1	1.8	1.4	717
1076	EMERGE (APPEAR)	出现	1.2941176470588236	1	1	1	1	1	1	1	1	1	1.2173913043478262	1.3333333333333333	1.5625	1.75	2.2	2.2	1.0909090909090908		4.1	4	368
1077	WHEAT	小麦	1.7777777777777777	2.6666666666666665	1	1	1	1	1	1	1	1	1	1	1	1	2.625	3	1.0454545454545454		4.526315789473684	5	3027
1082	MERCHANT	商人	1.5714285714285714	1.5	1.2666666666666666	1.3333333333333333	1.25	1.4	1.25	1.3333333333333333	2.0555555555555554	1.5	1.625	1	1.631578947368421	1.75	1.631578947368421	2	1.2857142857142858	1.2	3.125	2.5	2343
1090	BE BORN	出生	1.8235294117647058	2	1.0909090909090908	1	1.3125	1.4	1.25	1.2	1	1	1.5714285714285714	1	1.125	1	2.05	2.2	1.1363636363636365		4.2631578947368425	5	365
1093	MIDDLE	中间	1.2777777777777777	2	1.2142857142857142	1	1	1	1.2	1	1.625	1	1.1333333333333333	1	1	1	1.5789473684210527	2.5	1.0952380952380953	1.5	3.4615384615384617	3.5	3619
1095	LET GO OR SET FREE	释放	2.9545454545454546	4	1.411764705882353	1.2	1	1	1.125	1	1.1764705882352942	1	1	1	1.411764705882353	2	2.380952380952381	2	1.625	1.75	2.5384615384615383	3	2505
1096	SONG	歌曲	2.5	3.6666666666666665	1	1	1.1875	1.4	1	1	1	1	1	1	1	1	3.125	2.8	1.391304347826087		4.473684210526316	5	898
1104	NURSE	护士	2.0526315789473686	2.3333333333333335	1.1428571428571428	1	1.3571428571428572	1.25	1.4705882352941178	1.5	1.125	1.25	1.3125	1	1.2352941176470589	1.25	1.4	2.3333333333333335	1.1304347826086956	1.5	2.7857142857142856	4	1136
1109	WOUND	伤口	1	1	2.6153846153846154	2.2857142857142856	2.9285714285714284	3	2.8823529411764706	3.25	2.8333333333333335	2.6666666666666665	2.533333333333333	3	2.1176470588235294	3.3333333333333335	1	1	1.0454545454545454	1	2.5714285714285716	1.25	2336
1111	CAR	汽车	1.6470588235294117	1	1	1	1	1	1.1875	1	1.2666666666666666	1.3333333333333333	1.0714285714285714	1	1.1764705882352942	1	1.6666666666666667	2.4	1.1578947368421053	1.2857142857142858	3.3846153846153846	3.8	2113
1112	SUCCEED	成功	3.5	4.333333333333333	1	1	1	1	1	1	1	1	2.217391304347826	2	1.5294117647058822	2.3333333333333335	4.594594594594595	4.4	1.0909090909090908		3.85	1	305
1114	BULLET	子弹	1.1578947368421053	1	2.4	2	2.5625	2.3333333333333335	3.4375	2	2.4705882352941178	2.3333333333333335	1.7142857142857142	2.3333333333333335	2.857142857142857	1	1.15	1.5	1.0476190476190477	1	2.4615384615384617	2.25	3720
1115	SPEECH	演讲	1.9444444444444444	1	1.6666666666666667	1.6	1	1	1.411764705882353	1	1.25	1	2.125	1.5	1.4444444444444444	1.5	1.894736842105263	2	1.411764705882353	1.5	2.3846153846153846	2.25	3202
1117	LIKE	喜欢	4.166666666666667	4	1	1	1	1	1	1	1	1	1	1	1.411764705882353	1	3.9047619047619047	4	2.0434782608695654	3	3.142857142857143	1.5	2931
1119	DIVIDE	划分	1.3888888888888888	1.3333333333333333	1.4666666666666666	1	1	1	1.2941176470588236	1	1	1.25	1.3333333333333333	1	1.1176470588235294	1.5	1.3	2	1.1304347826086956	1.5	2.857142857142857	3.1666666666666665	1148
1120	HONEST	诚实	3.142857142857143	3	1	1	1	1	1	1	1.1176470588235294	1.25	1.125	1	1.5	1.75	3.210526315789474	4.25	1.7142857142857142	1.8333333333333333	4.533333333333333	4.25	317
1122	WAGES	工资	3.6315789473684212	4	1.3125	1	1.1176470588235294	2	1.125	1	1.0588235294117647	1	1.2777777777777777		1	1	3.6315789473684212	4	1.368421052631579	1.4	3.0714285714285716	3.6	921
1128	ORDER	顺序	1.2941176470588236	1	1.0909090909090908	1	1	1	1	1	1	1.3333333333333333	1.2272727272727273	1	1	1	1.8	2	1		4.25	5	2577
1129	PAINFUL	痛苦	1	1	3.2142857142857144	2.6	4.6	4.375	4	4	3.176470588235294	3.4	4	3	3.0952380952380953	4	1	1	1.0952380952380953	1	1.5384615384615385	1.5	2744
1133	MATCH	火柴	1.0625	1	1.1363636363636365	1	1.1764705882352942	1.2	1.1666666666666667	1	1.25	1	1.2727272727272727	1.6666666666666667	1.1875	1	1.8205128205128205	2.2	1		4.684210526315789	5	1211
1136	RABBIT	兔子	3.111111111111111	2.25	1	1	1	1	1	1	1.1666666666666667	1	1	1	1.0952380952380953	1.5	2.8947368421052633	2.5	1.6153846153846154	1.25	3.2857142857142856	3.3333333333333335	2767
1158	STEP	台阶	1.4444444444444444	1.2	1.4285714285714286	1	1	1	1.0666666666666667	1	1.1764705882352942	1.2	1.0555555555555556	1	1.0625	1	1.2222222222222223	2.6	1.1	1.1666666666666667	3.5	3.8	2624
1162	INTENTION	意图	1.2941176470588236	1.6666666666666667	1.75	1	1.3333333333333333	1.2	2.066666666666667	2.3333333333333335	1.9444444444444444	1.25	1.588235294117647	1	1.5789473684210527	2	1.4210526315789473	2.25	1.0588235294117647	1.2857142857142858	3	3	3292
