ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SEMANTIC_CLASS_ID	CATEGORY	TARGET_CONCEPTS	LINKED_CONCEPTS
Urban-2011-160-1	1	619	ANIMAL	animal	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-6"", ""NAME"": ""bird"", ""OvertMarking"": 8, ""IndoAryanShift"": 1, ""ShiftID"": 6}]"	"[{""ID"": ""Urban-2011-160-6"", ""NAME"": ""bird"", ""Polysemy"": 8, ""ShiftID"": 6}]"
Urban-2011-160-2	2	646	ASH	ashes	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-19"", ""NAME"": ""embers"", ""OvertMarking"": 2, ""IndoAryanShift"": 0, ""ShiftID"": 11}]"	"[{""ID"": ""Urban-2011-160-19"", ""NAME"": ""embers"", ""Polysemy"": 6, ""ShiftID"": 11}]"
Urban-2011-160-3	3	1204	BARK	bark	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-136"", ""NAME"": ""skin"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""34""}]"	"[{""ID"": ""Urban-2011-160-136"", ""NAME"": ""skin"", ""Polysemy"": 45, ""ShiftID"": 34}]"
Urban-2011-160-4	4	663	BAY	bay	I	Natural and topological concepts	[]	[]
Urban-2011-160-5	5	73	BEAK	beak	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-125"", ""NAME"": ""mouth"", ""Polysemy"": 18, ""ShiftID"": 35}]"
Urban-2011-160-6	6	937	BIRD	bird	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-73"", ""NAME"": ""airplane"", ""OvertMarking"": 3, ""IndoAryanShift"": 0, ""ShiftID"": 46}]"	"[{""ID"": ""Urban-2011-160-1"", ""NAME"": ""animal"", ""Polysemy"": 8, ""ShiftID"": 6}, {""ID"": ""Urban-2011-160-73"", ""NAME"": ""airplane"", ""Polysemy"": 3, ""ShiftID"": 46}]"
Urban-2011-160-7	7	239	FLOWER	bloom (blossom, flower)	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-9"", ""NAME"": ""bud"", ""OvertMarking"": 4, ""IndoAryanShift"": 0, ""ShiftID"": 14}]"	"[{""ID"": ""Urban-2011-160-9"", ""NAME"": ""bud"", ""Polysemy"": 3, ""ShiftID"": 14}]"
Urban-2011-160-8	8	1531	BRANCH	branch	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-66"", ""NAME"": ""tree"", ""Polysemy"": 6, ""ShiftID"": 10}]"
Urban-2011-160-9	9	1684	BUD	bud	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-7"", ""NAME"": ""bloom (blossom, flower)"", ""Polysemy"": 3, ""ShiftID"": 14}]"
Urban-2011-160-10	10	1155	CAVE	cave	I	Natural and topological concepts	[]	[]
Urban-2011-160-11	11	2284	CLEARING	clearing	I	Natural and topological concepts	[]	[]
Urban-2011-160-12	12	1489	CLOUD	cloud	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-25"", ""NAME"": ""fog/mist"", ""OvertMarking"": 7, ""IndoAryanShift"": 1, ""ShiftID"": 1}]"	"[{""ID"": ""Urban-2011-160-25"", ""NAME"": ""fog/mist"", ""Polysemy"": 24, ""ShiftID"": 1}, {""ID"": ""Urban-2011-160-54"", ""NAME"": ""smoke"", ""Polysemy"": 7, ""ShiftID"": 9}]"
Urban-2011-160-13	13	2658	COAL	coal	I	Natural and topological concepts	[]	[]
Urban-2011-160-14	14	1525	COAST	coast	I	Natural and topological concepts	[]	[]
Urban-2011-160-15	15	1977	DEW	dew	I	Natural and topological concepts	[]	[]
Urban-2011-160-16	16	2	DUST	dust	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-54"", ""NAME"": ""smoke"", ""Polysemy"": 8, ""ShiftID"": 8}]"
Urban-2011-160-17	17	2285	ECLIPSE	eclipse	I	Natural and topological concepts	[]	[]
Urban-2011-160-18	18	744	EGG	egg	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-142"", ""NAME"": ""testicle"", ""OvertMarking"": 9, ""IndoAryanShift"": 0, ""ShiftID"": 42}]"	"[{""ID"": ""Urban-2011-160-142"", ""NAME"": ""testicle"", ""Polysemy"": 20, ""ShiftID"": 42}]"
Urban-2011-160-19	19	67	EMBERS	embers	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-2"", ""NAME"": ""ashes"", ""Polysemy"": 6, ""ShiftID"": 11}]"
Urban-2011-160-20	20	2286	ESTUARY	estuary	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-125"", ""NAME"": ""mouth"", ""Polysemy"": 5, ""ShiftID"": 38}]"
Urban-2011-160-21	21	1201	FEATHER	feather	I	Natural and topological concepts	[]	[]
Urban-2011-160-22	22	889	FLAME	flame	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-143"", ""NAME"": ""tongue"", ""Polysemy"": 2, ""ShiftID"": 39}]"
Urban-2011-160-23	23	613	HIGH TIDE	flood	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-48"", ""NAME"": ""river/stream"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""19""}]"	"[{""ID"": ""Urban-2011-160-48"", ""NAME"": ""river/stream"", ""Polysemy"": 2, ""ShiftID"": 19}]"
Urban-2011-160-24	24	1768	FOAM	foam	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-124"", ""NAME"": ""lungs"", ""OvertMarking"": 2, ""IndoAryanShift"": 0, ""ShiftID"": 47}]"	"[{""ID"": ""Urban-2011-160-124"", ""NAME"": ""lungs"", ""Polysemy"": 3, ""ShiftID"": 47}, {""ID"": ""Urban-2011-160-134"", ""NAME"": ""saliva/spittle"", ""Polysemy"": 8, ""ShiftID"": 36}]"
Urban-2011-160-25	25	249	FOG	fog/mist	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-12"", ""NAME"": ""cloud"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""1""}, {""ID"": ""Urban-2011-160-54"", ""NAME"": ""smoke"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""4""}]"	"[{""ID"": ""Urban-2011-160-12"", ""NAME"": ""cloud"", ""Polysemy"": 24, ""ShiftID"": 1}, {""ID"": ""Urban-2011-160-54"", ""NAME"": ""smoke"", ""Polysemy"": 11, ""ShiftID"": 4}, {""ID"": ""Urban-2011-160-59"", ""NAME"": ""steam"", ""Polysemy"": 9, ""ShiftID"": 5}]"
Urban-2011-160-26	26	420	FOREST	forest	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-66"", ""NAME"": ""tree"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""12""}]"	"[{""ID"": ""Urban-2011-160-66"", ""NAME"": ""tree"", ""Polysemy"": 4, ""ShiftID"": 12}]"
Urban-2011-160-27	27	1369	GOLD	gold	I	Natural and topological concepts	[]	[]
Urban-2011-160-28	28	606	GRASS	grass	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-60"", ""NAME"": ""straw"", ""OvertMarking"": 10, ""IndoAryanShift"": 1, ""ShiftID"": 3}]"	"[{""ID"": ""Urban-2011-160-60"", ""NAME"": ""straw"", ""Polysemy"": 11, ""ShiftID"": 3}]"
Urban-2011-160-29	29	1662	CAPE	headland	I	Natural and topological concepts	[]	[]
Urban-2011-160-30	30	942	HONEY	honey	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-71"", ""NAME"": ""wax"", ""OvertMarking"": 4, ""IndoAryanShift"": 0, ""ShiftID"": 17}]"	"[{""ID"": ""Urban-2011-160-71"", ""NAME"": ""wax"", ""Polysemy"": 2, ""ShiftID"": 17}]"
Urban-2011-160-31	31	2287	HORIZON	horizon	I	Natural and topological concepts	[]	[]
Urban-2011-160-32	32	1393	HORN (ANATOMY)	horn	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-105"", ""NAME"": ""bone"", ""Polysemy"": 2, ""ShiftID"": 18}]"
Urban-2011-160-33	33	623	LAGOON	lagoon	I	Natural and topological concepts	[]	[]
Urban-2011-160-34	34	624	LAKE	lake	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-62"", ""NAME"": ""swamp"", ""OvertMarking"": 4, ""IndoAryanShift"": 1, ""ShiftID"": 7}]"	"[{""ID"": ""Urban-2011-160-62"", ""NAME"": ""swamp"", ""Polysemy"": 8, ""ShiftID"": 7}]"
Urban-2011-160-35	35	1654	LIGHTNING	lightning	I	Natural and topological concepts	[]	[]
Urban-2011-160-36	36	2288	METEOROID (SHOOTING OR SHINING STAR)	meteoroid (shooting/shining star)	I	Natural and topological concepts	[]	[]
Urban-2011-160-37	37	635	MILK	milk	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-129"", ""NAME"": ""nipple"", ""OvertMarking"": 4, ""IndoAryanShift"": 0, ""ShiftID"": 24}]"	"[{""ID"": ""Urban-2011-160-129"", ""NAME"": ""nipple"", ""Polysemy"": 5, ""ShiftID"": 24}, {""ID"": ""Urban-2011-160-107"", ""NAME"": ""breast"", ""Polysemy"": 43, ""ShiftID"": 20}]"
Urban-2011-160-38	38	2289	MILKY WAY	Milky Way	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-93"", ""NAME"": ""road/street/way"", ""Polysemy"": 2, ""ShiftID"": 40}]"
Urban-2011-160-39	39	1313	MOON	moon	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-61"", ""NAME"": ""sun"", ""Polysemy"": 17, ""ShiftID"": 2}]"
Urban-2011-160-40	40	639	MOUNTAIN	mountain	I	Natural and topological concepts	[]	[]
Urban-2011-160-41	41	641	MUSHROOM	mushroom (fungus)	I	Natural and topological concepts	[]	[]
Urban-2011-160-42	42	539	NEST	nest	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-75"", ""NAME"": ""bed"", ""Polysemy"": 2, ""ShiftID"": 41}, {""ID"": ""Urban-2011-160-82"", ""NAME"": ""house"", ""Polysemy"": 7, ""ShiftID"": 37}]"
Urban-2011-160-43	43	653	PLANT (VEGETATION)	plant	I	Natural and topological concepts	[]	[]
Urban-2011-160-44	44	2290	PUDDLE	puddle	I	Natural and topological concepts	[]	[]
