CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_GENDER_MEAN_FEMALE	DUTCH_GENDER_MEAN_MALE	DUTCH_GENDER_MEAN	LINE_IN_SOURCE
100	FAITHFUL	trouw			2.3	20201
1002	STATUE	standbeeld			3.55	18609
1006	BRICK	baksteen			3.85	1515
1007	COW	koe			2.45	10234
1011	BRIDGE	brug			3.2	3314
1013	FRESHWATER EEL	paling			3.4	14783
1019	RIGHT	rechts			3.3	16236
1020	HANDKERCHIEF	zakdoek			2.9	23472
1025	WHISTLE	fluiten			3.45	6236
1030	NECESSARY	nodig			2.85	12986
1035	GOOD	goed			2.95	7359
1038	TEACHER	leraar			4.5	11084
1040	HAIR	haar			1.8	7668
1044	PILLOW	kussen			2.55	10694
1069	GLUE	lijmen			2.9	11258
1070	BUS	bus			3.15	3450
1088	SINK (DESCEND)	zinken			3.15	23756
1098	WEIGH	wegen			3.05	22909
110	MOTOR	motor			4.1	12533
1100	COOK (SOMETHING)	koken			2.5	10281
1102	CLIMB	klimmen			3.35	10046
1111	CAR	auto			3.85	1382
1117	LIKE	lijken			3.05	11250
112	TURTLE	schildpad			3.25	17342
1120	HONEST	eerlijk			2.9	5450
1123	PREGNANT	zwanger			1.05	23965
1125	BALD	kaal			4.2	9447
1129	PAINFUL	pijnlijk			3.3	15202
1133	MATCH	lucifer			3.45	11504
1135	KICK	schoppen			3.7	17445
1136	RABBIT	konijn			2.85	10321
1146	AUBERGINE	aubergine			2.6	1361
1147	PURE	puur			2.65	16016
1150	THUNDER	donder			3.6	4843
1154	OLIVE	olijf			2.35	13186
1156	OPEN	openen			2.85	14114
1168	HAWTHORN	meidoorn			2.4	11964
1171	MIRROR	spiegel			2.1	18316
1181	PALM TREE	palmboom			2.65	14789
119	DIVE	duiken			3.25	5272
1190	HARE	haas			3.3	7690
1193	STEAM	damp			3	4237
1198	MANY	veel			3.1	20898
1200	HUSBAND	echtgenoot			4.45	5378
1201	FEATHER	veer			2.65	20909
1202	BIG	groot			3.5	7602
1204	BARK	schors			3.35	17448
