ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	GLOSS_IN_SOURCE	LINKED_CONCEPTS	TARGET_CONCEPTS	SHIFTS	DOMAIN	ALIAS	DEFINITION
Zalizniak-2024-4583-2	2	619	ANIMAL	animal	&lt;animal&gt;	"[{""ID"": ""Zalizniak-2024-4583-1799"", ""NAME"": ""meat"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1933"", ""NAME"": ""mute, dumb"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1458"", ""NAME"": ""insect"", ""Polysemy"": 7, ""PolysemyByFamily"": 7, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-179"", ""NAME"": ""bad person"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-222"", ""NAME"": ""bear (Ursus)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-713"", ""NAME"": ""cruel"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1113"", ""NAME"": ""fool"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 1, ""DerivationByFamily"": 1}]"		Animals		Any kind of beasts, birds or insects. Not an animal in general but a particular representative of the fauna.
Zalizniak-2024-4583-4	4	1251	BELLY	abdomen	abdomen	"[{""ID"": ""Zalizniak-2024-4583-1697"", ""NAME"": ""location of emotions"", ""Polysemy"": 6, ""PolysemyByFamily"": 4, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4519"", ""NAME"": ""womb"", ""Polysemy"": 6, ""PolysemyByFamily"": 4, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2842"", ""NAME"": ""stomach"", ""Polysemy"": 37, ""PolysemyByFamily"": 18, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1830"", ""NAME"": ""middle"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2278"", ""NAME"": ""pregnant"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4"", ""NAME"": ""abdomen"", ""Polysemy"": 32, ""PolysemyByFamily"": 7, ""Derivation"": 2, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1665"", ""NAME"": ""life"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1343"", ""NAME"": ""heart"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1518"", ""NAME"": ""inside"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-1697"", ""NAME"": ""location of emotions"", ""Polysemy"": 17, ""PolysemyByFamily"": 13, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-4519"", ""NAME"": ""womb"", ""Polysemy"": 3, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-323"", ""NAME"": ""body"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1224"", ""NAME"": ""glutton"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 2, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1830"", ""NAME"": ""middle"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2278"", ""NAME"": ""pregnant"", ""Polysemy"": 3, ""PolysemyByFamily"": 3, ""Derivation"": 5, ""DerivationByFamily"": 2}, {""ID"": ""Zalizniak-2024-4583-1179"", ""NAME"": ""furious"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 2, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-2842"", ""NAME"": ""stomach"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1016"", ""NAME"": ""fat (adj.)(of a person)"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 2, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1518"", ""NAME"": ""inside"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2416"", ""NAME"": ""river-bed"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-241"", ""NAME"": ""beehive"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		N/a		cavity of the belly, which is lined by the peritoneum, and contains the viscera; often restricted in humans to the part between the diaphragm and the commencement of the pelvis
Zalizniak-2024-4583-6	6	1915	FIR	abies (Abies)	abies (Abies)	"[{""ID"": ""Zalizniak-2024-4583-2793"", ""NAME"": ""spruce (Picea)"", ""Polysemy"": 3, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	[]		Plants		tree of the genus Abies
Zalizniak-2024-4583-7	7	2527	ABILITY	ability	ability	[]	[]		Abstract entities		quality or state of being able; capacity to do or of doing something; having the necessary power
Zalizniak-2024-4583-10	10	1741	ABOVE	above	above	[]	[]		Space		
Zalizniak-2024-4583-15	15	4082	ABUNDANCE	abundance	abundance	"[{""ID"": ""Zalizniak-2024-4583-1320"", ""NAME"": ""harvest"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	[]		Abstract entities		
Zalizniak-2024-4583-16	16	4058	ACCIDENT	accident	accident	"[{""ID"": ""Zalizniak-2024-4583-740"", ""NAME"": ""danger"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	[]		N/a		
Zalizniak-2024-4583-20	20	1906	SOUR	acid	acid	"[{""ID"": ""Zalizniak-2024-4583-594"", ""NAME"": ""cold"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2870"", ""NAME"": ""strong (of liquid or smell)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2960"", ""NAME"": ""tamarind"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-2763"", ""NAME"": ""spicy"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-20"", ""NAME"": ""acid"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1222"", ""NAME"": ""gloomy, depressed"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2439"", ""NAME"": ""rotten"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-290"", ""NAME"": ""bitter"", ""Polysemy"": 4, ""PolysemyByFamily"": 4, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2477"", ""NAME"": ""sad"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2496"", ""NAME"": ""salty"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-83"", ""NAME"": ""angry"", ""Polysemy"": 3, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-1222"", ""NAME"": ""gloomy, depressed"", ""Polysemy"": 3, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2960"", ""NAME"": ""tamarind"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-20"", ""NAME"": ""acid"", ""Polysemy"": 14, ""PolysemyByFamily"": 6, ""Derivation"": 16, ""DerivationByFamily"": 2}, {""ID"": ""Zalizniak-2024-4583-2439"", ""NAME"": ""rotten"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-2309"", ""NAME"": ""proud"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-290"", ""NAME"": ""bitter"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2477"", ""NAME"": ""sad"", ""Polysemy"": 6, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-83"", ""NAME"": ""angry"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		N/a		any of a class of water-soluble compounds, having sour taste, that turn blue litmus red, and react with some metals to liberate hydrogen, and with bases to form salts
Zalizniak-2024-4583-22	22	968	ACORN	acorn	acorn	"[{""ID"": ""Zalizniak-2024-4583-2027"", ""NAME"": ""oak"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-641"", ""NAME"": ""cone (fruit)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-221"", ""NAME"": ""bean"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	[]		Plants		fruit of the oak, being an oval nut growing in a woody cup
Zalizniak-2024-4583-25	25	1861	ACTIVE	active	active	"[{""ID"": ""Zalizniak-2024-4583-56"", ""NAME"": ""alive"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1567"", ""NAME"": ""joy"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-561"", ""NAME"": ""clever"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1577"", ""NAME"": ""keen (of senses, mind)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Evaluation		
